"","(1,R1)","(2,R1)","",""
"res","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.007","!","!"
"(2,R1)","0.007",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.005","!","!"
"(2,R1)","0.008",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.311","0.509",NA
"(2,R1)","0.311",NA,NA,"0.509"
"(1,R2)","0.018",NA,NA,"<0.001"
"(2,R2)",NA,"0.018","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"1.976","0.529",NA
"(2,R1)","0.865",NA,NA,"0.529"
"(1,R2)","0.009",NA,NA,"<0.001"
"(2,R2)",NA,"0.009","0.002",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.013",NA
"(2,R1)","<0.001",NA,NA,"0.013"
"(1,R2)","0.557",NA,NA,"1.247"
"(2,R2)",NA,"0.557","0.716",NA
""," "," "," "," "
"","~","~","~","~"
