"","V1","V2","V3","V4","V5"
"1","Apocynaceae","mean_aridity","fleshy","43","1.36 (0.08)"
"2","Apocynaceae","mean_aridity","dry","455","0.82 (0.02)"
"3","Ericaceae","mean_aridity","fleshy","151","0.94 (0.06)"
"4","Ericaceae","mean_aridity","dry","158","1.25 (0.05)"
"5","Melastomataceae","mean_aridity","fleshy","720","1.49 (0.02)"
"6","Melastomataceae","mean_aridity","dry","334","1.22 (0.03)"
"7","Rosaceae","mean_aridity","fleshy","375","0.93 (0.03)"
"8","Rosaceae","mean_aridity","dry","275","0.69 (0.03)"
"9","Solanaceae","mean_aridity","fleshy","488","0.72 (0.02)"
"10","Solanaceae","mean_aridity","dry","176","0.41 (0.03)"
"11","Apocynaceae","mean_prec","fleshy","43","2078.74 (102.56)"
"12","Apocynaceae","mean_prec","dry","455","1302.64 (33.31)"
"13","Ericaceae","mean_prec","fleshy","151","1284.85 (67.8)"
"14","Ericaceae","mean_prec","dry","158","1342.89 (50.78)"
"15","Melastomataceae","mean_prec","fleshy","721","2179.95 (30.46)"
"16","Melastomataceae","mean_prec","dry","334","1759.23 (38.87)"
"17","Rosaceae","mean_prec","fleshy","375","1001.07 (24.59)"
"18","Rosaceae","mean_prec","dry","275","788.12 (24.01)"
"19","Solanaceae","mean_prec","fleshy","488","1135.91 (33.62)"
"20","Solanaceae","mean_prec","dry","176","636.52 (40.38)"
"21","Apocynaceae","mean_temp","fleshy","43","24.3 (0.24)"
"22","Apocynaceae","mean_temp","dry","455","20.45 (0.21)"
"23","Ericaceae","mean_temp","fleshy","151","15.07 (0.38)"
"24","Ericaceae","mean_temp","dry","158","11.01 (0.45)"
"25","Melastomataceae","mean_temp","fleshy","721","21 (0.14)"
"26","Melastomataceae","mean_temp","dry","334","19.97 (0.2)"
"27","Rosaceae","mean_temp","fleshy","375","12.07 (0.24)"
"28","Rosaceae","mean_temp","dry","275","9.93 (0.36)"
"29","Solanaceae","mean_temp","fleshy","488","18.6 (0.21)"
"30","Solanaceae","mean_temp","dry","176","17.28 (0.44)"
