Species,Fruit_type,Fruit_type_and_notes,Notes,References
Rosa_abietina,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_montana,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_pseudoscabriuscula,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_canina,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_obtusifolia,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_stylosa,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_lichiangensis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_longicuspis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_tonquinensis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_maximowicziana,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_lucieae,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_rubus,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_sambucina,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_helenae,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_henryi,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_weisiensis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_tunquinensis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_multiflora,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_sp,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_tomentosa,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_sherardii,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_agrestis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_mollis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_eglanteria,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_rubiginosa,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_glauca,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_marginata,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_subcollina,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_micrantha,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_odorata,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_soulieana,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_transmorrisonensis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_davidii,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_caudata,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_praelucens,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_abyssinica,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_persetosa,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_acicularis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_majalis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_spinosissima,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_macrophylla,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_platyacantha,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_moyesii,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_willmottiae,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_bella,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_nipponensis,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
