Species,Fruit_type,Fruit_type_and_notes,Notes,References
Fragaria_moupinensis,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_pentaphylla,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_nubicola,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_viridis,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_hayatae,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_iinumae,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Potaninia_mongolica,Dry,Achene,,Xiang et al. (2016)
Potentilla_parvifolia,Dry,Achenetum,,Xiang et al. (2016)
Dasiphora_phyllocalyx,Dry,Achenetum,,Xiang et al. (2016)
Dasiphora_davurica,Dry,Achenetum,,Xiang et al. (2016)
Dasiphora_fruticosa,Dry,Achenetum,,Xiang et al. (2016)
Chamaecallis_perpusillodes,Dry,Achene or achenetum,,Feng et al. (2017)
Drymocallis_pseudorupestris,Dry,Achenetum,,Xiang et al. (2016)
Drymocallis_glutinosa,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_drummondii,Dry,Achenetum,,Xiang et al. (2016)
Drymocallis_corsica,Dry,Achenetum,,Xiang et al. (2016)
Drymocallis_rupestris,Dry,Achenetum,,Xiang et al. (2016)
Drymocallis_arguta,Dry,Achenetum,,Xiang et al. (2016)
Drymocallis_poteriifolia,Dry,Achenetum,,Xiang et al. (2016)
Chamaerhodos_mongholica,Dry,Achenetum,,Xiang et al. (2016)
Chamaerhodos_nuttallii,Dry,Achenetum,,Xiang et al. (2016)
Chamaerhodos_sabulosa,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_tapetodes,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_microphylla,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_stenophylla,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_glabriuscula,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_songzhuensis,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_peduncularis,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_leuconota,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_turfosa,Dry,Achenetum,,Xiang et al. (2016)
Sibbaldia_micropetala,Dry,Achenetum,,Xiang et al. (2016)
Sibbaldia_phanerophlebia,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_polyphylla,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_lignosa,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_egedei,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_anserina,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_sterilis,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_simulatrix,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_centigrana,Dry,Achenetum,,Xiang et al. (2016)
Duchesnea_indica,Fleshy,Achene or achenetum,Note: enlarged receptacle as in Fragaria ,Kalkman (2004); Feng et al. (2017)
Potentilla_indica,remove,remove,note: synonym of Duchesnea indica,
Duchesnea_chrysantha,Fleshy,Achene or achenetum,Note: enlarged receptacle as in Fragaria ,Kalkman (2004); Feng et al. (2017)
Potentilla_erecta,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_anglica,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_reptans,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_stolonifera,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_fragarioides,Dry,Achenetum,,Xiang et al. (2016)
Horkeliella_purpurascens,Dry,Achene or achenetum,,Feng et al. (2017)
Horkelia_bolanderi,Dry,Achenetum,,Xiang et al. (2016)
Potentilla_sp,remove,remove,,Xiang et al. (2016)
Potentilla_norvegica,Dry,Achenetum,,Xiang et al. (2016)
Ivesia_kingii,Dry,Achene or achenetum,,Feng et al. (2017)
Ivesia_multifoliolata,Dry,Achene or achenetum,,Feng et al. (2017)
Potentilla_supina,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_dombeyi,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_speciosa,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_subvahliana,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_fragiformis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_elegans,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_pulchella,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_rubricaulis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_multifida,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_petraea,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_pannosa,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_villosula,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_persica,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_kurdica,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_grandiflora,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_radiata,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_tanacetifolia,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_thuringiaca,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_neumanniana,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_chrysantha,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_montenegrina,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_nepalensis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_argentea,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_flabellifolia,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_pensylvanica,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_atrosanguinea,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_neumaniana,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_adscharica,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_recta,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_crantzii,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_pimpinelloides,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_hyparctica,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_concinna,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_hippiana,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_diversifolia,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_gracilis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_nivea,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_tollii,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_multicaulis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_discolor,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_chinensis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_stipularis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_kleiniana,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_thurberi,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_pulvinaris,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_villosa,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_bimundorum,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_bipinnatifida,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_uniflora,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_biennis,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Ivesia_saxosa,Dry,Achene or achenetum,,Feng et al. (2017)
Ivesia_lycopodioides,Dry,Achene or achenetum,,Feng et al. (2017)
Sibbaldia_tetrandra,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_clandestina,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Sibbaldia_purpurea,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_griffithii,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_articulata,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_biflora,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_curviseta,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_ancistrifolia,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_nitida,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_divina,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_clusiana,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_micrantha,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_grammopetala,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_alchemilloides,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_valderia,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_tabernaemontani,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_alba,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Potentilla_caulescens,Dry,Achenetum,,Panigrahi and Dikshit (1985); Xiang et al. (2016)
Fallugia_paradoxa,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Sieversia_pusilla,Dry,Achenetum,"Note: related to Geum, probably same fruit type",Panigrahi and Purohit (1979)
Geum_pentapetalum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_glaciale,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_bulgaricum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_andicola,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_vernum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_chiloense,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_macrophyllum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_reptans,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_montanum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_canadense,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_urbanum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_rivale,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_geniculatum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_speciosum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_aleppicum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_rossii,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Geum_triflorum,Dry,Achenetum,Note: probably wind dispersed,Kalkman (2004); Xiang et al. (2016)
Coluria_elegans,Dry,Achenetum,,Xiang et al. (2016)
Coluria_geoides,Dry,Achenetum,,Xiang et al. (2016)
Acomastylis_elata,Dry,Achenetum,,Xiang et al. (2016)
Geum_sikkimense,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Geum_heterocarpum,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Geum_calthifolium,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Taihangia_rupestris,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Geum_fragarioides,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Geum_waldsteiniae,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Geum_leiospermum,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Geum_cockaynei,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Rubus_lasiostylus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_innominatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pungens,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_acaulis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_subtibetanus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_coreanus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_inopertus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_mesogaeus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_parvifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_subinopertus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_idaeus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_phoenicolasius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_stans,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_hoffmeisterianus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_biflorus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_alexeterius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_niveus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_ursinus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_macraei,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_arizonensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_discolor,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_parvus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_canescens,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_geoides,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_gunnianus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_moorei,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_nivalis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_roseus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_glabratus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_nubigenus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_urticifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_praecox,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_alpinus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_trivialis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_plicatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_canadensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_setosus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pensilvanicus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_hispidus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_flagellaris,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_argutus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_cuneifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_nessensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_sapidus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_hochstetterorum,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_glaucus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_allegheniensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_divaricatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_vigorosus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_ulmifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_sanctus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_bifrons,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_sulcatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_caesius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pedemontanus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_caucasicus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_fruticosus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_arcticus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pubescens,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_ellipticus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_wallichianus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_humulifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pectinellus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_trianthus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_crataegifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_trifidus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_macilentus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_eustephanos,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_sumatranus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_rosifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_tsangii,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_amabilis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_hirsutus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_hongnoensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_croceacanthus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_illecebrosus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_ribisoideus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_longisepalus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_palmatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_corchorifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_chingii,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_idaeopsis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_saxatilis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_leucodermis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_occidentalis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_lineatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_calophyllus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_amphidasys,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_rufus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pluribracteatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_hunanensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_irenaeus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_cochinchinensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_lambertianus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_caudifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_buergeri,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_assamensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_parkeri,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_ichangensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_tricolor,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_faberi,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_setchuenensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_yiwuanus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pirifolius,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_tephrodes,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_swinhoei,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_treutleri,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pinnatisepalus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pentagonus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_phengodes,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_fockeanus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pectinarioides,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_calycinus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_sengorensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_thomsonii,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_hawaiensis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_spectabilis,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_repens,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_chamaemorus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_lasiococcus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_pedatus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_odoratus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_parviflorus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_deliciosus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_neomexicanus,Fleshy,Drupetum,,Xiang et al. (2016)
Rubus_trilobus,Fleshy,Drupetum,,Xiang et al. (2016)
Geum_sp,remove,remove,note: indet species,
Dryas_drummondii,Dry,Achenetum,note: probably wind dispersed,Lawrence et al (1967); Xiang et al. (2016)
Dryas_octopetala,Dry,Achenetum,note: probably wind dispersed,Lawrence et al (1967); Xiang et al. (2016)
Cercocarpus_montanus,Dry,Achene,note: probably wind dispersed,Xiang et al. (2016); dendro.cnre.vt.edu
Cercocarpus_betuloides,Dry,Achene,note: probably wind dispersed,Xiang et al. (2016); dendro.cnre.vt.edu
Chamaebatia_foliolosa,Dry,Achene,,Xiang et al. (2016)
Cercocarpus_ledifolius,Dry,Achene,note: probably wind dispersed,Xiang et al. (2016); dendro.cnre.vt.edu
Purshia_stansburyana,Dry,Achene,,Xiang et al. (2016)
Purshia_tridentata,Dry,Achene,,Xiang et al. (2016)
