,species,mean_temp,se_temp,within_sp_var_temp,mean_prec,se_prec,within_sp_var_prec,mean_pet,se_pet,within_sp_var_pet,mean_aridity,se_aridity,within_sp_var_aridity,Fruit_type
22,Alchemilla_glabra,5.629658,0.000911,1.00E-06,6.724746,0.036622,0.0013,6.501486,0.014457,0.000292,9.473544,0.041505,0.001421,Dry
23,Alchemilla_heptagona,5.625762,0.000896,4.00E-06,6.38943,0.014032,0.00362,6.553187,0.020814,0.000791,9.070478,0.019556,0.003844,Dry
24,Alchemilla_hispanica,5.642263,0.007595,6.10E-05,7.075828,0.070914,0.061536,6.91867,0.026056,0.013445,9.206568,0.09431,0.065351,Dry
25,Alchemilla_incisa,5.634547,0.003766,1.80E-05,6.961864,0.084116,0.018461,6.86406,0.047677,0.004033,9.357326,0.11528,0.019605,Dry
26,Alchemilla_japonica,5.635434,0.00382,1.30E-05,5.618549,0.174929,0.013186,7.153776,0.04125,0.002881,7.774284,0.222923,0.014004,Dry
27,Alchemilla_johnstonii,5.644944,0.002776,2.60E-05,7.142409,0.072082,0.026373,6.920312,0.040738,0.005762,9.602483,0.096896,0.028007,Dry
28,Alchemilla_kiwuensis,5.666196,0.004173,9.00E-06,7.288454,0.09907,0.008791,7.208988,0.053866,0.001921,9.266964,0.128554,0.009336,Dry
29,Alchemilla_longana,5.621306,NA,0.000182,6.630683,NA,0.184609,6.648985,NA,0.040334,9.439068,NA,0.196052,Dry
30,Alchemilla_microbetula,5.649104,0.012138,4.60E-05,7.194379,0.04109,0.046152,7.216083,0.083442,0.010084,9.18343,0.153149,0.049013,Dry
31,Alchemilla_oscensis,5.638502,0.007828,9.10E-05,6.980252,0.186786,0.092305,7.014808,0.003594,0.020167,9.174795,0.049251,0.098026,Dry
32,Alchemilla_pedata,5.661266,0.002203,1.30E-05,7.116202,0.077383,0.013186,7.313502,0.032848,0.002881,8.954903,0.07517,0.014004,Dry
33,Alchemilla_pentaphyllea,5.612756,0.003833,9.10E-05,7.146897,0.492745,0.092305,6.688596,0.044806,0.020167,9.751101,0.222379,0.098026,Dry
34,Alchemilla_plicata,5.63013,0.000542,2.00E-06,6.518639,0.024718,0.002224,6.571798,0.007764,0.000486,9.186862,0.027363,0.002362,Dry
35,Alchemilla_propinqua,5.628321,0.00053,1.00E-06,6.473782,0.02308,0.001273,6.597858,0.011026,0.00028,9.117459,0.02933,0.001361,Dry
36,Alchemilla_retinervis,5.62134,0.009084,3.00E-05,7.178825,0.155378,0.030768,6.730443,0.082882,0.006722,9.576744,0.119895,0.032675,Dry
37,Alchemilla_roccatii,5.618043,NA,0.000182,7.192934,NA,0.184609,6.767343,NA,0.040334,9.991361,NA,0.196052,Dry
38,Alchemilla_saxatilis,5.637439,0.002123,7.00E-06,6.95866,0.061754,0.007384,6.987012,0.026717,0.001613,9.138741,0.083341,0.007842,Dry
39,Alchemilla_stuhlmannii,5.631749,NA,0.000182,6.973543,NA,0.184609,6.862758,NA,0.040334,9.748762,NA,0.196052,Dry
40,Alchemilla_subnivalis,5.619857,NA,0.000182,7.012115,NA,0.184609,6.57368,NA,0.040334,10.236167,NA,0.196052,Dry
41,Alchemilla_tenuis,5.627396,0.00478,3.60E-05,6.935922,0.080611,0.036922,6.758042,0.083134,0.008067,9.518157,0.141747,0.03921,Dry
42,Alchemilla_transiens,5.632273,0.00172,1.10E-05,7.108507,0.070328,0.010859,6.910743,0.020295,0.002373,9.313629,0.07289,0.011532,Dry
43,Alchemilla_volkensii,5.663342,0.00965,4.60E-05,7.297168,0.13526,0.046152,7.292283,0.071422,0.010084,9.08704,0.104841,0.049013,Dry
44,Alchemilla_woodii,5.66155,0.002693,1.70E-05,6.751187,0.067905,0.016783,7.41592,0.020557,0.003667,8.447339,0.062002,0.017823,Dry
45,Alchemilla_xanthochlora,5.638301,0.000674,2.00E-06,6.815537,0.03188,0.001709,6.764473,0.016313,0.000377,9.262297,0.034883,0.001832,Dry
46,Amelanchier_alnifolia,5.643764,0.001242,6.00E-06,5.990505,0.096005,0.005955,7.129206,0.023991,0.001301,8.207015,0.113817,0.006324,Fleshy
47,Amelanchier_canadensis,5.630581,0.001733,1.20E-05,6.927789,0.046863,0.012307,6.686481,0.033033,0.002881,9.574504,0.071142,0.014004,Fleshy
48,Amelanchier_interior,5.633018,0.000955,3.00E-06,6.653768,0.0154,0.003239,6.875458,0.014212,0.000708,9.000134,0.018237,0.00344,Fleshy
49,Amelanchier_laevis,5.635756,0.00077,1.00E-06,6.857812,0.016484,0.000972,6.864704,0.011756,0.000212,9.218446,0.018357,0.001032,Fleshy
50,Amelanchier_lamarckii,5.639704,0.000531,3.00E-06,6.623305,0.038437,0.003239,6.654613,0.010285,0.000708,9.186321,0.040393,0.00344,Fleshy
51,Amelanchier_nantucketensis,5.652645,0.006314,9.10E-05,7.015989,0.205847,0.092305,7.11503,0.082406,0.020167,9.12671,0.18438,0.098026,Fleshy
52,Amelanchier_ovalis,5.644732,0.001079,2.00E-06,6.755075,0.037824,0.002147,7.007239,0.02121,0.000469,8.939034,0.056015,0.00228,Fleshy
53,Amelanchier_quinti-martii,5.629936,0.00646,9.10E-05,6.787337,0.183393,0.092305,6.732331,0.075604,0.020167,9.354147,0.020351,0.098026,Fleshy
54,Amelanchier_stolonifera,5.629885,0.001729,2.00E-06,6.878714,0.022724,0.002337,6.768467,0.022635,0.000511,9.348841,0.020713,0.002482,Fleshy
55,Amelanchier_utahensis,5.643777,0.001006,1.00E-06,5.950173,0.038384,0.001119,7.399141,0.015232,0.000244,7.900505,0.04452,0.001188,Fleshy
56,Aphanes_arvensis,5.647113,0.000744,1.00E-06,6.566112,0.021449,0.001061,6.863635,0.020285,0.000235,8.911761,0.032119,0.00114,Dry
57,Aphanes_australis,5.644173,0.000874,2.00E-06,6.601779,0.031035,0.002198,6.782005,0.025426,0.00048,9.014339,0.039769,0.002334,Dry
58,Aphanes_cornucopioides,5.655698,0.001656,6.00E-06,6.448382,0.044805,0.005769,7.310308,0.021275,0.00126,8.27215,0.061399,0.006127,Dry
59,Bencomia_caudata,5.666198,0.00607,4.60E-05,6.028721,0.146563,0.046152,7.440358,0.007403,0.010084,7.692278,0.112826,0.049013,Fleshy
60,Bencomia_exstipulata,5.650275,0.014593,9.10E-05,5.943588,0.207015,0.092305,7.538873,0.017555,0.020167,7.695939,0.048631,0.098026,Fleshy
61,Cercocarpus_ledifolius,5.63052,0.002348,3.60E-05,6.005366,0.130825,0.036922,7.213653,0.065218,0.008067,8.097893,0.139289,0.03921,Dry
62,Cercocarpus_montanus,5.650289,0.001219,1.00E-06,5.982848,0.035419,0.001256,7.480325,0.014691,0.000274,7.818496,0.037935,0.001334,Dry
63,Chamaebatia_foliolosa,5.651669,0.003749,1.70E-05,6.680796,0.091516,0.016783,7.437695,0.034261,0.003667,8.545985,0.107865,0.017823,Dry
64,Chamaemeles_coriacea,5.667637,NA,0.000182,7.611842,NA,0.184609,7.311886,NA,0.040334,8.361241,NA,0.196052,Fleshy
65,Chamaerhodos_sabulosa,5.603636,0.002276,4.00E-06,4.904846,0.08521,0.004395,6.967939,0.037107,0.00096,7.289082,0.126227,0.004668,Dry
66,Cliffortia_acanthophylla,5.670053,NA,0.000182,5.736572,NA,0.184609,7.671361,NA,0.040334,7.136483,NA,0.196052,Dry
67,Cliffortia_aculeata,5.660998,0.007175,6.10E-05,5.964552,0.081753,0.061536,7.585536,0.0975,0.013445,7.394313,0.235185,0.065351,Dry
68,Cliffortia_acutifolia,5.669018,NA,0.000182,5.828946,NA,0.184609,7.691657,NA,0.040334,7.138073,NA,0.196052,Dry
69,Cliffortia_alata,5.669364,NA,0.000182,5.908083,NA,0.184609,7.520776,NA,0.040334,7.621195,NA,0.196052,Dry
70,Cliffortia_amplexistipula,5.66126,0.005727,4.60E-05,5.673964,0.153366,0.046152,7.590301,0.032241,0.010084,7.231375,0.110382,0.049013,Dry
71,Cliffortia_anthospermoides,5.669708,NA,0.000182,6.228511,NA,0.184609,7.295056,NA,0.040334,8.286269,NA,0.196052,Dry
72,Cliffortia_apiculata,5.66669,0.005018,6.10E-05,5.979147,0.423005,0.061536,7.521919,0.098297,0.013445,7.616566,0.471803,0.065351,Dry
73,Cliffortia_arborea,5.656625,0.002833,6.10E-05,5.720091,0.014895,0.061536,7.566891,0.028296,0.013445,7.263451,0.057652,0.065351,Dry
74,Cliffortia_arcuata,5.660091,0.000846,4.60E-05,6.072609,0.127413,0.046152,7.453991,0.009995,0.010084,7.795637,0.108998,0.049013,Dry
75,Cliffortia_atrata,5.655395,0.008487,6.10E-05,6.849594,0.029607,0.061536,7.404745,0.023454,0.013445,8.303237,0.119864,0.065351,Dry
76,Cliffortia_baccans,5.655572,0.003397,6.10E-05,5.81168,0.177852,0.061536,7.556386,0.035715,0.013445,7.328502,0.171426,0.065351,Dry
77,Cliffortia_brevifolia,5.671546,0.00023,6.10E-05,6.590154,0.231668,0.061536,7.346449,0.048855,0.013445,8.235519,0.0665,0.065351,Dry
78,Cliffortia_browniana,5.659407,0.003028,2.30E-05,6.633694,0.107948,0.023076,7.396008,0.033494,0.005042,8.556666,0.078116,0.024507,Dry
79,Cliffortia_burchellii,5.667283,0.001775,3.00E-05,6.408191,0.181966,0.030768,7.373586,0.030995,0.006722,8.097055,0.138054,0.032675,Dry
80,Cliffortia_burgersii,5.672808,NA,0.000182,6.095825,NA,0.184609,7.362011,NA,0.040334,7.885329,NA,0.196052,Dry
81,Cliffortia_carinata,5.657164,0.007105,6.10E-05,6.146128,0.242004,0.061536,7.433103,0.064687,0.013445,7.829948,0.233988,0.065351,Dry
82,Cliffortia_castanea,5.65709,0.005245,3.60E-05,5.894027,0.16395,0.036922,7.548719,0.046063,0.008067,7.511101,0.161158,0.03921,Dry
83,Cliffortia_ceresana,5.639955,NA,0.000182,6.60665,NA,0.184609,7.396949,NA,0.040334,8.061171,NA,0.196052,Dry
84,Cliffortia_cervicornu,5.659424,0.000419,6.10E-05,5.562242,0.079047,0.061536,7.550394,0.031093,0.013445,7.357886,0.141486,0.065351,Dry
85,Cliffortia_complanata,5.668845,0.001208,9.10E-05,6.479145,0.408407,0.092305,7.43997,0.018793,0.020167,8.246953,0.090156,0.098026,Dry
86,Cliffortia_crenata,5.662897,0.002372,6.10E-05,5.605395,0.080103,0.061536,7.548273,0.010373,0.013445,7.353378,0.079142,0.065351,Dry
87,Cliffortia_cristata,5.66209,0.002085,9.10E-05,6.169707,0.101282,0.092305,7.539654,0.037467,0.020167,7.713313,0.194706,0.098026,Dry
88,Cliffortia_curvifolia,5.671776,NA,0.000182,6.079933,NA,0.184609,7.312553,NA,0.040334,8.081166,NA,0.196052,Dry
89,Cliffortia_cymbifolia,5.652665,NA,0.000182,7.123673,NA,0.184609,7.46451,NA,0.040334,8.342364,NA,0.196052,Dry
90,Cliffortia_densa,5.668328,NA,0.000182,5.968708,NA,0.184609,7.559038,NA,0.040334,7.505492,NA,0.196052,Dry
