Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Hyoscyamus_turcomanicus,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Hyoscyamus_aureus,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Hyoscyamus_desertorum,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Hyoscyamus_muticus,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Hyoscyamus_leptocalyx,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Anisodus_acutangulus,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Anisodus_luridus,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Anisodus_carniolicoides,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Anisodus_tanguticus,Dry,,,"Note: ""non-capsular dehicent""",Knapp (2002),,
Atropa_belladonna,Fleshy,,Berry,,Knapp (2002),,
Atropa_komarovii,Fleshy,,Berry,,Knapp (2002),,
Jaborosa_sativa,Fleshy,,Berry,,Knapp (2002),,
Jaborosa_squarrosa,Fleshy,,Berry,,Knapp (2002),,
Jaborosa_integrifolia,Fleshy,,Berry,,Knapp (2002),,
Latua_pubiflora,Fleshy,,Berry,,Knapp (2002),,
Nicotiana_eastii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_suaveolens,Dry,,Capsule,,Knapp (2002),,
Nicotiana_exigua,Dry,,Capsule,,Knapp (2002),,
Nicotiana_amplexicaulis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_excelsior,Dry,,Capsule,,Knapp (2002),,
Nicotiana_maritima,Dry,,Capsule,,Knapp (2002),,
Nicotiana_rosulata,Dry,,Capsule,,Knapp (2002),,
Nicotiana_velutina,Dry,,Capsule,,Knapp (2002),,
Nicotiana_rotundifolia,Dry,,Capsule,,Knapp (2002),,
Nicotiana_goodspeedii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_gossei,Dry,,Capsule,,Knapp (2002),,
Nicotiana_cavicola,Dry,,Capsule,,Knapp (2002),,
Nicotiana_megalosiphon,Dry,,Capsule,,Knapp (2002),,
Nicotiana_simulans,Dry,,Capsule,,Knapp (2002),,
Nicotiana_umbratica,Dry,,Capsule,,Knapp (2002),,
Nicotiana_occidentalis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_forsteri,Dry,,Capsule,,Knapp (2002),,
Nicotiana_noctiflora,Dry,,Capsule,,Knapp (2002),,
Nicotiana_petunioides,Dry,,Capsule,,Knapp (2002),,
Nicotiana_glauca,Dry,,Capsule,,Knapp (2002),,
Nicotiana_acaulis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_africana,Dry,,Capsule,,Knapp (2002),,
Nicotiana_picilla,Dry,,Capsule,,Knapp (2002),,
Nicotiana_plumbaginifolia,Dry,,Capsule,,Knapp (2002),,
Nicotiana_longiflora,Dry,,Capsule,,Knapp (2002),,
Nicotiana_bonariensis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_forgetiana,Dry,,Capsule,,Knapp (2002),,
Nicotiana_alata,Dry,,Capsule,,Knapp (2002),,
Nicotiana_langsdorffii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_nesophila,Dry,,Capsule,,Knapp (2002),,
Nicotiana_stocktonii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_repanda,Dry,,Capsule,,Knapp (2002),,
Nicotiana_nudicaulis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_sylvestris,Dry,,Capsule,,Knapp (2002),,
Nicotiana_acuminata,Dry,,Capsule,,Knapp (2002),,
Nicotiana_pauciflora,Dry,,Capsule,,Knapp (2002),,
Nicotiana_corymbosa,Dry,,Capsule,,Knapp (2002),,
Nicotiana_miersii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_linearis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_spegazzinii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_obtusifolia,Dry,,Capsule,,Knapp (2002),,
Nicotiana_palmeri,Dry,,Capsule,,Knapp (2002),,
Nicotiana_trigonophylla,Dry,,Capsule,,Knapp (2002),,
Nicotiana_quadrivalvis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_clevelandii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_knightiana,Dry,,Capsule,,Knapp (2002),,
Nicotiana_rustica,Dry,,Capsule,,Knapp (2002),,
Nicotiana_paniculata,Dry,,Capsule,,Knapp (2002),,
Nicotiana_cordifolia,Dry,,Capsule,,Knapp (2002),,
Nicotiana_solanifolia,Dry,,Capsule,,Knapp (2002),,
Nicotiana_benavidesii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_raimondii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_arentsii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_undulata,Dry,,Capsule,,Knapp (2002),,
Nicotiana_glutinosa,Dry,,Capsule,,Knapp (2002),,
Nicotiana_thyrsiflora,Dry,,Capsule,,Knapp (2002),,
Nicotiana_wigandioides,Dry,,Capsule,,Knapp (2002),,
Nicotiana_tomentosa,Dry,,Capsule,,Knapp (2002),,
Nicotiana_tomentosiformis,Dry,,Capsule,,Knapp (2002),,
Nicotiana_kawakamii,Dry,,Capsule,,Knapp (2002),,
Nicotiana_otophora,Dry,,Capsule,,Knapp (2002),,
Nicotiana_digluta,Dry,,Capsule,,Knapp (2002),,
Nicotiana_tabacum,Dry,,Capsule,,Knapp (2002),,
Cyphanthera_albicans,Dry,,Capsule,,Knapp (2002),,
Duboisia_myoporoides,Fleshy,,Berry,,Knapp (2002),,
Duboisia_hopwoodii,Fleshy,,Berry,,Knapp (2002),,
Duboisia_leichhardtii,Fleshy,,Berry,,Knapp (2002),,
Cyphanthera_anthocercidea,Dry,,Capsule,,Knapp (2002),,
Crenidium_spinescens,Dry,,Capsule,,Knapp (2002),,
Cyphanthera_microphylla,Dry,,Capsule,,Knapp (2002),,
Anthocercis_myosotidea,Dry,,Capsule,,Knapp (2002),,
Anthocercis_racemosa,Dry,,Capsule,,Knapp (2002),,
Anthotroche_blackii,Dry,,Capsule,,Knapp (2002),,
Anthotroche_myoporoides,Dry,,Capsule,,Knapp (2002),,
Anthotroche_pannosa,Dry,,Capsule,,Knapp (2002),,
Anthotroche_walcottii,Dry,,Capsule,,Knapp (2002),,
Grammosolen_dixonii,Dry,,Capsule,,Knapp (2002),,
Grammosolen_truncatus,Dry,,Capsule,,Knapp (2002),,
Cyphanthera_odgersii,Dry,,Capsule,,Knapp (2002),,
Anthocercis_angustifolia,Dry,,Capsule,,Knapp (2002),,
Anthocercis_viscosa,Dry,,Capsule,,Knapp (2002),,
Anthocercis_intricata,Dry,,Capsule,,Knapp (2002),,
Anthocercis_sylvicola,Dry,,Capsule,,Knapp (2002),,
Anthocercis_ilicifolia,Dry,,Capsule,,Knapp (2002),,
Anthocercis_littorea,Dry,,Capsule,,Knapp (2002),,
Anthocercis_gracilis,Dry,,Capsule,,Knapp (2002),,
Symonanthus_aromaticus,Dry,,Capsule,,Knapp (2002),,
Symonanthus_bancroftii,Dry,,Capsule,,Knapp (2002),,
Nierembergia_andina,Dry,,Capsule,,Knapp (2002),,
Nierembergia_ericoides,Dry,,Capsule,,Knapp (2002),,
Nierembergia_scoparia,Dry,,Capsule,,Knapp (2002),,
Nierembergia_linariifolia,Dry,,Capsule,,Knapp (2002),,
Nierembergia_boliviana,Dry,,Capsule,,Knapp (2002),,
Nierembergia_pulchella,Dry,,Capsule,,Knapp (2002),,
Nierembergia_browallioides,Dry,,Capsule,,Knapp (2002),,
Nierembergia_tucumanensis,Dry,,Capsule,,Knapp (2002),,
Nierembergia_calycina,Dry,,Capsule,,Knapp (2002),,
Nierembergia_hippomanica,Dry,,Capsule,,Knapp (2002),,
Nierembergia_angustifolia,Dry,,Capsule,,Knapp (2002),,
Nierembergia_veitchii,Dry,,Capsule,,Knapp (2002),,
Nierembergia_aristata,Dry,,Capsule,,Knapp (2002),,
Nierembergia_graveolens,Dry,,Capsule,,Knapp (2002),,
Nierembergia_pinifolia,Dry,,Capsule,,Knapp (2002),,
Nierembergia_repens,Dry,,Capsule,,Knapp (2002),,
Nierembergia_spathulata,Dry,,Capsule,,Knapp (2002),,
Nierembergia_rivularis,Dry,,Capsule,,Knapp (2002),,
