Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Solanum_vicinum,Fleshy,,Berry,"Note: ""purple""",solanaceaesource.org,,OLD WORLD
Solanum_elachophyllum,Fleshy,,Berry,"Note: ""pale green with dark green streaks, turning yellow""",solanaceaesource.org,,OLD WORLD
Solanum_jucundum,Fleshy,,Berry,"Note:  ""yellowish-green or pale green with dark green streaks""",solanaceaesource.org,,OLD WORLD
Solanum_tetrathecum,Fleshy,,Berry,"Note: ""yellowish-green or pale green with dark green streaks""",solanaceaesource.org,,OLD WORLD
Solanum_nummularium,Fleshy,,Berry,Note: probably mammal or bird dispersed,Symon (1979),,OLD WORLD
Solanum_orbiculatum,Fleshy,,Berry,Note: probably mammal or bird dispersed,Symon (1979),,OLD WORLD
Solanum_oligacanthum,doubtful,,Berry,Note: fruit is dry,Symon (1979),,OLD WORLD
Solanum_hoplopetalum,Fleshy,,Berry,Note: probably lizard dispersed,Symon (1979),,OLD WORLD
Solanum_hystrix,Fleshy,,Berry,Note: probably lizard dispersed,Symon (1979),,OLD WORLD
Solanum_asymmetriphyllum,Dry,,Berry,"Note: ""trample burr""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_sejunctum,Dry,,Berry,"Note: ""trample burr""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_chippendalei,Dry,,Berry,"Note: ""yellowish-green or green to pale yellow when ripe""; ""ingested (shaker)""; ""mechanical dispersal witnessed""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_diversiflorum,Fleshy,,Berry,"Note: ""ingested""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_phlomoides,Fleshy,,Berry,"Note: ""ingested""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_beaugleholei,Fleshy,,Berry,"Note: ""ingested""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_clarkiae,Fleshy,,Berry,"Note: ""ingested""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_melanospermum,Fleshy,,Berry,"Note: ""ingested"" (tumbleweed)",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_heteropodium,Dry,,Berry,Note: fruit fracturing; trample burr (shaker),Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_oedipus,Dry,,Berry,Note: fruit fracturing; trample burr (shaker),Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_cataphractum,Dry,,Berry,"Note: ""trample burr""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_petraeum,Dry,,Berry,"Note: ""trample burr""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_tudununggae,Dry,,Berry,"Note: ""censer-like""; trample burr (censer/shaker)",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_vansittartense,Dry,,Berry,"Note: ""trample burr""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_leopoldense,Dry,,Berry,"Note: ""trample burr"" (occasional ingestion)",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_carduiforme,Dry,,Berry,"Note: ""trample burr"" (sheet flow)",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_cunninghamii,Dry,,Berry,"Note: ""trample burr""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_dioicum,Dry,,Berry,"Note: ""trample burr"" (ingested)",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_cleistogamum,Fleshy,,Berry,Note: probably lizard dispersed,Symon (1979),Dioicum group or related,OLD WORLD
Solanum_horridum,Fleshy,,Berry,Note: probably lizard dispersed,Symon (1979),Dioicum group or related,OLD WORLD
Solanum_echinatum,Dry,,Berry,"Note: ""trample burr"" (sheet flow)",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_lucani,Dry,,Berry,"Note: ""trample burr""",Martine et al. (2019),Dioicum group or related,OLD WORLD
Solanum_gabrielae,doubtful,,Berry,"Note: Symon (1979) includes this species in the same dispersal category as S. lucani and S. echinatum, which are suggested as ""trample burr"" by Martine et al. (2019)",Symon (1979),,OLD WORLD
Solanum_lasiophyllum,doubtful,,Berry,Note: fruit is dry,Symon (1979),,OLD WORLD
Solanum_coactiliferum,Fleshy,,Berry,Note: probably mammal or bird dispersed,Symon (1979),,OLD WORLD
Solanum_oldfieldii,Fleshy,,Berry,Note: probably mammal or bird dispersed,Symon (1979),,OLD WORLD
Solanum_myoxotrichum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_pyracanthos,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_batoides,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_mahoriense,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_bumeliifolium,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_heinianum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_toliaraea,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_campylacanthum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_panduriforme,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_incanum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_arundo,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_cerasiferum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_linnaeanum,doubtful,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors); this is species is also mentioned to be poisonous for live-stock,Bean (2004); Vorontsova et al. (2013),African spiny-Solanum,OLD WORLD
Solanum_lichtensteinii,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_melongena,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_ovigerum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_cumingii,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_sessilistellatum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_kurzii,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_violaceum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_rigescentoides,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_supinum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_nigriviolaceum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_aethiopicum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_anguivi,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_cyaneopurpureum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_glabratum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_lamprocarpum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_capense,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_tomentosum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_humile,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_lidii,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_vespertilio,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_dasyphyllum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_macrocarpon,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_giganteum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_kwebense,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_goetzei,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_schimperianum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_marginatum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,OLD WORLD
Solanum_aculeastrum,Fleshy,,Berry,Note: no mention of other syndromes besides fleshy berries (of different sizes and colors),Vorontsova et al. (2013); Knapp et al. (2019),African spiny-Solanum,
Solanum_thruppii,no_info,,Berry,,,,
Solanum_elaeagnifolium,Dry,,Berry,Note: dry berries ,Knapp et al. (2017),Elaeagniifolium group ,
Solanum_mortonii,Dry,,Berry,Note: dry berries ,Knapp et al. (2017),Elaeagniifolium group ,
Solanum_hindsianum,Dry,,Berry,Note: dry berries ,Knapp et al. (2017),Elaeagniifolium group ,
Solanum_tridynamum,Dry,,Berry,Note: capsule like berries,,Elaeagniifolium group ,
Solanum_hieronymi,Fleshy,,Berry,"Note: ""yellow at maturity""",solanaceaesource.org,,
Solanum_lanceolatum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_rudepannum,Fleshy,,Berry,"Note: ""green at maturity""",Smith and Knapp (2002); Stern et al. (2011),Torva group,
Solanum_torvum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_chrysotrichum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_pluviale,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_acutilobum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_caricifolium,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_bolivianum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_ursinum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_albidum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_whalenii,Fleshy,,Berry,"Note: ""globose berry; dark green""; ""medium-sized leathery berries with mucilaginous pulp""",Nee et al. (2006); Stern et al. (2011),Torva group,
Solanum_comarapanum,Fleshy,,Berry,"Note: ""globose berry""; ""medium-sized leathery berries with mucilaginous pulp""",Nee et al. (2006); Stern et al. (2011),Torva group,
Solanum_asperolanatum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_stellativelutinum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_asteropilodes,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_crinitipes,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_hayesii,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_bonariense,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_poinsettiifolium,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_subinerme,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_paniculatum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_glutinosum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_donianum,Fleshy,,Berry,"Note: ""medium-sized leathery berries with mucilaginous pulp""",Stern et al. (2011),Torva group,
Solanum_crotonoides,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),,
Solanum_multispinum,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),,
Solanum_arachnidanthum,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),Micracantha,
Solanum_tampicense,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),Micracantha,
Solanum_monachophyllum,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),Micracantha,
Solanum_pedemontanum,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""; ""globose berry, orange or red""",Nee et al. (2006); Stern and Bohs (2016),Micracantha,
Solanum_adhaerens,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),Micracantha,
Solanum_aturense,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),Micracantha,
Solanum_jamaicense,Fleshy,,Berry,"Note: ""The fruits of sect. Micracantha are fleshy berries""",Stern and Bohs (2016),Micracantha,
Solanum_lanceifolium,Fleshy,bird,Berry,"Note: ""bright red at maturity""",Smith and Knapp (2002),Micracantha,
Solanum_conditum,Fleshy,,Berry,"Note: ""green to yellow fruits""","Wahlert et al., (2014)",Asterophorum,
Solanum_juvenale,Fleshy,,Berry,"Note: ""green to yellow fruits""","Wahlert et al., (2014)",Asterophorum,
Solanum_comptum,Fleshy,,Berry,"Note: ""green to yellow fruits""","Wahlert et al., (2014)",Asterophorum,
Solanum_moxosense,Fleshy,,Berry,"Note: ""oblong-ovoid berry; color when ripe unknown""; ""green to yellow fruits""","Nee et al. (2006); Wahlert et al., (2014)",Asterophorum,
Solanum_carolinense,Fleshy,,Berry,"Note: ""round, yellow berries""",Travers et al. (2004),Asterophorum,
Solanum_asterophorum,Fleshy,,Berry,"Note: ""spherical berry; green, pale yellow or white""",Gouvea and Stehmann (2019),,
Solanum_bahamense,Fleshy,,Berry,"Note: ""berry bright red""",Strickland-Constable et al. (2010),,
Solanum_drymophilum,Fleshy,,Berry,"Note: ""a black berry""",Tropicos (from protologue),,
Solanum_citrullifolium,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_davisense,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_heterodoxum,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_tribulosum,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_fructotecto,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_rostratum,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_angustifolium,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_grayi,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_lumholtzianum,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_johnstonii,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_tenuipes,Dry,,Berry,Note: dry berries ; D'arcy (1974) suggest also mammal dispersal,D'Arcy (1974); Stern et al. (2014),Solanum sect. Androceras,
Solanum_urticans,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_wrightii,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_crinitum,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_coriaceum,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_sendtnerianum,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_lycocarpum,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_mitlense,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_hasslerianum,Fleshy,mammal,Berry,"Note: ""fruits are some of the largest known in the genus""",Farruggia and Bohs (2010),Crinitum,
Solanum_sisymbriifolium,Fleshy,,Berry,Note: cultivated for its fruits,gobotany.nativeplanttrust.org,Sisymbriifolium,
Solanum_pseudolulo,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_vestissimum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_hyporhodium,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_pectinatum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_hirtum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_stramoniifolium,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_lasiocarpum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_repandum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_candidum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_felinum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_quitoense,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_sessiliflorum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Lasiocarpa,
Solanum_atropurpureum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_tenuispinum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_acerifolium,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_capsicoides,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_aculeatissimum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_viarum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_myriacanthum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_incarceratum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_platense,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_mammosum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_palinacanthum,Fleshy,,Berry,Note: presumably fleshy,Miller and Diggle (2007),Acanthophora,
Solanum_decompositiflorum,Fleshy,,Berry,"Note: ""mucilaginous berry, maturing yellow""",solanaceaesource.org,Erythrotrichum,
Solanum_rhytidoandrum,Fleshy,,Berry,"Note: ""pericarp glandular-viscous""",solanaceaesource.org,Erythrotrichum,
Solanum_accrescens,Fleshy,,Berry,"Note: ""green or yellow when ripe""",solanaceaesource.org,Erythrotrichum,
Solanum_absconditum,Fleshy,,Berry,"Note: ""mucilaginous berry, with leathery epicarp""",solanaceaesource.org,Erythrotrichum,
Solanum_paludosum,Fleshy,,Berry,"Note: ""green or yellowish brown when ripe""",solanaceaesource.org,Erythrotrichum,
Solanum_reflexiflorum,no_info,,Berry,,,Erythrotrichum,
Solanum_jabrense,Fleshy,,Berry,"Note: ""green, pericarp leathery""",solanaceaesource.org,Erythrotrichum,
Solanum_megalonyx,Fleshy,,Berry,"Note: ""orange or brownish green at maturity""",solanaceaesource.org,Erythrotrichum,
Solanum_hexandrum,no_info,,Berry,,,Erythrotrichum,
Solanum_stagnale,doubtful,,Berry,"Note: ""Essentially nothing is known of the properties of the fruit or of other characteristics that may be of value in breeding programs""",solanaceaesource.org,Erythrotrichum,
Solanum_robustum,Fleshy,,Berry,"Note: ""green when mature""",solanaceaesource.org,Erythrotrichum,
Solanum_buddleifolium,no_info,,Berry,,,Thomasiifolium,
Solanum_thomasiifolium,Fleshy,,Berry,Note: dispersed by several frugivorous guilds,Vasconcellos-Neto et al. (2009),Thomasiifolium,
Solanum_paraibanum,Fleshy,,Berry,"Note: ""orange to red when mature""",solanaceaesource.org,Thomasiifolium,
Solanum_rupincola,Fleshy,,Berry,Note: apparently a brown berry at maturity,solanaceaesource.org,Thomasiifolium,
Solanum_microphyllum,Fleshy,,Berry,"Note: ""red:",solanaceaesource.org,Gardneri,
Solanum_tetramerum,Fleshy,,Berry,"Note: ""bright red and juicy when ripe""",solanaceaesource.org,Gardneri,
Solanum_schomburgkii,no_info,,Berry,,,Gardneri,
Solanum_gardneri,Fleshy,,Berry,"Note: ""yellow to yellow green""",solanaceaesource.org,Gardneri,
Solanum_polytrichum,no_info,,Berry,,,Gardneri,
Solanum_stenandrum,Fleshy,,Berry,"Note: ""red or yellow-orange""",solanaceaesource.org,Gardneri,
Solanum_agrarium,Fleshy,,Berry,"Note: ""young fruits mottled green, the insolated side becoming purple""",solanaceaesource.org,Gardneri,
Solanum_talarense,no_info,,Berry,,,Gardneri,
Solanum_hoehnei,no_info,,Berry,,,Nemorense,
Solanum_reptans,no_info,,Berry,,,Nemorense,
Solanum_nemorense,Fleshy,,Berry,"Note: ""orange or yellow when ripe""",solanaceaesource.org,Nemorense,
Solanum_bicorne,Fleshy,,Berry,"Note: ""red or orange""",solanaceaesource.org,Allophyllum & Wendlandii,
Solanum_refractum,Fleshy,,Berry,"Note: ""light green""",solanaceaesource.org,Allophyllum & Wendlandii,
Solanum_wendlandii,Fleshy,,Berry,"Note: ""green with green to white pulp""",solanaceaesource.org,Allophyllum & Wendlandii,
Solanum_allophyllum,Fleshy,,Berry,"Note: ""hite or light yellow to orange, often with dark green or purple longitudinal stripes""",solanaceaesource.org,Allophyllum & Wendlandii,
Solanum_aphyodendron,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_diphyllum,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_ochrophyllum,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_arboreum,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_capsicastrum,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_rovirosanum,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_argentinum,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
