"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"1","Adenium_obesum",5.701121,0.001078,1e-06,6.349445,0.099505,0.002518,7.676903,0.026485,0.000359,7.842214,0.127957,0.003239,"Dry"
"2","Aganosma_cymosa",5.696219,0.004216,2e-05,7.415244,0.185944,0.033735,7.385333,0.03892,0.004806,9.270659,0.178937,0.043402,"Dry"
"3","Aganosma_schlechteriana",5.675367,0.002374,5e-06,6.877012,0.067552,0.008032,7.193018,0.027747,0.001144,9.076497,0.059171,0.010334,"Dry"
"4","Aganosma_wallichii",5.701442,0.001112,1.2e-05,7.883792,0.074265,0.021084,7.415064,0.023782,0.003004,9.584314,0.067673,0.027126,"Dry"
"5","Alafia_barteri",5.699407,0.000526,3e-06,7.399823,0.058235,0.004685,7.304962,0.01436,0.000668,9.289114,0.059526,0.006028,"Dry"
"6","Alafia_thouarsii",5.695405,0.001205,7e-06,7.730802,0.091771,0.012048,7.47403,0.038254,0.001717,9.486091,0.104162,0.015501,"Dry"
"7","Allamanda_schottii",5.689762,0.001712,4e-06,7.307894,0.082408,0.007334,7.269532,0.032137,0.001045,9.291987,0.096336,0.009435,"Dry"
"8","Allomarkgrafia_brenesiana",5.676409,0.002227,4.9e-05,7.984062,0.038507,0.084337,7.283876,0.077499,0.012016,9.848388,0.215005,0.108504,"Dry"
"9","Allomarkgrafia_plumeriiflora",5.689963,0.002497,5e-06,8.034755,0.083242,0.008434,7.346285,0.020517,0.001202,9.85633,0.060865,0.01085,"Dry"
"10","Alyxia_grandis",5.689218,0.005351,2.5e-05,7.543873,0.106756,0.042168,7.491194,0.038869,0.006008,9.423418,0.224532,0.054252,"Fleshy"
"11","Alyxia_reinwardtii",5.692059,0.001747,2e-06,7.983532,0.041033,0.002765,7.292417,0.022643,0.000394,9.7564,0.047363,0.003558,"Fleshy"
"12","Alyxia_spicata",5.697624,0.000956,1e-06,7.210805,0.043253,0.002311,7.624041,0.016687,0.000353,8.764142,0.058295,0.003191,"Fleshy"
"13","Amalocalyx_microlobus",5.694264,0.003229,8e-06,7.10846,0.067903,0.014056,7.413215,0.011388,0.002003,8.889552,0.044483,0.018084,"Dry"
"14","Ambelania_acida",5.700083,0.000412,2e-06,7.740669,0.020624,0.003067,7.304917,0.011891,0.000437,9.619299,0.026453,0.003946,"Fleshy"
"15","Amsonia_tabernaemontana",5.666994,0.00109,1e-06,7.074043,0.019611,0.001939,7.284635,0.010634,0.000279,9.021366,0.022951,0.002523,"Dry"
"16","Angadenia_berteroi",5.696469,0.00132,4e-06,7.141825,0.035718,0.007334,7.51058,0.013779,0.001045,8.835381,0.038139,0.009435,"Dry"
"17","Anisotoma_cordifolia",5.67624,NA,9.8e-05,6.352629,NA,0.168674,7.4313,NA,0.024032,8.251142,NA,0.217008,"Dry"
