Species,Fruit_type,Notes,Reference,,
Vaccinium_uliginosum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_reticulatum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_calycinum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_myrtillus,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_corymbosum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_meridionale,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_consanguineum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_macrocarpon,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_vitis_idaea,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_microcarpum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_oxycoccos,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Gaylussacia_dumosa,Fleshy,"""Fruit pyrenoid""",Stevens (2004),Vaccinieae,
Agapetes_serpens,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Agapetes_buxifolia,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Agapetes_hosseana,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_bracteatum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Dimorphanthera_keysseri,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Paphia_stenantha,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Paphia_meiniana,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Dimorphanthera_kempteriana,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Dimorphanthera_dekockii,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Orthaea_venamensis,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Orthaea_apophysata,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Notopora_schomburgkii,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Andromeda_polifolia,Fleshy,"""Berry""",gvsu.edu/itex-aon/bog-rosemary-25.htm,Andromedeae,
Zenobia_pulverulenta,Dry,"""Fruit and calyx dry""",Stevens (2004),Andromedeae,
Gaultheria_fragrantissima,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_trigonoclada,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_wardii,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_brevistipes,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_semi_infera,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_hookeri,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_tetramera,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_notabilis,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Dumicolae
Gaultheria_discolor,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_longibracteolata,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_straminea,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_praticola,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Leucothoides
Gaultheria_heteromera,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_nummularioides,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,Series Nummularioideae
Gaultheria_pyrolifolia,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_dumicola,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_pseudonotabilis,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_codonantha,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_griffithiana,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_jingdongensis,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_sinensis,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_eciliata,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_trichophylla,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_hypochlora,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_cardiosepala,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_thymifolia,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_dolichopoda,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_tasmanica,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_antipoda,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Pernettya_prostrata,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_borneensis,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_prostrata,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_cuneata,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_pyroloides,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_eriophylla,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_shallon,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Tepuia_venusta,Fleshy,"""Fruit baccate""",Stevens (2004),,
Tepuia_cardonae,Fleshy,"""Fruit baccate""",Stevens (2004),,
Gaultheria_procumbens,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Diplycosia_acuminata,Fleshy,"""Fruit baccate""",Stevens (2004),,
Diplycosia_cinnamomifolia,Fleshy,"""Fruit baccate""",Stevens (2004),,
Gaultheria_leucocarpa,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Gaultheria_suborbicularis,Fleshy,"""Fruit fleshy, or fruit dry but calyx fleshy""",Middleton (1991); Stevens (2004),Andromedeae,
Eubotrys_recurva,Dry,"""Fruit and calyx dry""",Stevens (2004),,
Eubotrys_racemosa,Dry,"""Fruit and calyx dry""",Stevens (2004),,
Chamaedaphne_calyculata,Dry,"""Spherical, distended capsule, bursting with five valves """,Zr—bek-Sokolnik et al. (2019),,
Leucothoe_keiskei,Dry,"""Fruit and calyx dry""",Stevens (2004),,
Leucothoe_fontanesiana,Dry,"""Fruit and calyx dry""",Stevens (2004),,
Leucothoe_davisiae,Dry,"""Fruit and calyx dry""",Stevens (2004),,
Eubotryoides_grayana,Dry,"""Fruit and calyx dry"" (Leucothoe)",Stevens (2004),,
Oxydendrum_arboreum,Dry,"""Capsule""",,,
Pieris_formosa,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Pieris_phillyreifolia,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Pieris_koidzumiana,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Pieris_japonica,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Pieris_floribunda,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Pieris_nana,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Agarista_salicifolia,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Agarista_populifolia,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Craibiodendron_scleranthum_var_kwangtungense,Dry,"""Loculicidal capsules""",Judd (1986),Lyonia group,
Craibiodendron_yunnanense,Dry,"""Loculicidal capsules""",Judd (1986),Lyonia group,
Lyonia_ovalifolia,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Lyonia_ligustrina,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Lyonia_ferruginea,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Lyonia_lucida,Dry,"""Capsule""",Stevens (2004),Lyonia group,
Harrimanella_hypnoides,Dry,"""Capsule""",Kron and Judd (1997),Lyonia group,
Rhododendron_floccigerum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_cerasinum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_fulvum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_roxieanum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_sinogrande,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_arizelum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_forrestii,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_thomsonii,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_beesianum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_auriculatum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_williamsianum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_wardii,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_glischrum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_anthosphaerum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_lukiangense,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_arboreum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_fortunei,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_vernicosum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_smirnowii,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_ponticum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_maximum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_calophytum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_catawbiense,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_atlanticum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_canadense,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_groenlandicum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_tomentosum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_keleticum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_impeditum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_telmateium,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_lapponicum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_tapetiforme,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_hippophaeoides,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_yunnanense,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_rubiginosum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_racemosum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_zaleucum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_monanthum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_xanthostephanum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_edgeworthii,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_lepidotum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_fragariiflorum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_mucronulatum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_hirsutum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_ferrugineum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_vaccinioides,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_oldhamii,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_indicum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_tsusiophyllum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_mariesii,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_farrerae,Dry,"""Capsule longer than wide""",Stevens (2004),,
Elliottia_racemosa,Dry,"""Capsule""",Godt and Hamrick (1999),,
Rhododendron_albiflorum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Menziesia_ciliicalyx,Dry,"""Capsule subspherical""",Stevens (2004),,
Menziesia_pilosa,Dry,"""Capsule subspherical""",Stevens (2004),,
Rhododendron_leptothrium,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_ovatum,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_championiae,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_henryi,Dry,"""Capsule longer than wide""",Stevens (2004),,
Rhododendron_moulmainense,Dry,"""Capsule longer than wide""",Stevens (2004),,
Diplarche_multiflora,Dry,"""Capsule""",Stevens (2004),,
Empetrum_nigrum,Fleshy,"""Drupe""",Anderberg (1994),,
Empetrum_eamesii,Fleshy,"""Drupe""",Anderberg (1994),,
Empetrum_hermaphroditum,Fleshy,"""Drupe""",Anderberg (1994),,
Empetrum_rubrum,Fleshy,"""Drupe""",Anderberg (1994),,
Empetrum_atropurpureum,Fleshy,"""Drupe""",Anderberg (1994),,
Corema_conradii,Fleshy,"""Drupe""",Anderberg (1994),,
Ceratiola_ericoides,Fleshy,"""Drupe""",Anderberg (1994),,
Corema_album,Fleshy,"""Drupe""",Anderberg (1994),,
Erica_scoparia,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_azorica,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_tetralix,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_arborea,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_anguliger,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_discolor,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_carnea,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_cinerea,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Erica_sicula,Dry,"""Fruit loculicidal or indehiscent""",Stevens (2004),,
Bruckenthalia_spiculifolia,Dry,"""Fruit loculicidal or indehiscent"" (Erica)",Stevens (2004),,
Calluna_vulgaris,Dry,"""Capsule septifragal""",Stevens (2004),,
Daboecia_cantabrica,no_info,no_info,no_info,,
Daboecia_azorica,no_info,no_info,no_info,,
Ledothamnus_sessiliflorus,Dry,"""Fruit septicidal""",Stevens (2004),,
Ledothamnus_guyanensis,Dry,"""Fruit septicidal""",Stevens (2004),,
Bryanthus_gmelinii,Dry,"""Fruit septicidal""",Stevens (2004),,
Phyllodoce_caerulea,Dry,"""Fruit septicidal""",Stevens (2004),,
Phyllodoce_nipponica,Dry,"""Fruit septicidal""",Stevens (2004),,
Phyllodoce_empetriformis,Dry,"""Fruit septicidal""",Stevens (2004),,
Kalmiopsis_fragrans,Dry,"""Fruit septicidal""",Stevens (2004),,
Kalmiopsis_leachiana,Dry,"""Fruit septicidal""",Stevens (2004),,
Phyllodoce_aleutica,Dry,"""Fruit septicidal""",Stevens (2004),,
Rhodothamnus_chamaecistus,Dry,"""Fruit septicidal""",Stevens (2004),,
Epigaea_repens,Fleshy,"""the placentae alone are fleshy and seeds [É] may be dispersed by ter-restrial animals.""",Stevens (2004),,
Kalmia_latifolia,Dry,"""Fruit septicidal""",Stevens (2004),,
Kalmia_hirsuta,Dry,"""Fruit septicidal""",Stevens (2004),,
Kalmia_procumbens,Dry,"""Fruit septicidal""",Stevens (2004),,
Kalmia_buxifolia,Dry,"""Fruit septicidal""",Stevens (2004),,
Kalmia_angustifolia,Dry,"""Fruit septicidal""",Stevens (2004),,
Kalmia_polifolia,Dry,"""Fruit septicidal""",Stevens (2004),,
Bejaria_aestuans,Dry,"""Fruit septicidal""",Stevens (2004),,
Bejaria_resinosa,Dry,"""Fruit septicidal""",Stevens (2004),,
Bejaria_racemosa,Dry,"""Fruit septicidal""",Stevens (2004),,
Elliottia_bracteata,Dry,"""Fruit septicidal""",Stevens (2004),,
Cassiope_selaginoides,Dry,"""Capsule""",Stevens (1970),,
Cassiope_fastigiata,Dry,"""Capsule""",Stevens (1970),,
Cassiope_dendrotricha,Dry,"""Capsule""",Stevens (1970),,
Cassiope_pectinata,Dry,"""Capsule""",Stevens (1970),,
Cassiope_mertensiana,Dry,"""Capsule""",Stevens (1970),,
Arbutus_canariensis,Fleshy,"""Baccate fruit""",Hileman (2001),,
Arbutus_menziesii,Fleshy,"""Baccate fruit""",Hileman (2001),,
Comarostaphylis_arbutoides,Fleshy,"""Fleshy fruits""",Diggs (1987),,
Arctous_rubra,Fleshy,"""Drupaceous fruit""",Hileman (2001),,
Arctous_alpina,Fleshy,"""Drupaceous fruit""",Hileman (2001),,
Arctostaphylos_pungens,Fleshy,"""Drupaceous fruit""",Hileman (2001),,
Arctostaphylos_uva_ursi,Fleshy,"""Drupaceous fruit""",Hileman (2001),,
Monotropa_hypopitys,Dry,"""Capsule""",Stevens (2004),,
Allotropa_virgata,Dry,"""Capsule""",Lichthardt (1995),,
Pyrola_rotundifolia,Dry,"""Capsule valves with cobwebby edges""",Stevens (2004),,
Pyrola_elliptica,Dry,"""Capsule valves with cobwebby edges""",Stevens (2004),,
Pyrola_minor,Dry,"""Capsule valves with cobwebby edges""",Stevens (2004),,
Pyrola_grandiflora,Dry,"""Capsule valves with cobwebby edges""",Stevens (2004),,
Pyrola_picta,Dry,"""Capsule valves with cobwebby edges""",Stevens (2004),,
Orthilia_secunda,Dry,"""Capsule""",Freudenstein (1999),,
Chimaphila_maculata,Dry,"""Capsule""",Takahashi (1993),,
Chimaphila_umbellata,Dry,"""Capsule""",Takahashi (1993),,
Moneses_uniflora,Dry,"""Capsule""",Takahashi (1993),,
Enkianthus_campanulatus,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_cernuus,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_sikokianus,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_chinensis,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_deflexus_var_deflexus,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_subsessilis,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_nudipes,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_perulatus,Dry,"""Capsule""",Stevens (2004),,
Enkianthus_quinqueflorus,Dry,"""Capsule""",Stevens (2004),,
Actinidia_eriantha,remove,outgroup,,,
Actinidia_cylindrica,remove,outgroup,,,
Actinidia_callosa_var_discolor,remove,outgroup,,,
Actinidia_sabiifolia,remove,outgroup,,,
Actinidia_henanensis,remove,outgroup,,,
Actinidia_chinensis,remove,outgroup,,,
Actinidia_deliciosa,remove,outgroup,,,
Actinidia_melanandra,remove,outgroup,,,
Actinidia_arguta,remove,outgroup,,,
Actinidia_valvata,remove,outgroup,,,
Actinidia_polygama,remove,outgroup,,,
Clematoclethra_lasioclada,remove,outgroup,,,
Saurauia_tristyla,remove,outgroup,,,
Saurauia_montana,remove,outgroup,,,
Roridula_gorgonias,remove,outgroup,,,
Roridula_dentata,remove,outgroup,,,
Sarracenia_flava,remove,outgroup,,,
Sarracenia_purpurea,remove,outgroup,,,
Heliamphora_minor,remove,outgroup,,,
Heliamphora_nutans,remove,outgroup,,,
Darlingtonia_californica,remove,outgroup,,,
Clethra_alnifolia,remove,outgroup,,,
Clethra_mexicana,remove,outgroup,,,
Clethra_barbinervis,remove,outgroup,,,
Clethra_arborea,remove,outgroup,,,
Cliftonia_monophylla,remove,outgroup,,,
Cyrilla_racemiflora,remove,outgroup,,,
Ranunculus_acris,remove,outgroup,,,
