Species,Fruit_type,Notes,Reference,,
Leucopogon_leptospermoides,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_muticus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_ericoides,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_crassiflorus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_conostephioides,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_hispidus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_pubescens,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Astroloma_xerophyllum,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Styphelia_longifolia,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_blepharolepis,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Croninia_kingiana,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Acrotriche_rigida,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Acrotriche_divaricata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Acrotriche_parviflora,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Cyathodes_straminea,Fleshy,"""Fleshy fruit""",Crayn et al. (2020),TRIBE STYPHELIEAE,
Cyathodes_glauca,Fleshy,"""Fleshy fruit""",Crayn et al. (2020),TRIBE STYPHELIEAE,
