Species,Fruit_type,,
Acisanthera_hedyotoidea,Dry,,
Comolia_leptophylla,Dry,,
Comolia_villosa,Dry,,
Comolia_smithii,Dry,,
Comolia_microphylla,Dry,,
Comolia_ovalifolia,Dry,,
Sandemania_hoehnei,Dry,,
Comolia_vernicosa,Dry,,
Siphanthera_foliosa,Dry,,
Siphanthera_paludosa,Dry,,
Siphanthera_arenaria,Dry,,
Siphanthera_cordifolia,Dry,,
Siphanthera_fasciculata,Dry,,
Siphanthera_hostmannii,Dry,,
Siphanthera_cordata,Dry,,
Siphanthera_gracillima,Dry,,
Siphanthera_subtilis,Dry,,
Siphanthera_dawsonii,Dry,,
Comolia_montana,Dry,,
Acisanthera_crassipes,Dry,,
Acisanthera_genliseoides,Dry,,
Acisanthera_tetraptera,Dry,,
Ernestia_ovata,Dry,,
Acisanthera_uniflora,Dry,,
Comolia_stenodon,Dry,,
Acisanthera_quadrata,Dry,,
Acisanthera_paraguayensis,Dry,,
Comolia_ayangannae,Dry,,
Acisanthera_alsinaefolia,Dry,,
Acisanthera_variabilis,Dry,,
Ernestia_cordifolia,Dry,,
Macairea_thyrsiflora,Dry,,
Macairea_pachyphylla,Dry,,
Macairea_radula,Dry,,
Macairea_lasiophylla,Dry,,
Macairea_multinervia,Dry,,
Ernestia_tenella,Dry,,
Ernestia_adenotricha,Dry,,
Ernestia_quadriseta,Dry,,
Ernestia_maguirei,Dry,,
Ernestia_confertiflora,Dry,,
Ernestia_rubra,Dry,,
Brasilianthus_carajensis,Dry,,
Nepsera_aquatica,Dry,,
Comolia_coriacea,Dry,,
Ernestia_pullei,Dry,,
Acisanthera_boissieriana,Dry,,
Appendicularia_thymifolia,Dry,,
Acisanthera_limnobios,Dry,,
Acisanthera_bivalvis,Dry,,
Aciotis_annua,Dry,,
Aciotis_polystachya,Dry,,
Fritzschia_anisostemon,Dry,,
Fritzschia_erecta,Dry,,
Comolia_edmundoi,Dry,,
Comolia_lanceiflora,Dry,,
Comolia_sertularia,Dry,,
Comolia_sessilis,Dry,,
Marcetia_acerosa,Dry,,
Marcetia_canescens,Dry,,
Marcetia_latifolia,Dry,,
Marcetia_alba,Dry,,
Marcetia_viscida,Dry,,
Marcetia_eimeariana,Dry,,
Marcetia_grandiflora,Dry,,
Marcetia_harleyi,Dry,,
Marcetia_formosa,Dry,,
Marcetia_taxifolia,Dry,,
Marcetia_macrophylla,Dry,,
