"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"60","Dracophyllum_arboreum",5.652665,NA,0.000198,6.928538,NA,0.199182,6.830874,NA,0.042895,9.21064,NA,0.167764,"Dry"
"61","Dracophyllum_balansae",5.672464,NA,0.000198,7.939872,NA,0.199182,7.297768,NA,0.042895,10.069807,NA,0.167764,"Dry"
"62","Dracophyllum_cosmelioides",5.687822,NA,0.000198,7.351158,NA,0.199182,7.403061,NA,0.042895,9.272564,NA,0.167764,"Dry"
"63","Dracophyllum_filifolium",5.642456,0.002373,1.2e-05,7.499297,0.095596,0.011717,6.959727,0.017689,0.002523,9.859406,0.121143,0.009868,"Dry"
"64","Dracophyllum_involucratum",5.689853,NA,0.000198,7.609367,NA,0.199182,7.421776,NA,0.042895,9.176784,NA,0.167764,"Dry"
"65","Dracophyllum_kirkii",5.632223,0.002299,2.5e-05,7.806258,0.151173,0.024898,6.94276,0.023759,0.005362,10.276327,0.108268,0.02097,"Dry"
"66","Dracophyllum_latifolium",5.654993,0.002854,2.8e-05,7.538762,0.054079,0.028455,7.006816,0.01317,0.006128,9.779795,0.083268,0.023966,"Dry"
"67","Dracophyllum_macranthum",5.670053,0,9.9e-05,7.434848,0,0.099591,7.339538,0,0.021447,9.216422,0,0.083882,"Dry"
"68","Dracophyllum_menziesii",5.63225,0.00375,2.2e-05,8.1112,0.15569,0.022131,6.910358,0.029798,0.005362,10.308053,0.139448,0.02097,"Dry"
"69","Dracophyllum_milliganii",5.639459,0.00466,6.6e-05,7.963249,0.081641,0.066394,6.819291,0.056677,0.014298,10.211549,0.083679,0.055921,"Dry"
"70","Dracophyllum_minimum",5.636918,0.002849,5e-05,7.686212,0.15775,0.049796,6.779645,0.041094,0.010724,10.08637,0.092376,0.041941,"Dry"
"71","Dracophyllum_muscoides",5.621107,0.002738,3.3e-05,7.07352,0.245593,0.033197,6.955616,0.029729,0.007149,10.029247,0.214922,0.027961,"Dry"
"72","Dracophyllum_oceanicum",5.67212,NA,0.000198,7.229839,NA,0.199182,NA,NA,Inf,NA,NA,Inf,"Dry"
"73","Dracophyllum_ophioliticum",5.64102,0.00071,9.9e-05,7.34226,0.01975,0.099591,6.914729,0.001986,0.021447,9.967914,0.032927,0.083882,"Dry"
"74","Dracophyllum_ouaiemense",5.678977,NA,0.000198,8.075272,NA,0.199182,7.414573,NA,0.042895,9.83569,NA,0.167764,"Dry"
"75","Dracophyllum_patens",5.654062,0.003153,9.9e-05,7.687302,0.003898,0.099591,7.013766,0.034621,0.021447,9.852321,0.067336,0.083882,"Dry"
