"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"506","Solanum_linearifolium",5.661089,0.008701,4.4e-05,6.65181,0.113758,0.071057,7.398673,0.137455,0.007255,8.440039,0.204676,0.091411,"Fleshy"
"507","Solanum_longiconicum",5.655586,0.006112,3.3e-05,8.111743,0.063437,0.053293,7.074998,0.087594,0.005442,9.931559,0.089457,0.068558,"Fleshy"
"508","Solanum_lucani",5.705292,0.000447,3e-06,6.631058,0.060727,0.004845,7.88138,0.013749,0.000495,7.986092,0.067979,0.006233,"Dry"
"509","Solanum_lumholtzianum",5.681222,0.002368,1.1e-05,6.045339,0.075634,0.017764,7.738861,0.025268,0.001814,7.610882,0.073321,0.022853,"Dry"
"510","Solanum_luteoalbum",5.655931,0.006258,1.5e-05,6.909209,0.207699,0.023686,7.159786,0.06098,0.002418,8.950386,0.179097,0.03047,"Fleshy"
"511","Solanum_lycocarpum",5.690781,0.000741,1e-06,7.184051,0.025204,0.002175,7.322971,0.009429,0.000222,9.083168,0.024567,0.002798,"Fleshy"
"512","Solanum_lycopersicoides",5.63993,0.007106,6.5e-05,4.908801,0.018452,0.106586,7.481967,0.017457,0.010883,6.803105,0.151534,0.137117,"Fleshy"
"513","Solanum_lyratum",5.661809,0.001101,1e-06,6.991206,0.044015,0.001603,7.081545,0.011568,0.000166,9.186844,0.039094,0.002093,"Fleshy"
"514","Solanum_lythrocarpum",5.680343,NA,0.000131,6.689599,NA,0.213172,7.507141,NA,0.021766,8.253748,NA,0.274234,"Fleshy"
"515","Solanum_macoorai",5.686968,0.003898,6.5e-05,7.507449,0.524586,0.106586,7.491524,0.043773,0.010883,9.515379,0.110377,0.137117,"Fleshy"
"516","Solanum_macrocarpon",5.698853,0.001143,3e-06,7.267114,0.05233,0.005329,7.398506,0.026875,0.000544,9.085584,0.070077,0.006856,"Fleshy"
"517","Solanum_maglia",5.656698,0.007506,1.9e-05,5.769376,0.197719,0.030453,7.251498,0.045753,0.003109,7.832289,0.180628,0.039176,"Fleshy"
"518","Solanum_mahoriense",5.694574,NA,0.000131,7.249926,NA,0.213172,7.658228,NA,0.021766,8.829812,NA,0.274234,"Fleshy"
"519","Solanum_mammosum",5.693611,0.000846,1e-06,7.504553,0.056838,0.001903,7.331686,0.014389,0.000194,9.438326,0.063951,0.002449,"Fleshy"
"520","Solanum_mapiriense",5.678294,NA,0.000131,7.531016,NA,0.213172,7.336286,NA,0.021766,9.228966,NA,0.274234,"Fleshy"
"521","Solanum_maternum",5.657945,0.006054,3.3e-05,6.947992,0.110195,0.053293,7.364893,0.032252,0.005442,8.381116,0.0699,0.068558,"Fleshy"
"522","Solanum_megalonyx",5.691891,0.001035,4e-06,6.785334,0.053593,0.00627,7.33271,0.015231,0.00064,8.637483,0.057547,0.008066,"Fleshy"
"523","Solanum_melanospermum",5.702133,0.000273,1.5e-05,6.526008,0.119776,0.023686,7.876555,0.023984,0.002418,7.931642,0.139771,0.03047,"Fleshy"
"524","Solanum_melissarum",5.683605,0.001749,4e-06,7.342225,0.040282,0.006877,7.189245,0.019741,0.000702,9.326526,0.046013,0.008846,"Fleshy"
"525","Solanum_microdontum",5.660098,0.003733,6e-06,6.637931,0.080281,0.010151,7.466991,0.016704,0.001036,7.997919,0.130741,0.013059,"Fleshy"
"526","Solanum_mite",5.6922,0.001394,2e-06,7.521428,0.051898,0.003613,7.205892,0.013976,0.000369,9.632959,0.051222,0.004648,"Fleshy"
"527","Solanum_mitlense",5.680014,0.002633,8e-06,6.892102,0.114824,0.013323,7.486124,0.020916,0.00136,8.600974,0.1091,0.01714,"Fleshy"
"528","Solanum_monachophyllum",5.699928,0.000522,2e-06,7.638802,0.033093,0.003089,7.348823,0.012418,0.000315,9.519275,0.041599,0.003974,"Fleshy"
"529","Solanum_monarchostemon",5.693173,0.001833,1.6e-05,8.148927,0.084902,0.026646,7.059596,0.011371,0.002721,10.243299,0.059501,0.034279,"Fleshy"
"530","Solanum_montanum",5.680456,0.005244,1.2e-05,3.856493,0.305505,0.019379,7.263922,0.066978,0.001979,5.443864,0.46102,0.02493,"Fleshy"
"531","Solanum_morelliforme",5.664948,0.007883,3.3e-05,7.086161,0.10124,0.053293,7.323975,0.05507,0.005442,8.90452,0.076908,0.068558,"Fleshy"
"532","Solanum_mortonii",5.653716,NA,0.000131,6.063785,NA,0.213172,7.571474,NA,0.021766,7.767264,NA,0.274234,"Dry"
"533","Solanum_moxosense",5.693525,0.00625,4.4e-05,7.230804,0.304765,0.071057,7.388174,0.023712,0.007255,9.066265,0.328271,0.091411,"Fleshy"
"534","Solanum_multifidum",5.688462,0.000956,1.3e-05,3.542632,0.24317,0.021317,7.27551,0.053797,0.002177,4.78535,0.348545,0.027423,"Fleshy"
"535","Solanum_multiinterruptum",5.650909,NA,0.000131,5.963579,NA,0.213172,7.163947,NA,0.021766,7.929487,NA,0.274234,"Fleshy"
"536","Solanum_multispinum",5.692676,0.000968,1.6e-05,7.150108,0.037411,0.026646,7.509596,0.01102,0.002721,8.720702,0.070621,0.034279,"Fleshy"
"537","Solanum_muricatum",5.665607,0.003406,7e-06,6.811167,0.208953,0.010659,7.130955,0.033293,0.001088,8.854948,0.274209,0.013712,"Fleshy"
"538","Solanum_myoxotrichum",5.674769,0.002596,1.3e-05,7.508094,0.127039,0.021317,7.314887,0.039253,0.002177,9.170885,0.086227,0.027423,"Fleshy"
"539","Solanum_myriacanthum",5.68637,0.001638,3e-06,7.274943,0.07231,0.004737,7.45274,0.01139,0.000484,9.033216,0.074834,0.006094,"Fleshy"
"540","Solanum_nemophilum",5.680157,0.002212,8e-06,6.610296,0.043656,0.013323,7.542255,0.02473,0.001451,8.240936,0.056797,0.018282,"Fleshy"
"541","Solanum_nemorense",5.691282,0.001666,4e-06,7.642519,0.07285,0.005761,7.171426,0.019535,0.000588,9.675663,0.072841,0.007412,"Fleshy"
"542","Solanum_neoanglicum",5.653363,0.002454,6.5e-05,6.890509,0.163077,0.106586,7.227097,0.050842,0.010883,8.916679,0.161729,0.137117,"Fleshy"
"543","Solanum_neorickii",5.667758,0.002862,1.5e-05,6.376654,0.192998,0.023686,7.2768,0.030138,0.002418,8.512522,0.13666,0.03047,"Fleshy"
"544","Solanum_nigriviolaceum",5.662935,0.005795,2.2e-05,7.161993,0.092175,0.035529,7.267095,0.061614,0.003628,9.037213,0.1299,0.045706,"Fleshy"
"545","Solanum_nitidum",5.636505,0.002264,4e-06,6.243502,0.150638,0.006662,7.197666,0.035342,0.00068,8.386373,0.202713,0.00857,"Fleshy"
"546","Solanum_nobile",5.659766,0.002551,4.4e-05,7.166536,0.053125,0.071057,7.294523,0.027444,0.007255,8.922512,0.031585,0.091411,"Fleshy"
"547","Solanum_nummularium",5.682088,0.000873,3e-06,5.564927,0.02212,0.004536,7.829557,0.016068,0.000463,6.957217,0.032148,0.005835,"Fleshy"
"548","Solanum_obliquum",5.686104,0.00394,8e-06,7.632242,0.092521,0.01254,7.137229,0.018188,0.00128,9.625436,0.094649,0.016131,"Fleshy"
"549","Solanum_occultum",5.69219,0.001435,5e-06,7.647046,0.105339,0.008199,7.145712,0.01727,0.000837,9.769981,0.098155,0.010547,"Fleshy"
"550","Solanum_ochranthum",5.658998,0.004302,6e-06,7.235763,0.130266,0.009268,7.102044,0.026139,0.000946,9.340892,0.081712,0.011923,"Fleshy"
"551","Solanum_ochrophyllum",5.652916,0.004039,1.9e-05,7.325097,0.170085,0.030453,7.178764,0.032892,0.003109,8.966483,0.165275,0.039176,"Fleshy"
"552","Solanum_oedipus",5.706944,NA,0.000131,6.939254,NA,0.213172,7.854381,NA,0.021766,8.452335,NA,0.274234,"Dry"
"553","Solanum_okadae",5.636792,0.012322,3.3e-05,6.637593,0.224443,0.053293,7.412612,0.056556,0.005442,7.879876,0.451788,0.068558,"Fleshy"
"554","Solanum_oldfieldii",5.679637,0.001292,5e-06,5.875079,0.057932,0.007351,7.747577,0.023729,0.000777,7.340642,0.077608,0.009794,"Fleshy"
"555","Solanum_opacum",5.670285,0.001442,2e-06,6.611898,0.055537,0.002632,7.440698,0.023537,0.000276,8.377367,0.07027,0.003471,"Fleshy"
