"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"806","Miconia_stevensiana",5.697585,0.001454,6e-06,8.037784,0.06573,0.008867,7.431683,0.010865,0.001026,9.780687,0.038772,0.009772,"Biotic"
"807","Miconia_stipitata",5.680978,0.008074,1.3e-05,7.906046,0.156174,0.017734,7.208752,0.063657,0.002052,9.709445,0.058433,0.019545,"Biotic"
"808","Miconia_suaveolens",5.693227,NA,7.7e-05,7.544861,NA,0.106405,7.347944,NA,0.012312,9.130756,NA,0.117268,"Biotic"
"809","Miconia_subcompressa",5.68409,NA,7.7e-05,7.63627,NA,0.106405,7.299121,NA,0.012312,9.611998,NA,0.117268,"Biotic"
"810","Miconia_summa",5.651658,0.010969,1.3e-05,7.193374,0.107722,0.017734,7.057242,0.060583,0.002052,9.526216,0.11821,0.019545,"Biotic"
"811","Miconia_superba",5.693102,0.005215,1.9e-05,7.880088,0.054308,0.026601,7.374414,0.05319,0.003078,9.427667,0.071202,0.029317,"Biotic"
"812","Miconia_tabayensis",5.65266,0.003157,3.9e-05,7.052558,0.054048,0.053203,7.139991,0.011495,0.006156,9.086771,0.027719,0.058634,"Biotic"
"813","Miconia_tamana",5.668328,NA,7.7e-05,7.075809,NA,0.106405,7.153834,NA,0.012312,9.129781,NA,0.117268,"Biotic"
"814","Miconia_tentaculifera",5.677094,0.002225,3.9e-05,7.311814,0.012017,0.053203,7.181913,0.029644,0.006156,9.402996,0.011835,0.058634,"Biotic"
"815","Miconia_tetragona",5.702114,0.000167,3.9e-05,7.910641,0.041622,0.053203,7.058317,0.004731,0.006156,10.030758,0.028194,0.058634,"Biotic"
"816","Miconia_tetrastoma",5.672974,0.003265,3.9e-05,7.532162,0.147552,0.053203,7.300473,0.025993,0.006156,9.326435,0.321644,0.058634,"Biotic"
"817","Miconia_tiliifolia",5.694264,0.001301,2e-06,7.328064,0.119953,0.002956,7.27013,0.018338,0.000342,9.271333,0.132041,0.003257,"Biotic"
"818","Miconia_tillettii",5.692218,0.001492,5e-06,7.804976,0.061145,0.006259,7.290423,0.016365,0.000724,9.713323,0.0491,0.006898,"Biotic"
"819","Miconia_tinifolia",5.663477,0.003825,3e-06,7.427267,0.086468,0.003547,7.106587,0.033637,0.00041,9.46421,0.077066,0.003909,"Biotic"
"820","Miconia_tomentosa",5.698707,0.000594,1e-06,7.707742,0.034545,0.001298,7.253689,0.011795,0.000152,9.654025,0.037584,0.001448,"Biotic"
"821","Miconia_tovarensis",5.676033,0.003178,1e-05,7.238039,0.107842,0.013301,7.279169,0.023289,0.001539,8.971323,0.072138,0.014658,"Biotic"
"822","Miconia_traillii",5.700556,0.000655,3e-06,7.827405,0.038264,0.003941,7.211376,0.020333,0.000456,9.824169,0.04593,0.004343,"Biotic"
"823","Miconia_trianae",5.682671,0.000768,1.3e-05,7.271807,0.029625,0.017734,7.169199,0.019077,0.002052,9.304304,0.02152,0.019545,"Biotic"
"824","Miconia_triangularis",5.68592,0.001333,1.5e-05,7.840811,0.211553,0.021281,7.078099,0.037065,0.002462,9.91997,0.240888,0.023454,"Biotic"
"825","Miconia_trimera",5.697551,0.000975,1e-05,7.808852,0.032831,0.013301,7.362311,0.007125,0.001539,9.678006,0.031519,0.014658,"Biotic"
"826","Miconia_tristis",5.678559,0.001987,6e-06,7.32651,0.078092,0.008185,7.125049,0.020108,0.000947,9.430695,0.087698,0.009021,"Biotic"
"827","Miconia_tschudyoides",5.701279,0.000669,2.6e-05,7.875883,0.108801,0.035468,7.398063,0.03036,0.004104,9.718167,0.119881,0.039089,"Biotic"
"828","Miconia_tuberculata",5.679998,0.003873,4e-06,7.201514,0.077449,0.005067,7.314018,0.027627,0.000586,9.102966,0.07789,0.005584,"Biotic"
"829","Miconia_turquinensis",5.678636,NA,7.7e-05,7.509883,NA,0.106405,7.145984,NA,0.012312,9.655795,NA,0.117268,"Biotic"
"830","Miconia_ulmarioides",5.666782,0.002745,7e-06,7.32076,0.128572,0.009673,7.214194,0.017109,0.001119,9.154189,0.103163,0.010661,"Biotic"
"831","Miconia_undata",5.700334,0.001403,8e-06,7.880803,0.078516,0.010641,7.226706,0.028937,0.001231,9.835003,0.082187,0.011727,"Biotic"
"832","Miconia_uninervis",5.689515,NA,7.7e-05,7.388946,NA,0.106405,7.313887,NA,0.012312,9.452894,NA,0.117268,"Biotic"
"833","Miconia_urticoides",5.6833,0.002683,1e-05,8.05949,0.101804,0.013301,7.260675,0.01442,0.001539,9.830752,0.04833,0.014658,"Biotic"
"834","Miconia_valtheri",5.675598,0.001491,4e-06,7.370203,0.041202,0.005067,7.102406,0.018861,0.000586,9.496803,0.048215,0.005584,"Biotic"
"835","Miconia_variabilis",5.692138,0.001478,3e-06,8.129154,0.088843,0.003941,7.188712,0.023889,0.000456,10.087618,0.089706,0.004343,"Biotic"
"836","Miconia_victorinii",5.698937,NA,7.7e-05,7.34601,NA,0.106405,7.5224,NA,0.012312,9.076695,NA,0.117268,"Biotic"
"837","Miconia_villonacensis",5.67624,NA,7.7e-05,6.861711,NA,0.106405,7.346655,NA,0.012312,8.490028,NA,0.117268,"Biotic"
"838","Miconia_wagneri",5.691787,0.003749,1e-05,7.498841,0.097348,0.013301,7.195932,0.037781,0.001539,9.552783,0.127398,0.014658,"Biotic"
"839","Miconia_willdenowii",5.671195,0.001598,1.3e-05,7.376506,0.074214,0.017734,7.05451,0.028626,0.002052,9.508485,0.066019,0.019545,"Biotic"
"840","Miconia_xenotricha",5.669708,NA,7.7e-05,7.679714,NA,0.106405,7.221836,NA,0.012312,9.752141,NA,0.117268,"Biotic"
