Species,Fruit_type,Fruit_type_and_notes,Notes,References
Desmidorchis_adenensis,Dry,Follicles,,Endress et al. (2018)
Desmidorchis_awdeliana,Dry,Follicles,,Endress et al. (2018)
Desmidorchis_edithae,Dry,Follicles,,Endress et al. (2018)
Desmidorchis_lavranii,Dry,Follicles,,Endress et al. (2018)
Desmidorchis_speciosa,Dry,Follicles,,Endress et al. (2018)
Dewevrella_cochliostema,Dry,,,Endress et al. (2018)
Dictyanthus_parviflorus,Dry,,,Endress et al. (2018)
Dictyanthus_reticulatus,Dry,,,Endress et al. (2018)
Diplolepis_australis,Dry,,,Endress et al. (2018)
Diplolepis_biflora,Dry,,,Endress et al. (2018)
Diplolepis_boerhaviifolia,Dry,,,Endress et al. (2018)
Diplolepis_bulligera,Dry,,,Endress et al. (2018)
Diplolepis_descolei,Dry,,,Endress et al. (2018)
Diplolepis_diemii,Dry,,,Endress et al. (2018)
Diplolepis_geminiflora,Dry,,,Endress et al. (2018)
Diplolepis_hieronymi,Dry,,,Endress et al. (2018)
Diplolepis_menziesii,Dry,,,Endress et al. (2018)
Diplolepis_mucronata,Dry,,,Endress et al. (2018)
Diplolepis_nummulariifolia,Dry,,,Endress et al. (2018)
Diplolepis_pachyphylla,Dry,,,Endress et al. (2018)
Diplorhynchus_condylocarpon,Dry,Follicles,winged seeds,Endress et al. (2018)
Diplostigma_canescens,Dry,Follicles,,Endress et al. (2018)
Dischidia_astephana,Dry,,,Endress et al. (2018)
Dischidia_hirsuta,Dry,,,Endress et al. (2018)
Ditassa_auriflora,Dry,,,Endress et al. (2018)
Ditassa_banksii,Dry,,,Endress et al. (2018)
Ditassa_blanchetii,Dry,,,Endress et al. (2018)
Ditassa_burchellii,Dry,,,Endress et al. (2018)
Ditassa_capillaris,Dry,,,Endress et al. (2018)
Ditassa_conceptionis,Dry,,,Endress et al. (2018)
Ditassa_cordeiroana,Dry,,,Endress et al. (2018)
Ditassa_crassifolia,Dry,,,Endress et al. (2018)
Ditassa_eximia,Dry,,,Endress et al. (2018)
Ditassa_fasciculata,Dry,,,Endress et al. (2018)
Ditassa_hastata,Dry,,,Endress et al. (2018)
Ditassa_hispida,Dry,,,Endress et al. (2018)
Ditassa_mucronata,Dry,,,Endress et al. (2018)
Ditassa_niruri,Dry,,,Endress et al. (2018)
Ditassa_obcordata,Dry,,,Endress et al. (2018)
Ditassa_pohliana,Dry,,,Endress et al. (2018)
Ditassa_retusa,Dry,,,Endress et al. (2018)
Ditassa_rotundifolia,Dry,,,Endress et al. (2018)
Ditassa_tomentosa,Dry,,,Endress et al. (2018)
Duvalia_angustiloba,Dry,,,Endress et al. (2018)
Duvalia_eilensis,Dry,,,Endress et al. (2018)
Duvalia_polita,Dry,,,Endress et al. (2018)
Duvaliandra_dioscoridis,Dry,,,Endress et al. (2018)
Dyera_costulata,Dry,Follicles,,Endress et al. (2018)
Echidnopsis_cereiformis,Dry,,,Endress et al. (2018)
Echidnopsis_dammanniana,Dry,,,Endress et al. (2018)
Echidnopsis_leachii,Dry,,,Endress et al. (2018)
Echidnopsis_malum,Dry,,,Endress et al. (2018)
Echidnopsis_repens,Dry,,,Endress et al. (2018)
Echidnopsis_squamulata,Dry,,,Endress et al. (2018)
Echites_agglutinatus,Dry,Follicles,with coma,Endress et al. (2018)
Echites_turriger,Dry,Follicles,with coma,Endress et al. (2018)
Echites_umbellatus,Dry,Follicles,with coma,Endress et al. (2018)
Echites_woodsonianus,Dry,Follicles,with coma,Endress et al. (2018)
Ectadium_latifolium,Dry,,,Endress et al. (2018)
Edithcolea_grandis,Dry,,,Endress et al. (2018)
Elytropus_chilensis,Dry,Follicles,,Endress et al. (2018)
Epigynum_auritum,Dry,Follicles,Coma present.,Endress et al. (2018)
Epigynum_cochinchinense,Dry,Follicles,Coma present.,Endress et al. (2018)
Epigynum_griffithianum,Dry,Follicles,Coma present.,Endress et al. (2018)
Epigynum_ridleyi,Dry,Follicles,Coma present.,Endress et al. (2018)
Eustegia_minuta,Dry,,,Endress et al. (2018)
Fanninia_caloglossa,Dry,Follicles,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Farquharia_elliptica,Dry,Follicles,,Endress et al. (2018)
Fernaldia_pandurata,Dry,,,Endress et al. (2018)
Finlaysonia_insularum,Dry,,,Endress et al. (2018)
Fockea_capensis,Dry,,,Endress et al. (2018)
Fockea_edulis,Dry,,,Endress et al. (2018)
Fockea_multiflora,Dry,,,Endress et al. (2018)
Forsteronia_acouci,Dry,Follicles,,Endress et al. (2018)
Forsteronia_guyanensis,Dry,Follicles,,Endress et al. (2018)
Forsteronia_refracta,Dry,Follicles,,Endress et al. (2018)
Forsteronia_velloziana,Dry,Follicles,,Endress et al. (2018)
Funastrum_arenarium,Dry,,,Endress et al. (2018)
Funastrum_clausum,Dry,,,Endress et al. (2018)
Funastrum_odoratum,Dry,,,Endress et al. (2018)
Funtumia_africana,Dry,Follicles,,Endress et al. (2018)
Funtumia_elastica,Dry,Follicles,,Endress et al. (2018)
Galactophora_schomburgkiana,Dry,Follicles,,Endress et al. (2018)
Geissospermum_laeve,Fleshy,Berry,,Endress et al. (2018)
Glossonema_boveanum,Dry,,,Endress et al. (2018)
Glossostelma_carsonii,Dry,Follicles,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Gomphocarpus_abyssinicus,Dry,Follicles,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Gomphocarpus_cancellatus,Dry,Follicles,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Gomphocarpus_fruticosus,Dry,Follicles,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Gomphocarpus_glaucophyllus,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Gomphocarpus_physocarpus,Dry,Follicles,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Gomphocarpus_tomentosus,Dry,Follicles,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Gonioanthela_hilariana,Dry,,,Endress et al. (2018)
Gonioma_kamassi,Dry,Follicles,winged seeds,Endress et al. (2018)
Gonolobus_albomarginatus,Dry,,,Endress et al. (2018)
Gonolobus_arizonicus,Dry,,,Endress et al. (2018)
Gonolobus_barbatus,Dry,,,Endress et al. (2018)
Gonolobus_bibarbatus,Dry,,,Endress et al. (2018)
Gonolobus_breedlovei,Dry,,,Endress et al. (2018)
Gonolobus_chloranthus,Dry,,,Endress et al. (2018)
Gonolobus_fraternus,Dry,,,Endress et al. (2018)
Gonolobus_gonoloboides,Dry,,,Endress et al. (2018)
Gonolobus_grandiflorus,Dry,,,Endress et al. (2018)
Gonolobus_iyanolensis,Dry,,,Endress et al. (2018)
Gonolobus_jaliscensis,Dry,,,Endress et al. (2018)
Gonolobus_jamaicensis,Dry,,,Endress et al. (2018)
Gonolobus_niger,Dry,,,Endress et al. (2018)
Gonolobus_parviflorus,Dry,,,Endress et al. (2018)
Gonolobus_pectinatus,Dry,,,Endress et al. (2018)
Gonolobus_stenosepalus,Dry,,,Endress et al. (2018)
Gonolobus_stephanotrichus,Dry,,,Endress et al. (2018)
Gonolobus_suberosus,Dry,,,Endress et al. (2018)
Gonolobus_uniflorus,Dry,,,Endress et al. (2018)
Gonolobus_waitukubuliensis,Dry,,,Endress et al. (2018)
Gonolobus_xanthotrichus,Dry,,,Endress et al. (2018)
Goydera_somaliense,Dry,Follicles,,Endress et al. (2018)
Gunnessia_pepo,Dry,,,Endress et al. (2018)
Gymnanthera_oblonga,Dry,,,Endress et al. (2018)
Gymnema_sylvestre,Dry,,,Endress et al. (2018)
Hancornia_speciosa,Fleshy,Berries few- seeded.,,Endress et al. (2018)
Haplophyton_crooksii,Dry,,with coma?,Endress et al. (2018)
Hemidesmus_indicus,Dry,,,Endress et al. (2018)
Hemipogon_abietoides,Dry,,,Endress et al. (2018)
Hemipogon_acerosus,Dry,,,Endress et al. (2018)
Hemipogon_andinus,Dry,,,Endress et al. (2018)
Hemipogon_carassensis,Dry,,,Endress et al. (2018)
Hemipogon_harleyi,Dry,,,Endress et al. (2018)
Hemipogon_hatschbachii,Dry,,,Endress et al. (2018)
Hemipogon_hemipogonoides,Dry,,,Endress et al. (2018)
Hemipogon_luteus,Dry,,,Endress et al. (2018)
Hemipogon_sprucei,Dry,,,Endress et al. (2018)
Heterostemma_piperifolium,Dry,,,Endress et al. (2018)
Himatanthus_bracteatus,Dry,Follicles,winged seeds,Endress et al. (2018)
Holarrhena_curtisii,Dry,Follicles,,Endress et al. (2018)
Holarrhena_pubescens,Dry,Follicles,,Endress et al. (2018)
Hoodia_gordonii,Dry,,,Endress et al. (2018)
Hoodia_officinalis,Dry,,,Endress et al. (2018)
Hoodia_triebneri,Dry,,,Endress et al. (2018)
Hoya_affinis,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_albiflora,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_anulata,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_ariadna,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_australis,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_bilobata,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_camphorifolia,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_carnosa,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_caudata,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_ciliata,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_curtisii,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_edeni,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_heuschkeliana,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_imbricata,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_inflata,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_kentiana,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_kerrii,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_lacunosa,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_macgillivrayi,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_manipurensis,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_mariae,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_meliflua,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_mitrata,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_multiflora,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_pauciflora,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_pubicalyx,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_retusa,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_serpens,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_telosmoides,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Hoya_tsangii,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Huernia_keniensis,Dry,,,Endress et al. (2018)
Huernia_kennedyana,Dry,,,Endress et al. (2018)
Hunteria_eburnea,Fleshy,"Berries stipitate, subglo- bose to obovoid, yellow to orange, ",,Endress et al. (2018)
Ichnocarpus_frutescens,Dry,Follicle,Coma present.,Endress et al. (2018)
Ischnolepis_graminifolia,Dry,,,Endress et al. (2018)
Isonema_smeathmannii,Dry,follicle,,Endress et al. (2018)
Jobinia_formosa,Dry,,,Endress et al. (2018)
Jobinia_lindbergii,Dry,,,Endress et al. (2018)
Jobinia_streptantha,Dry,,,Endress et al. (2018)
Jobinia_tarmensis,Dry,,,Endress et al. (2018)
Kamettia_chandeei,Dry,Follicles,,Endress et al. (2018)
Kanahia_laniflora,Dry,Follicles,,Endress et al. (2018)
Kibatalia_macrophylla,Dry,Follicles,,Endress et al. (2018)
Kopsia_fruticosa,Fleshy,Drupes,,Endress et al. (2018)
Kopsia_pauciflora,Fleshy,Drupes,,Endress et al. (2018)
Lacmellea_aculeata,Fleshy,Berries yellow to orange ,,Endress et al. (2018)
Larryleachia_perlata,Dry,,,Endress et al. (2018)
Laubertia_contorta,Dry,Follicles,,Endress et al. (2018)
Lavrania_haagnerae,Dry,,,Endress et al. (2018)
Leptadenia_arborea,Dry,,,Endress et al. (2018)
Leptadenia_hastata,Dry,,,Endress et al. (2018)
Macoubea_guianensis,Fleshy,Berry,,Endress et al. (2018)
Macroditassa_adnata,Dry,,,Endress et al. (2018)
Macroditassa_grandiflora,Dry,,,Endress et al. (2018)
Macroditassa_macrophylla,Dry,,,Endress et al. (2018)
Macroditassa_melantha,Dry,,,Endress et al. (2018)
Macroscepis_hirsuta,Dry,,,Endress et al. (2018)
Malouetia_bequaertiana,Dry,Follicles,,Endress et al. (2018)
Malouetia_tamaquarina,Dry,Follicles,,Endress et al. (2018)
Mandevilla_anceps,Dry,Follicles,,Endress et al. (2018)
Mandevilla_atroviolacea,Dry,Follicles,,Endress et al. (2018)
Mandevilla_boliviensis,Dry,Follicles,,Endress et al. (2018)
Mandevilla_brachysiphon,Dry,Follicles,,Endress et al. (2018)
Mandevilla_callista,Dry,Follicles,,Endress et al. (2018)
Mandevilla_cercophylla,Dry,Follicles,,Endress et al. (2018)
Mandevilla_coccinea,Dry,Follicles,,Endress et al. (2018)
Mandevilla_convolvulacea,Dry,Follicles,,Endress et al. (2018)
Mandevilla_dodsonii,Dry,Follicles,,Endress et al. (2018)
Mandevilla_duartei,Dry,Follicles,,Endress et al. (2018)
Mandevilla_emarginata,Dry,Follicles,,Endress et al. (2018)
Mandevilla_foliosa,Dry,Follicles,,Endress et al. (2018)
Mandevilla_fragrans,Dry,Follicles,,Endress et al. (2018)
Mandevilla_funiformis,Dry,Follicles,,Endress et al. (2018)
Mandevilla_glandulosa,Dry,Follicles,,Endress et al. (2018)
Mandevilla_hirsuta,Dry,Follicles,,Endress et al. (2018)
Mandevilla_hypoleuca,Dry,Follicles,,Endress et al. (2018)
Mandevilla_illustris,Dry,Follicles,,Endress et al. (2018)
Mandevilla_jamesonii,Dry,Follicles,,Endress et al. (2018)
Mandevilla_karwinskii,Dry,Follicles,,Endress et al. (2018)
Mandevilla_krukovii,Dry,Follicles,,Endress et al. (2018)
Mandevilla_lancifolia,Dry,Follicles,,Endress et al. (2018)
Mandevilla_laxa,Dry,Follicles,,Endress et al. (2018)
Mandevilla_leptophylla,Dry,Follicles,,Endress et al. (2018)
Mandevilla_ligustriflora,Dry,Follicles,,Endress et al. (2018)
Mandevilla_longiflora,Dry,Follicles,,Endress et al. (2018)
Mandevilla_martiana,Dry,Follicles,,Endress et al. (2018)
Mandevilla_martii,Dry,Follicles,,Endress et al. (2018)
Mandevilla_moricandiana,Dry,Follicles,,Endress et al. (2018)
Mandevilla_myriophyllum,Dry,Follicles,,Endress et al. (2018)
Mandevilla_nacapulensis,Dry,Follicles,,Endress et al. (2018)
Mandevilla_nerioides,Dry,Follicles,,Endress et al. (2018)
Mandevilla_oaxacana,Dry,Follicles,,Endress et al. (2018)
Mandevilla_pendula,Dry,Follicles,,Endress et al. (2018)
Mandevilla_pentlandiana,Dry,Follicles,,Endress et al. (2018)
Mandevilla_pohliana,Dry,Follicles,,Endress et al. (2018)
Mandevilla_pycnantha,Dry,Follicles,,Endress et al. (2018)
Mandevilla_rugosa,Dry,Follicles,,Endress et al. (2018)
Mandevilla_scabra,Dry,Follicles,,Endress et al. (2018)
Mandevilla_sellowii,Dry,Follicles,,Endress et al. (2018)
Mandevilla_spigeliiflora,Dry,Follicles,,Endress et al. (2018)
Mandevilla_splendens,Dry,Follicles,,Endress et al. (2018)
Mandevilla_subsagittata,Dry,Follicles,,Endress et al. (2018)
Mandevilla_subspicata,Dry,Follicles,,Endress et al. (2018)
Mandevilla_syrinx,Dry,Follicles,,Endress et al. (2018)
Mandevilla_tenuifolia,Dry,Follicles,,Endress et al. (2018)
Mandevilla_tricolor,Dry,Follicles,,Endress et al. (2018)
Mandevilla_tubiflora,Dry,Follicles,,Endress et al. (2018)
Mandevilla_urophylla,Dry,Follicles,,Endress et al. (2018)
Mandevilla_velame,Dry,Follicles,,Endress et al. (2018)
Mandevilla_venulosa,Dry,Follicles,,Endress et al. (2018)
Mandevilla_veraguasensis,Dry,Follicles,,Endress et al. (2018)
Marsdenia_angolensis,Dry,,,Endress et al. (2018)
Marsdenia_billardierei,Dry,,,Endress et al. (2018)
Marsdenia_carvalhoi,Dry,,,Endress et al. (2018)
Marsdenia_coulteri,Dry,,,Endress et al. (2018)
Marsdenia_glabra,Dry,,,Endress et al. (2018)
Marsdenia_suberosa,Dry,,,Endress et al. (2018)
Marsdenia_tenacissima,Dry,,,Endress et al. (2018)
Mascarenhasia_arborescens,Dry,Follicles,,Endress et al. (2018)
Mascarenhasia_lisianthiflora,Dry,Follicles,,Endress et al. (2018)
Matelea_bicolor,Dry,,,Endress et al. (2018)
Matelea_cordata,Dry,,,Endress et al. (2018)
Matelea_cordifolia,Dry,,,Endress et al. (2018)
Matelea_correllii,Dry,,,Endress et al. (2018)
Matelea_ekmanii,Dry,,,Endress et al. (2018)
Matelea_gonoloboides,Dry,,,Endress et al. (2018)
Matelea_inconspicua,Dry,,,Endress et al. (2018)
Matelea_lanata,Dry,,,Endress et al. (2018)
Matelea_nipensis,Dry,,,Endress et al. (2018)
Matelea_oblongata,Dry,,,Endress et al. (2018)
Matelea_pedalis,Dry,,,Endress et al. (2018)
Matelea_phainops,Dry,,,Endress et al. (2018)
Matelea_pubiflora,Dry,,,Endress et al. (2018)
Matelea_reticulata,Dry,,,Endress et al. (2018)
Matelea_rubra,Dry,,,Endress et al. (2018)
Matelea_sintenisii,Dry,,,Endress et al. (2018)
Matelea_tamnifolia,Dry,,,Endress et al. (2018)
Matelea_trachyantha,Dry,,,Endress et al. (2018)
Matelea_variifolia,Dry,,,Endress et al. (2018)
Melodinus_australis,Fleshy,Fruit a subglobose to pear-shaped berry,,Endress et al. (2018)
Melodinus_cochinchinensis,Fleshy,Fruit a subglobose to pear-shaped berry,,Endress et al. (2018)
Mesechites_mansoanus,Dry,Follicles,,Endress et al. (2018)
Mesechites_minimus,Dry,Follicles,,Endress et al. (2018)
Mesechites_roseus,Dry,Follicles,,Endress et al. (2018)
Mesechites_trifidus,Dry,Follicles,,Endress et al. (2018)
Metalepis_albiflora,Dry,,,Endress et al. (2018)
Metaplexis_japonica,Dry,,,Endress et al. (2018)
Metastelma_giuliettianum,Dry,,,Endress et al. (2018)
Metastelma_harleyi,Dry,,,Endress et al. (2018)
Metastelma_myrtifolium,Dry,,,Endress et al. (2018)
Metastelma_parviflorum,Dry,,,Endress et al. (2018)
Metastelma_schaffneri,Dry,,,Endress et al. (2018)
Micrechites_polyanthus,Dry,Follicle,Coma present.,Endress et al. (2018)
Micrechites_rhombifolius,Dry,Follicle,Coma present.,Endress et al. (2018)
Micrechites_serpyllifolius,Dry,Follicle,Coma present.,Endress et al. (2018)
Microloma_tenuifolium,Dry,,,Endress et al. (2018)
Minaria_acerosa,Dry,,,Endress et al. (2018)
Minaria_cordata,Dry,,,Endress et al. (2018)
Minaria_decussata,Dry,,,Endress et al. (2018)
Minaria_ditassoides,Dry,,,Endress et al. (2018)
Minaria_grazielae,Dry,,,Endress et al. (2018)
Minaria_harleyi,Dry,,,Endress et al. (2018)
Minaria_magisteriana,Dry,,,Endress et al. (2018)
Minaria_micromeria,Dry,,,Endress et al. (2018)
Minaria_polygaloides,Dry,,,Endress et al. (2018)
Miraglossum_verticillare,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Molongum_laxum,Fleshy,Berry,,Endress et al. (2018)
Mondia_ecornuta,Dry,,,Endress et al. (2018)
Mondia_whitei,Dry,,,Endress et al. (2018)
Monolluma_cicatricosa,Dry,,,Endress et al. (2018)
Monolluma_hexagona,Dry,,,Endress et al. (2018)
Monolluma_quadrangula,Dry,,,Endress et al. (2018)
Monolluma_socotrana,Dry,,,Endress et al. (2018)
Monolluma_solenophora,Dry,,,Endress et al. (2018)
Monsanima_morrenioides,Dry,,,Endress et al. (2018)
Motandra_guineensis,Dry,,,Endress et al. (2018)
Mucoa_duckei,Fleshy,Berry,,Endress et al. (2018)
Nautonia_nummularia,Dry,,,Endress et al. (2018)
Neisosperma_poweri,Fleshy,Drupe,,Endress et al. (2018)
Neobracea_bahamensis,Dry,Follicle,,Endress et al. (2018)
Neobracea_ekmannii,Dry,Follicle,,Endress et al. (2018)
Neobracea_valenzuelana,Dry,Follicle,,Endress et al. (2018)
Neocouma_ternstroemiacea,Fleshy,Berry,,Endress et al. (2018)
Neoschumannia_cardinea,Dry,,,Endress et al. (2018)
Neoschumannia_kamerunensis,Dry,,,Endress et al. (2018)
Nephradenia_acerosa,Dry,,,Endress et al. (2018)
Nephradenia_asparagoides,Dry,,,Endress et al. (2018)
Nephradenia_filipes,Dry,,,Endress et al. (2018)
Nerium_oleander,Dry,Follicle,,Endress et al. (2018)
Notechidnopsis_tessellata,Dry,,,Endress et al. (2018)
Ochrosia_coccinea,Fleshy,Drupe,,Endress et al. (2018)
Ochrosia_elliptica,Fleshy,Drupe,,Endress et al. (2018)
Ochrosia_oppositifolia,Fleshy,Drupe,,Endress et al. (2018)
Odontadenia_lutea,Dry,Follicle,,Endress et al. (2018)
Odontadenia_perrottetii,Dry,Follicle,,Endress et al. (2018)
Odontadenia_puncticulosa,Dry,Follicle,,Endress et al. (2018)
Odontanthera_radians,Dry,,,Endress et al. (2018)
Oncinema_lineare,Dry,,,Endress et al. (2018)
Oncinotis_tenuiloba,Dry,,,Endress et al. (2018)
Ophionella_arcuata,Dry,,,Endress et al. (2018)
Orbea_carnosa,Dry,,,Endress et al. (2018)
Orbea_prognatha,Dry,,,Endress et al. (2018)
Orbea_semitubiflora,Dry,,,Endress et al. (2018)
Orbea_semota,Dry,,,Endress et al. (2018)
Orbea_variegata,Dry,,,Endress et al. (2018)
Orbeanthus_hardyi,Dry,,,Endress et al. (2018)
Orthanthera_albida,Dry,,,Endress et al. (2018)
Orthanthera_jasminiflora,Dry,,,Endress et al. (2018)
Orthosia_ellemannii,Dry,,,Endress et al. (2018)
Orthosia_kunthii,Dry,,,Endress et al. (2018)
Orthosia_scoparia,Dry,,,Endress et al. (2018)
Orthosia_urceolata,Dry,,,Endress et al. (2018)
Oxypetalum_appendiculatum,Dry,,,Endress et al. (2018)
Oxypetalum_balansae,Dry,,,Endress et al. (2018)
Oxypetalum_banksii,Dry,,,Endress et al. (2018)
Oxypetalum_brachystemma,Dry,,,Endress et al. (2018)
Oxypetalum_capitatum,Dry,,,Endress et al. (2018)
Oxypetalum_dactylostelma,Dry,,,Endress et al. (2018)
Oxypetalum_lanatum,Dry,,,Endress et al. (2018)
Oxypetalum_minarum,Dry,,,Endress et al. (2018)
Oxypetalum_pannosum,Dry,,,Endress et al. (2018)
Oxypetalum_pentasetum,Dry,,,Endress et al. (2018)
Oxypetalum_solanoides,Dry,,,Endress et al. (2018)
Oxypetalum_sublanatum,Dry,,,Endress et al. (2018)
Oxypetalum_sylvestre,Dry,,,Endress et al. (2018)
Oxypetalum_warmingii,Dry,,,Endress et al. (2018)
Oxypetalum_wightianum,Dry,,,Endress et al. (2018)
Oxystelma_esculentum,Dry,Follicle,,Endress et al. (2018)
Pachycarpus_appendiculatus,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Pachycarpus_concolor,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Pachycarpus_coronarius,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Pachycarpus_dealbatus,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Pachycarpus_goetzei,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Pachycarpus_lineolatus,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Pachycarpus_natalensis,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Pachypodium_baronii,Dry,Follicle,,Endress et al. (2018)
Pachypodium_geayi,Dry,Follicle,,Endress et al. (2018)
Pachypodium_lamerei,Dry,Follicle,,Endress et al. (2018)
Pachypodium_saundersii,Dry,Follicle,,Endress et al. (2018)
Papuechites_aambe,Dry,Follicle,Coma present.,Endress et al. (2018)
Parahancornia_fasciculata,Fleshy,"Berries many-seeded; pericarp thick, leathery. S",,Endress et al. (2018)
Parameria_laevigata,Dry,Follicle,Coma present.,Endress et al. (2018)
Parsonsia_crebriflora,Dry,Follicle,with coma,Endress et al. (2018)
Parsonsia_eucalyptophylla,Dry,Follicle,with coma,Endress et al. (2018)
Parsonsia_ferruginea,Dry,Follicle,with coma,Endress et al. (2018)
Parsonsia_flexuosa,Dry,Follicle,with coma,Endress et al. (2018)
Parsonsia_lata,Dry,Follicle,with coma,Endress et al. (2018)
Parsonsia_longiflora,Dry,Follicle,with coma,Endress et al. (2018)
Parsonsia_oligantha,Dry,Follicle,with coma,Endress et al. (2018)
Pattalias_palustre,Dry,,,Endress et al. (2018)
Pectinaria_articulata,Dry,,,Endress et al. (2018)
Peltastes_isthmicus,Dry,,,Endress et al. (2018)
Peltastes_peltatus,Dry,,,Endress et al. (2018)
Pentacyphus_andinus,Dry,,,Endress et al. (2018)
Pentacyphus_lehmannii,Dry,,,Endress et al. (2018)
Pentalinon_luteum,Dry,Follicles,with coma,Endress et al. (2018)
Pentarrhinum_abyssinicum,Dry,,,Endress et al. (2018)
Pentarrhinum_gonoloboides,Dry,,,Endress et al. (2018)
Pentarrhinum_insipidum,Dry,,,Endress et al. (2018)
Pentarrhinum_somaliense,Dry,,,Endress et al. (2018)
Pentatropis_madagascariensis,Dry,,,Endress et al. (2018)
Pentatropis_nivalis,Dry,,,Endress et al. (2018)
Pentopetia_grevei,Dry,,,Endress et al. (2018)
Peplonia_asteria,Dry,,,Endress et al. (2018)
Peplonia_organensis,Dry,,,Endress et al. (2018)
Pergularia_daemia,Dry,Follicles,,Endress et al. (2018)
Periploca_graeca,Dry,,,Endress et al. (2018)
Periploca_laevigata,Dry,,,Endress et al. (2018)
Pervillaea_decaryi,Dry,,,Endress et al. (2018)
Pervillaea_phillipsonii,Dry,,,Endress et al. (2018)
Pervillaea_tomentosa,Dry,,,Endress et al. (2018)
Pervillaea_venenata,Dry,,,Endress et al. (2018)
Petalostelma_martianum,Dry,,,Endress et al. (2018)
Petalostelma_sarcostemma,Dry,,,Endress et al. (2018)
Petchia_ceylanica,Fleshy,"Drupes variously colored, ",,Endress et al. (2018)
Petopentia_natalensis,Dry,,,Endress et al. (2018)
Philibertia_boliviana,Dry,,,Endress et al. (2018)
Philibertia_candolleana,Dry,,,Endress et al. (2018)
Philibertia_discolor,Dry,,,Endress et al. (2018)
Philibertia_fontellae,Dry,,,Endress et al. (2018)
Philibertia_gilliesii,Dry,,,Endress et al. (2018)
Philibertia_globiflora,Dry,,,Endress et al. (2018)
Philibertia_lysimachioides,Dry,,,Endress et al. (2018)
