"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","131.07","<0.001","<0.001","(1,R1) 82%"
"ARD","2","99","0.27","<0.001","(2,R1) 100%"
"ER/ER.1","3","106.74","0.01","<0.001","(1,R1) 60%"
"ER/ER.2","4","106.35","0.01","0.01","(1,R2) 59%"
"ARD/ARD.1","5","100.31","0.14","0.03","(2,R2) 98%"
"ARD/ARD.2","6","100.88","0.11","0.02","(2,R2) 84%"
"ER/ARD.1","4","98.61","0.33","0.03","(2,R1) 99%"
"ER/ARD.2","5","100.28","0.14","0.02","(2,R1) 97%"
