"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","206.72","<0.001","<0.001","(1,R1) 67%"
"ARD","2","200.16","<0.001","<0.001","(1,R1) 86%"
"ER/ER.1","3","191.78","<0.001","0.01","(1,R1) 37%"
"ER/ER.2","4","180.03","0.49","0.04","(1,R2) 44%"
"ARD/ARD.1","5","185.21","0.04","0.01","(1,R2) 54%"
"ARD/ARD.2","6","182.67","0.13","0.04","(1,R2) 74%"
"ER/ARD.1","4","188.63","0.01","0.02","(1,R1) 91%"
"ER/ARD.2","5","180.77","0.34","0.04","(1,R1) 76%"
