"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","73.79","0.22","<0.001","(1,R1) 100%"
"ARD","2","71.78","0.6","<0.001","(1,R1) 100%"
"ER/ER","4","79.49","0.01","0.04","(1,R2) 99%"
"ARD/ARD","6","75.84","0.08","0.02","(1,R1) 100%"
"ER/ARD","5","75.78","0.08","0.02","(1,R1) 100%"
