"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","229.24","0.01","0.01","(1,R1) 100%"
"ARD","2","230.49","<0.001","0.01","(1,R1) 100%"
"ER/ER.1","3","228.9","0.01","0.06","(1,R2) 52%"
"ER/ER.2","4","219.95","0.52","0.21","(1,R2) 98%"
"ARD/ARD.1","5","224.71","0.05","0.21","(1,R1) 99%"
"ARD/ARD.2","6","222.65","0.14","0.45","(1,R1) 100%"
"ER/ARD.1","4","230.2","<0.001","0.06","(1,R2) 56%"
"ER/ARD.2","5","221.23","0.28","0.39","(1,R1) 99%"
