"","(1,R1)","(2,R1)","",""
"res","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.007","!","!"
"(2,R1)","0.007",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.005","!","!"
"(2,R1)","0.008",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.109",NA
"(2,R1)","<0.001",NA,NA,"0.109"
"(1,R2)","0.109",NA,NA,"0.015"
"(2,R2)",NA,"0.109","0.015",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.311","0.509",NA
"(2,R1)","0.311",NA,NA,"0.509"
"(1,R2)","0.018",NA,NA,"<0.001"
"(2,R2)",NA,"0.018","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.009",NA
"(2,R1)","1.064",NA,NA,"0.009"
"(1,R2)","0.009",NA,NA,"0.573"
"(2,R2)",NA,"0.009","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.01",NA
"(2,R1)","0.002",NA,NA,"0.01"
"(1,R2)","0.528",NA,NA,"1.727"
"(2,R2)",NA,"0.528","0.769",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.108",NA
"(2,R1)","<0.001",NA,NA,"0.108"
"(1,R2)","0.108",NA,NA,"0.011"
"(2,R2)",NA,"0.108","0.017",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.013",NA
"(2,R1)","<0.001",NA,NA,"0.013"
"(1,R2)","0.557",NA,NA,"1.242"
"(2,R2)",NA,"0.557","0.714",NA
""," "," "," "," "
"","~","~","~","~"
