"","(1,R1)","(2,R1)"
"1",0.0351500849012974,0.964849915098703
"2",0.0273191607893575,0.972680839210643
"3",0.00689907676506299,0.993100923234937
"4",0.00750170262033013,0.99249829737967
"5",0.00752362954973672,0.992476370450263
"6",0.00754587902955606,0.992454120970444
"7",0.0076338496494986,0.992366150350501
"8",0.00826814062447279,0.991731859375527
"9",0.0101988873707423,0.989801112629258
"10",0.00013197640169629,0.999868023598304
"11",5.06741101529234e-05,0.999949325889847
"12",5.05444521113199e-05,0.999949455547889
"13",8.01147405685642e-08,0.999999919885259
"14",6.33169275928846e-08,0.999999936683072
"15",5.05641092479336e-06,0.999994943589075
"16",5.03588937989216e-06,0.99999496411062
"17",0.594841160399231,0.405158839600769
"18",0.774701241185649,0.225298758814351
"19",0.792134865064837,0.207865134935163
"20",0.837200541371344,0.162799458628656
"21",0.848859941438805,0.151140058561195
"22",0.969341009875553,0.030658990124447
"23",0.991308566124403,0.00869143387559747
"24",0.992400215929643,0.00759978407035674
"25",0.996754894791332,0.00324510520866756
"26",0.999871164220889,0.000128835779110486
"27",0.995054581173581,0.00494541882641843
"28",0.998883154560374,0.00111684543962551
"29",0.999798979139505,0.000201020860494633
"30",0.999887659858069,0.000112340141931444
"31",0.99999215877008,7.84122991999415e-06
"32",0.999994027907859,5.97209214128899e-06
"33",0.99983423265325,0.000165767346750302
"34",0.999894800425396,0.000105199574603902
"35",0.99998904614912,1.09538508798474e-05
"36",0.999989216933521,1.07830664786203e-05
"37",0.999990236062329,9.76393767130502e-06
"38",0.999993968049529,6.03195047144948e-06
"39",0.99999820464773,1.79535227001966e-06
"40",0.999990382265411,9.61773458938339e-06
"41",0.999995660118754,4.33988124608457e-06
"42",0.999868379388736,0.000131620611263775
"43",0.999970864767337,2.9135232663297e-05
"44",0.999978796365449,2.12036345505628e-05
"45",0.999887547102192,0.000112452897808004
"46",0.999889726431105,0.000110273568894815
"47",0.999976100804598,2.38991954019569e-05
"48",0.99999480860455,5.19139545029861e-06
"49",0.992300415627455,0.00769958437254483
"50",0.998607589236442,0.00139241076355824
"51",0.999841971477435,0.000158028522565301
"52",0.980577392899616,0.0194226071003836
"53",0.999881790898814,0.000118209101185702
"54",0.85143750690245,0.148562493097549
"55",0.857188955387575,0.142811044612425
"56",0.946297742271288,0.053702257728712
"57",0.971542802157909,0.0284571978420908
"58",0.983209097458457,0.0167909025415433
"59",0.985842312426636,0.014157687573364
"60",0.987840016948532,0.0121599830514682
"61",0.991968179187266,0.00803182081273368
"62",0.997393340570483,0.00260665942951676
"63",0.998730944071551,0.00126905592844848
"64",0.999084745623219,0.000915254376781349
"65",0.999092485431414,0.000907514568586268
"66",0.9992448748898,0.000755125110199878
"67",0.999513045993682,0.000486954006317648
"68",0.999766375284454,0.000233624715545983
"69",0.999906084372122,9.39156278776953e-05
"70",0.999995500321634,4.49967836606917e-06
"71",0.999995570603721,4.42939627924672e-06
"72",0.999999678326987,3.21673012651955e-07
"73",0.999999892228546,1.07771453852537e-07
"74",0.999999896486838,1.035131622333e-07
"75",0.999999901971022,9.80289775905719e-08
"76",0.999999886880179,1.13119820843942e-07
"77",0.99999999558198,4.41801981416873e-09
"78",0.99999999538737,4.61263003241261e-09
"79",0.999999998123378,1.87662173625744e-09
"80",0.999999972892755,2.71072453580237e-08
"81",0.999999998717205,1.2827953100144e-09
"82",0.999999998898041,1.10195862921794e-09
"83",0.999999999308507,6.91493127768005e-10
"84",0.999999999076084,9.2391586754705e-10
"85",0.999999999338243,6.61756719613931e-10
"86",0.99999999653901,3.46098993477292e-09
"87",0.999999994236785,5.76321488134578e-09
"88",0.999999861448485,1.38551514567734e-07
"89",0.999999980977374,1.90226263738638e-08
"90",0.999999997679859,2.32014085562382e-09
"91",0.99999999994985,5.01503884879564e-11
"92",0.999999999998771,1.22888142491152e-12
"93",0.999999932680842,6.73191576903282e-08
"94",0.999999899976381,1.00023618971961e-07
"95",0.999999858535878,1.4146412196094e-07
"96",0.999999806482765,1.93517235073324e-07
"97",0.999999965618672,3.43813276850678e-08
"98",0.99999998067264,1.93273597483036e-08
"99",0.999999985016433,1.49835668544538e-08
"100",0.999999829724999,1.70275000750842e-07
"101",0.999999935212864,6.47871362650386e-08
"102",0.999999942203167,5.77968328995099e-08
"103",0.999999973611605,2.63883945996942e-08
"104",0.999999975619783,2.43802166897241e-08
"105",0.999999999475696,5.24303832201829e-10
"106",0.999999999607212,3.92788505723815e-10
"107",0.999999999697447,3.02552505634278e-10
"108",0.999999999766517,2.3348301763111e-10
"109",0.99999999978677,2.13230479929429e-10
"110",0.999999999737175,2.62824929066603e-10
"111",0.999999999847306,1.52694142486958e-10
"112",0.999999998976592,1.02340818897516e-09
"113",0.999999999334862,6.65138528794467e-10
"114",0.999999999424998,5.75001790989076e-10
"115",0.999999999461622,5.38377475114386e-10
"116",0.999999999461988,5.38011399029208e-10
"117",0.999999998190471,1.80952920410007e-09
"118",0.999999991163442,8.8365576430236e-09
"119",0.999999996591013,3.40898659438461e-09
"120",0.999999996939946,3.06005344561645e-09
"121",0.99999999940618,5.93819972014161e-10
"122",0.999999999464148,5.35851813810051e-10
"123",0.999999997411936,2.5880642711264e-09
"124",0.999999999215168,7.84831707567134e-10
"125",0.999999912577078,8.74229217051668e-08
"126",0.99999990554605,9.44539501462222e-08
"127",0.999999999856716,1.43283837610011e-10
"128",0.999999999841378,1.58621508616876e-10
"129",0.999999999784764,2.15236258593573e-10
"130",0.999999999612222,3.87778056446661e-10
"131",0.999999955464203,4.45357966627131e-08
"132",0.999999968097309,3.19026906042588e-08
"133",0.999999999467384,5.32615907349496e-10
"134",0.999999999770557,2.29443226701534e-10
"135",0.999999999803012,1.96987585670244e-10
"136",0.999999983268379,1.67316212391924e-08
"137",0.999999999818009,1.81991346650642e-10
"138",0.999999999659113,3.40887225692405e-10
"139",0.999999999433238,5.66762046519784e-10
"140",0.999999985880888,1.41191120176187e-08
"141",0.999999999695781,3.04219273645186e-10
"142",0.999999987589571,1.24104290003091e-08
"143",0.99999999763229,2.36770954394872e-09
"144",0.999999988995478,1.10045215774763e-08
"145",0.999999906954814,9.3045186008408e-08
"146",0.999999977075824,2.29241760060695e-08
"147",0.999999980525252,1.94747477357886e-08
"148",0.999999945926197,5.40738031768839e-08
"149",0.999999994022305,5.97769514143746e-09
"150",0.999999995215866,4.78413413711937e-09
"151",0.999999995202731,4.79726864055178e-09
"152",0.999999999394511,6.05488580693522e-10
"153",0.999999985241379,1.4758620714206e-08
"154",0.999999990212205,9.78779449111185e-09
"155",0.999999983922846,1.60771542035499e-08
"156",0.999999984395232,1.56047681885164e-08
"157",0.999999998628798,1.37120247615915e-09
"158",0.999999999649302,3.5069796162322e-10
"159",0.999999999821782,1.78217914581645e-10
"160",0.999999999927765,7.22343596451188e-11
"161",0.999999999964148,3.58520217452825e-11
"162",0.999999999977865,2.21348236963262e-11
"163",0.999999999978382,2.16175982677184e-11
"164",0.999999999971455,2.85450580365398e-11
"165",0.999999999920752,7.92478833015068e-11
"166",0.99999999982425,1.75749659608718e-10
"167",0.999999999351409,6.48590776138644e-10
"168",0.999999992626467,7.37353272304068e-09
"169",0.999999999965976,3.40238835513394e-11
"170",0.999999997362686,2.6373142406027e-09
"171",0.999999997713916,2.28608348377662e-09
"172",0.999999998033264,1.96673571986795e-09
"173",0.999999999046021,9.53979398195938e-10
"174",0.999999994238078,5.76192179310036e-09
"175",0.999999998762206,1.2377939502261e-09
"176",0.999999972058134,2.79418660074058e-08
"177",0.999999972648963,2.73510374421509e-08
"178",0.999999931249607,6.87503934569256e-08
"179",0.999999967112679,3.28873208240459e-08
"180",0.999999901346406,9.86535938843222e-08
"181",0.999999937295218,6.27047817658753e-08
"182",0.999999969956698,3.00433019942922e-08
"183",0.999999985693243,1.43067572585905e-08
"184",0.999999998868287,1.13171271868833e-09
"185",0.999999999631987,3.68013035909134e-10
"186",0.999999999670018,3.29982142315546e-10
"187",0.999999949935882,5.00641177887786e-08
"188",0.999999999501957,4.98042998406329e-10
"189",0.999999984237412,1.57625884225165e-08
"190",0.999999993237523,6.76247642431918e-09
"191",0.999999993322208,6.67779223543452e-09
"192",0.999999997365071,2.63492889658274e-09
"193",0.999999999353074,6.46925541652708e-10
"194",0.999999999437683,5.6231695498772e-10
"195",0.999999999317578,6.82422355713287e-10
"196",0.999999982580792,1.74192074418965e-08
"197",0.99999999814627,1.85372981356592e-09
"198",0.999999999833603,1.66396539955933e-10
"199",0.999999998911998,1.08800190331189e-09
"200",0.999999933789993,6.62100069992118e-08
"201",0.999999993360659,6.63934100975986e-09
"202",0.999999994832016,5.16798428149208e-09
"203",0.999999995236145,4.76385510287418e-09
"204",0.999999995126402,4.87359777035978e-09
"205",0.999999953869122,4.61308774608131e-08
"206",0.999999999926592,7.34084155316481e-11
"207",0.999997985931651,2.01406834877893e-06
"208",0.999999990119572,9.88042764377524e-09
"209",0.999999997353038,2.64696177969428e-09
"210",0.999999999198765,8.01234674633351e-10
"211",0.999999999712319,2.87680644681614e-10
"212",0.999999999855899,1.44100565464039e-10
"213",0.999999999975699,2.43012796075349e-11
"214",0.999999999975278,2.47220153636534e-11
"215",0.999999999921853,7.81470755900454e-11
"216",0.999999999973779,2.62211948653579e-11
"217",0.999999999994708,5.2919487103924e-12
"218",0.999999999999245,7.5515238810911e-13
"219",0.999999999564619,4.35380489953194e-10
"220",0.999999998741596,1.25840418798515e-09
"221",0.999999999998188,1.8117741061798e-12
"222",0.999999999932423,6.75767830998372e-11
"223",0.999999995938958,4.06104207193329e-09
"224",0.999999995778382,4.22161781320997e-09
"225",0.99999999981233,1.87670183081937e-10
"226",0.999999999884131,1.15868680058705e-10
"227",0.999999999817112,1.82888062871135e-10
"228",0.999999993551536,6.44846432413082e-09
"229",0.999999999385859,6.14140535998261e-10
"230",0.999999999403144,5.96856361786935e-10
"231",0.999999994578852,5.42114735108431e-09
"232",0.999999985251421,1.47485795483798e-08
"233",0.999998767951997,1.23204800316834e-06
"234",0.999945947943778,5.40520562222263e-05
"235",0.999996068027683,3.9319723172711e-06
"236",0.999996332769854,3.66723014634756e-06
"237",0.999966384878416,3.36151215836761e-05
"238",0.999999176938583,8.23061417181403e-07
"239",0.999999246449692,7.53550308179636e-07
"240",0.999999270264949,7.29735050870447e-07
"241",0.999999301290687,6.98709312836577e-07
"242",0.999999858529516,1.41470483771387e-07
"243",0.999999867974656,1.32025344236988e-07
"244",0.999999875154539,1.24845460846701e-07
"245",0.999999948225481,5.17745190345873e-08
"246",0.99999991661235,8.3387649426133e-08
"247",0.999999923229812,7.67701882076846e-08
"248",0.999999969405256,3.0594744022898e-08
"249",0.999999997589251,2.41074938705567e-09
"250",0.999999999983638,1.63614746818755e-11
"251",0.999999999994491,5.50934996689718e-12
"252",0.99999999998598,1.40202268366892e-11
"253",0.999999949165977,5.08340227856937e-08
"254",0.999999978798677,2.12013230845539e-08
"255",0.999999979862051,2.0137948668709e-08
"256",0.999999980530184,1.94698155424004e-08
"257",0.999999982867023,1.71329773371196e-08
"258",0.999999964308725,3.56912750060895e-08
"259",0.999999987117243,1.28827568045533e-08
"260",0.999999990007784,9.99221586732571e-09
"261",0.999999999992813,7.18656607941159e-12
"262",0.999999886397653,1.13602346488674e-07
"263",0.999999999000146,9.99853971932174e-10
"264",0.999999874341078,1.25658922346586e-07
"265",0.999999962277145,3.77228553124495e-08
"266",0.999999999617201,3.82799017347482e-10
"267",0.999999999735959,2.64040878226332e-10
"268",0.999999882834579,1.17165420906202e-07
"269",0.999999923548951,7.64510487744696e-08
"270",0.999999936830379,6.31696209548828e-08
"271",0.999999964367277,3.56327231862103e-08
"272",0.999999967545281,3.24547187648026e-08
"273",0.999999967694564,3.23054361797034e-08
"274",0.999999866187112,1.33812887521434e-07
"275",0.999999925125757,7.48742425800974e-08
"276",0.999999820055539,1.79944461129554e-07
"277",0.999999519306489,4.80693510800897e-07
"278",0.999999054292378,9.45707621901237e-07
"279",0.999999033184044,9.66815955935071e-07
"280",0.999996522809648,3.47719035228898e-06
"281",0.99886292779346,0.00113707220653948
"282",0.999154587673721,0.000845412326278869
"283",0.99921003554306,0.000789964456939793
"284",0.999211427411109,0.000788572588891393
"285",0.999238083596182,0.000761916403817874
"286",0.99927690906837,0.000723090931630367
"287",0.999637482041723,0.000362517958276649
"288",0.999812337291984,0.000187662708016271
"289",0.999898400469122,0.000101599530877843
"290",0.999977630997484,2.23690025160403e-05
"291",0.999999521703005,4.78296994591939e-07
"292",0.99995549033109,4.45096689096381e-05
"293",0.999314689543746,0.00068531045625403
"294",0.999447787813428,0.000552212186571665
"295",0.999598068466197,0.000401931533803169
"296",0.999744055219552,0.000255944780448175
"297",0.99990369464085,9.63053591499212e-05
"298",0.999967339856664,3.26601433357443e-05
"299",0.999584278656259,0.000415721343741238
"300",0.999988835072267,1.11649277327749e-05
"301",0.999354616268227,0.000645383731773034
"302",0.999357590783711,0.000642409216288974
"303",0.999521502216723,0.000478497783277195
"304",0.999593825911333,0.000406174088666853
"305",0.99978736548611,0.000212634513889808
"306",0.999788242082043,0.000211757917956949
"307",0.999831297389025,0.000168702610974773
"308",0.999981515633096,1.84843669042964e-05
"309",0.999969913180413,3.00868195865634e-05
"310",0.999788145900721,0.000211854099279175
"311",0.99958948449496,0.000410515505039898
"312",0.999355579693572,0.000644420306428039
"313",0.999981509073401,1.84909265984678e-05
"314",0.999994323599277,5.67640072313631e-06
"315",0.999999023767897,9.76232102886465e-07
"316",0.999999616326252,3.83673748329651e-07
"317",0.999976786868798,2.32131312021472e-05
"318",0.999999330107513,6.69892487325549e-07
"319",0.999999570158163,4.29841837238229e-07
"320",0.999999694526319,3.05473680948099e-07
"321",0.999999963194637,3.68053628955497e-08
"322",0.999999981519322,1.84806776158424e-08
"323",0.999999993055088,6.94491201661178e-09
"324",0.999999996743519,3.25648129028825e-09
"325",0.999999998061257,1.93874292584965e-09
"326",0.99999999866096,1.3390399738989e-09
"327",0.999999998985034,1.01496605119027e-09
"328",0.999999999170196,8.29803994556355e-10
"329",0.999999999231695,7.68304945547824e-10
"330",0.99999999926042,7.39580056736249e-10
"331",0.999999999281926,7.18074086487095e-10
"332",0.999999999268703,7.31297187225372e-10
"333",0.99999996436822,3.56317799687493e-08
"334",0.999999998171487,1.82851263625083e-09
"335",0.99999999993462,6.53802592373718e-11
"336",0.99999999994553,5.44697190428741e-11
"337",0.999999999930185,6.98152087691303e-11
"338",0.999999996663631,3.33636914497764e-09
"339",0.999999999154537,8.4546272798308e-10
"340",0.999999999576219,4.2378089020876e-10
"341",0.999999996008729,3.99127075025883e-09
"342",0.999999998791448,1.20855239358809e-09
"343",0.999999998602865,1.39713500444461e-09
"344",0.999999971088791,2.8911209257535e-08
"345",0.999999915433037,8.45669628859705e-08
"346",0.999999844174705,1.55825294836271e-07
"347",0.999999911223447,8.87765529529732e-08
"348",0.999999999789467,2.10532903672806e-10
"349",0.999999697391653,3.02608347399034e-07
"350",0.999999849393037,1.50606962632988e-07
"351",0.999999880976478,1.19023521597207e-07
"352",0.999999998216575,1.78342495945273e-09
"353",0.998514051265117,0.00148594873488261
"354",0.999026902492388,0.000973097507612132
"355",0.999510735839502,0.000489264160497422
"356",0.999513726154717,0.000486273845282716
"357",0.999683921725042,0.000316078274957722
"358",0.999686128563238,0.00031387143676198
"359",0.999939870163875,6.01298361249255e-05
"360",0.999963140515501,3.6859484499199e-05
"361",0.999967098711957,3.29012880431967e-05
"362",0.999974141357539,2.5858642461006e-05
"363",0.99997465607318,2.53439268201941e-05
"364",0.99998578121275,1.42187872505041e-05
"365",0.999993204720226,6.79527977412217e-06
"366",0.999997904158214,2.09584178619128e-06
"367",0.999985938394361,1.40616056386317e-05
"368",0.99999444240544,5.55759456000503e-06
"369",0.99999581873829,4.18126170945902e-06
"370",0.999999301028573,6.98971427060562e-07
"371",0.999994013882774,5.98611722597734e-06
"372",0.999975193656183,2.48063438167933e-05
"373",0.999990807131715,9.19286828544779e-06
"374",0.999999404028168,5.95971831587698e-07
"375",0.999978675974713,2.13240252869436e-05
"376",0.999982899169523,1.71008304769136e-05
"377",0.999982974167731,1.70258322692145e-05
"378",0.999989380922833,1.06190771673503e-05
"379",0.999990901591087,9.09840891322353e-06
"380",0.999994734097493,5.26590250662031e-06
"381",0.999996695962041,3.30403795885766e-06
"382",0.999999006100097,9.93899903106704e-07
"383",0.999999094501298,9.05498701629503e-07
"384",0.999999112612785,8.8738721534484e-07
"385",0.999989435550203,1.05644497964678e-05
"386",0.999991090805847,8.9091941527237e-06
