"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","229.24","0.01","0.01","(1,R1) 100%"
"ARD","2","230.49","<0.001","0.01","(1,R1) 100%"
"ER/ER","4","219.95","0.56","0.21","(1,R2) 98%"
"ARD/ARD","6","222.66","0.14","0.49","(1,R2) 100%"
"ER/ARD","5","221.23","0.29","0.39","(1,R1) 99%"
