"","(1,R1)","(2,R1)","",""
"res","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.003","!","!"
"(2,R1)","0.003",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.001","!","!"
"(2,R1)","0.01",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.012","0.001",NA
"(2,R1)","0.012",NA,NA,"0.001"
"(1,R2)","0.001",NA,NA,"<0.001"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.024","0.016",NA
"(2,R1)","0.024",NA,NA,"0.016"
"(1,R2)","0.001",NA,NA,"<0.001"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.039","0.001",NA
"(2,R1)","0.264",NA,NA,"0.001"
"(1,R2)","0.001",NA,NA,"<0.001"
"(2,R2)",NA,"0.001","0.007",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.001",NA
"(2,R1)","0.201",NA,NA,"0.001"
"(1,R2)","0.007",NA,NA,"0.021"
"(2,R2)",NA,"0.007","0.003",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.001","0.009",NA
"(2,R1)","0.001",NA,NA,"0.009"
"(1,R2)","0.009",NA,NA,"<0.001"
"(2,R2)",NA,"0.009","0.204",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.002","0.008",NA
"(2,R1)","0.002",NA,NA,"0.008"
"(1,R2)","0.002",NA,NA,"<0.001"
"(2,R2)",NA,"0.002","0.202",NA
""," "," "," "," "
"","~","~","~","~"
