"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","149.08","<0.001","<0.001","(1,R1) 100%"
"ARD","2","141.45","<0.001","<0.001","(1,R1) 100%"
"ER/ER.1","3","127.56","0.04","3.43","(1,R2) 100%"
"ER/ER.2","4","127","0.05","3.27","(1,R2) 99%"
"ARD/ARD.1","5","124.91","0.16","0.16","(1,R2) 97%"
"ARD/ARD.2","6","125.22","0.13","2.71","(1,R2) 94%"
"ER/ARD.1","4","123.47","0.32","3.41","(1,R2) 100%"
"ER/ARD.2","5","123.66","0.29","3.39","(1,R2) 97%"
