"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","73.79","0.16","<0.001","(1,R1) 100%"
"ARD","2","71.78","0.42","<0.001","(1,R1) 100%"
"ER/ER.1","3","77.82","0.02","0.03","(1,R2) 51%"
"ER/ER.2","4","79.49","0.01","0.04","(1,R2) 99%"
"ARD/ARD.1","5","73.78","0.16","0.02","(1,R1) 100%"
"ARD/ARD.2","6","75.84","0.06","0.02","(1,R2) 100%"
"ER/ARD.1","4","74.25","0.12","0.02","(1,R1) 100%"
"ER/ARD.2","5","75.78","0.06","0.02","(1,R1) 100%"
