"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","149.08","<0.001","<0.001","(1,R1) 100%"
"ARD","2","141.45","<0.001","<0.001","(1,R1) 100%"
"ER/ER","4","127","0.11","3.27","(1,R2) 99%"
"ARD/ARD","6","125.22","0.28","2.71","(1,R2) 94%"
"ER/ARD","5","123.66","0.61","3.39","(1,R2) 97%"
