"","k.rate","AICc","AICcWt","MeanRate","ASR"
"ER","1","196.94","<0.001","<0.001","(2,R1) 82%"
"ARD","2","190.29","<0.001","<0.001","(2,R1) 75%"
"ER/ER","4","167.33","0.65","0.04","(2,R2) 90%"
"ARD/ARD","6","171.16","0.1","0.04","(2,R2) 83%"
"ER/ARD","5","169.25","0.25","0.04","(2,R2) 88%"
