mean,std.dev,class,replicate,group
2078.74,102.56,mean,Apocynaceae,fleshy
1302.64,33.31,mean,Apocynaceae,dry
1284.85,67.8,mean,Ericaceae,fleshy
1342.89,50.78,mean,Ericaceae,dry
2179.95,30.46,mean,Melastomataceae,fleshy
1759.23,38.87,mean,Melastomataceae,dry
1001.07,24.59,mean,Rosaceae,fleshy
788.12,24.01,mean,Rosaceae,dry
1135.91,33.62,mean,Solanaceae,fleshy
636.52,40.38,mean,Solanaceae,dry
1867.65,177.41,optimum,Apocynaceae,fleshy
1147.84,14.74,optimum,Apocynaceae,dry
1121.08,0.28,optimum,Ericaceae,fleshy
1146.69,0.03,optimum,Ericaceae,dry
2142.47,46.58,optimum,Melastomataceae,fleshy
1793.01,49.89,optimum,Melastomataceae,dry
920.64,48.95,optimum,Rosaceae,fleshy
705.24,25.02,optimum,Rosaceae,dry
2146.4,188.11,optimum,Solanaceae,fleshy
550.63,73.9,optimum,Solanaceae,dry
