"","clade_i","ObsSt","Alpha","Sigma","Optim"
"Acokanthera_oblongifolia","Apocynaceae","Fleshy",0.0699100161076781,0.0458785430802701,7.60536422447408
"Acokanthera_rotundata","Apocynaceae","Fleshy",0.0700642368356368,0.046064922193192,7.60063174795151
"Acokanthera_oppositifolia","Apocynaceae","Fleshy",0.069912133683881,0.0461442818678584,7.59895518832282
"Carissa_macrocarpa","Apocynaceae","Fleshy",0.069937102907347,0.0584510067710577,7.58923863990809
"Carissa_carandas","Apocynaceae","Fleshy",0.0700746828605097,0.0555815364822163,7.58832084488827
"Carissa_spinarum","Apocynaceae","Fleshy",0.0699241001682574,0.0556172343265564,7.58667750819355
"Carissa_ovata","Apocynaceae","Fleshy",0.0699211248600827,0.0554082050466189,7.59297962345216
"Carissa_bispinosa","Apocynaceae","Fleshy",0.0700980708358381,0.0587369174793276,7.58448189932233
"Apocynum_androsaemifolium","Apocynaceae","Dry",0.0747615148222738,0.0781634122820141,7.04079951503109
"Apocynum_cannabinum","Apocynaceae","Dry",0.0749250166824435,0.0784058427692804,7.03449202184306
"Cleghornia_malaccensis","Apocynaceae","Dry",0.0747254344288538,0.0783730807822706,7.03359726625148
"Trachelospermum_jasminoides","Apocynaceae","Dry",0.0747923278064286,0.078288028406997,7.04177995749497
"Trachelospermum_asiaticum","Apocynaceae","Dry",0.0749590453053533,0.0785325754501187,7.03542471206233
"Trachelospermum_axillare","Apocynaceae","Dry",0.0747644051568803,0.0785325310683856,7.03460802281895
"Chonemorpha_fragrans","Apocynaceae","Dry",0.0747868501376689,0.0782589349491802,7.04164455397651
"Aganosma_cymosa","Apocynaceae","Dry",0.0749695020600274,0.0785749073978066,7.03568163967695
"Aganosma_wallichii","Apocynaceae","Dry",0.0747743827857681,0.0785762381711525,7.03484507500012
"Aganosma_schlechteriana","Apocynaceae","Dry",0.0748009241755965,0.0783249530899701,7.04203118363646
"Epigynum_auritum","Apocynaceae","Dry",0.0749677135937593,0.0785658075195219,7.03564256851336
"Epigynum_cochinchinense","Apocynaceae","Dry",0.0747724441875783,0.0785659426849099,7.03480386910646
"Epigynum_griffithianum","Apocynaceae","Dry",0.0748010857411463,0.0783258627796125,7.04203488737154
"Epigynum_ridleyi","Apocynaceae","Dry",0.0749687625769551,0.078571041264962,7.03566539578345
"Ichnocarpus_frutescens","Apocynaceae","Dry",0.0747726565299652,0.0785670180935501,7.03480840229207
"Pottsia_laxiflora","Apocynaceae","Dry",0.0747891426799153,0.0782682994097949,7.04171501274285
"Amalocalyx_microlobus","Apocynaceae","Dry",0.0749534973725607,0.0785035083800749,7.03530791376127
"Micrechites_polyanthus","Apocynaceae","Dry",0.0747643999075189,0.0785289495418571,7.03461458967782
"Micrechites_rhombifolius","Apocynaceae","Dry",0.0747921440724333,0.078283590365852,7.04178878449158
"Micrechites_serpyllifolius","Apocynaceae","Dry",0.0749585012072586,0.0785259168297607,7.03542074912076
"Parameria_laevigata","Apocynaceae","Dry",0.0747530477204248,0.0784847253484566,7.03430736888838
"Urceola_lucida","Apocynaceae","Dry",0.0747860565506066,0.0782659971606311,7.0415560384127
"Urceola_minutiflora","Apocynaceae","Dry",0.0749520753474107,0.078510084313144,7.03521116870852
"Urceola_micrantha","Apocynaceae","Dry",0.0747568705789771,0.0785041959494826,7.03438932601171
"Urceola_rosea","Apocynaceae","Dry",0.0747811979578311,0.0782406517665979,7.04143469840568
"Streptoechites_chinensis","Apocynaceae","Dry",0.0749185446742655,0.0783781344092426,7.03436352683254
"Amphineurion_marginatum","Apocynaceae","Dry",0.0747257138267936,0.0783746575010136,7.03359444715067
"Sindechites_henryi","Apocynaceae","Dry",0.0747550578335183,0.0781347595183639,7.04061803073523
"Beaumontia_grandiflora","Apocynaceae","Dry",0.0749223930342654,0.0783969779458421,7.03442094151456
"Vallaris_solanacea","Apocynaceae","Dry",0.0747299939063692,0.0783951763410458,7.03368564574372
"Anodendron_oblongifolium","Apocynaceae","Dry",0.0747507651056154,0.0781301092809022,7.04039098306469
"Anodendron_paniculatum","Apocynaceae","Dry",0.0749129393049244,0.0783716658925305,7.03410320564421
"Papuechites_aambe","Apocynaceae","Dry",0.0747109194035766,0.0783233110735835,7.03316709913923
"Asclepias_incarnata","Apocynaceae","Dry",0.074818153668296,0.0783109546223657,7.04384087029383
"Asclepias_fascicularis","Apocynaceae","Dry",0.0749885109306454,0.0785578973831583,7.03743157436401
"Asclepias_angustifolia","Apocynaceae","Dry",0.0747919998898578,0.0785621783513376,7.03653998881646
"Asclepias_gentryi","Apocynaceae","Dry",0.0748183489102257,0.0783120567331472,7.0438455243876
"Asclepias_linearis","Apocynaceae","Dry",0.074988949862876,0.0785601870595921,7.03744116673866
"Asclepias_verticillata","Apocynaceae","Dry",0.0747922228258673,0.0785633692483481,7.03654474632136
"Asclepias_perennis","Apocynaceae","Dry",0.0748185781186141,0.0783132960536743,7.04385116094221
"Asclepias_subverticillata","Apocynaceae","Dry",0.0749889994757082,0.0785604510472438,7.03744224080959
"Asclepias_texana","Apocynaceae","Dry",0.0747922707078024,0.0785636352292103,7.03654575595236
"Asclepias_mexicana","Apocynaceae","Dry",0.0748182813229433,0.0783116524402282,7.0438439860083
"Asclepias_pumila","Apocynaceae","Dry",0.0749886472094506,0.0785586008775018,7.03743456200971
"Asclepias_woodsoniana","Apocynaceae","Dry",0.0747918717569477,0.0785614449090764,7.03653729611746
"Asclepias_barjoniifolia","Apocynaceae","Dry",0.0748159672959369,0.0782997906062937,7.04378453725119
"Asclepias_mellodora","Apocynaceae","Dry",0.0749861433427918,0.078546614089784,7.03737793237199
"Asclepias_boliviensis","Apocynaceae","Dry",0.0747895414419736,0.0785496488103605,7.03648617855285
"Asclepias_candida","Apocynaceae","Dry",0.0748159585980442,0.0782997402690847,7.04378433319172
"Asclepias_flava","Apocynaceae","Dry",0.074986101355564,0.0785463828571613,7.03737702560703
"Asclepias_curassavica","Apocynaceae","Dry",0.07478935643674,0.0785485811639773,7.03648226337264
"Asclepias_nivea","Apocynaceae","Dry",0.0748157853250236,0.0782987321815733,7.04378028007231
"Asclepias_pratensis","Apocynaceae","Dry",0.0749824220297604,0.0785277411879558,7.03729532157126
"Asclepias_albicans","Apocynaceae","Dry",0.074788500960567,0.0785444843197298,7.03646270429433
"Asclepias_subaphylla","Apocynaceae","Dry",0.0748149592263514,0.0782947356198731,7.04375795535712
"Asclepias_masonii","Apocynaceae","Dry",0.0749850768074791,0.0785416420995402,7.03735311156441
"Asclepias_subulata","Apocynaceae","Dry",0.0747885248184031,0.0785446227122613,7.03646320804373
"Asclepias_leptopus","Apocynaceae","Dry",0.0748143283759489,0.0782911809516025,7.04374291855545
"Asclepias_cutleri","Apocynaceae","Dry",0.0749831187164614,0.0785313098236485,7.03731050017898
"Asclepias_mcvaughii","Apocynaceae","Dry",0.074785848336322,0.078530031177174,7.03640633974936
