"","Clade","ObsSt","Alpha","Sigma","Optim"
"Themistoclesia_epiphytica","Ericaceae","Biotic",0.0686396790717347,3.43863441537725e-05,5.66331890138809
"Diogenesia_alstoniana","Ericaceae","Biotic",0.068632026365889,3.44614472761586e-05,5.66350264412412
"Anthopterus_wardii","Ericaceae","Biotic",0.0686105713793047,3.43372396872889e-05,5.66788513879182
"Anthopterus_revolutus","Ericaceae","Biotic",0.068639541825358,3.43859513400843e-05,5.66331297529124
"Thibaudia_litensis","Ericaceae","Biotic",0.0686319296518978,3.44608693189905e-05,5.66350284859076
"Thibaudia_floribunda","Ericaceae","Biotic",0.0686105706858511,3.43372053768356e-05,5.66788516071174
"Cavendishia_bracteata","Ericaceae","Biotic",0.0686391810000437,3.4385167575044e-05,5.66329557513329
"Cavendishia_martii","Ericaceae","Biotic",0.0686315333814418,3.44596498270972e-05,5.66349584721512
"Satyria_warszewiczii","Ericaceae","Biotic",0.0686102856797504,3.43363683636868e-05,5.66785662590499
"Satyria_ventricosa","Ericaceae","Biotic",0.0686391723708748,3.43851642848989e-05,5.66329508630415
"Gonocalyx_costaricensis","Ericaceae","Biotic",0.068631082574691,3.44577133731537e-05,5.66349023661353
"Gonocalyx_megabracteolatus","Ericaceae","Biotic",0.0686099836168286,3.43349023872803e-05,5.66782672165934
"Vaccinium_poasanum","Ericaceae","Biotic",0.0686387412927701,3.43838077156518e-05,5.66327537324557
"Costera_endertii","Ericaceae","Biotic",0.0686310465881164,3.44576896603074e-05,5.66348908309712
"Utleya_costaricensis","Ericaceae","Biotic",0.0686098365607492,3.43345904694601e-05,5.66781198877221
"Symphysia_racemosa","Ericaceae","Biotic",0.0686384137244894,3.43830964285306e-05,5.66325967477472
"Vaccinium_uliginosum","Ericaceae","Biotic",0.0686294910073908,3.44521582925933e-05,5.66346500841302
"Vaccinium_reticulatum","Ericaceae","Biotic",0.0686096738870362,3.43333981675075e-05,5.6677963985791
"Vaccinium_calycinum","Ericaceae","Biotic",0.0686383673742438,3.43823884771382e-05,5.6632593659424
"Vaccinium_myrtillus","Ericaceae","Biotic",0.0686305974768335,3.44558382254019e-05,5.66348299958425
"Vaccinium_corymbosum","Ericaceae","Biotic",0.0686095491293104,3.43334267368576e-05,5.66778333731075
"Vaccinium_meridionale","Ericaceae","Biotic",0.0686380849564416,3.43821280684298e-05,5.66324408326249
"Vaccinium_consanguineum","Ericaceae","Biotic",0.0686303220819869,3.44551409056927e-05,5.66347724792177
"Vaccinium_macrocarpon","Ericaceae","Biotic",0.0686095036127008,3.43331823696019e-05,5.6677788982543
"Vaccinium_vitis_idaea","Ericaceae","Biotic",0.0686381520821528,3.43822179729848e-05,5.66324757589791
"Vaccinium_microcarpum","Ericaceae","Biotic",0.0686303603939058,3.44548757504143e-05,5.66348046014711
"Vaccinium_oxycoccos","Ericaceae","Biotic",0.0686094839045475,3.43327945719834e-05,5.66777773457772
"Gaylussacia_dumosa","Ericaceae","Biotic",0.0686379109962147,3.43816750711917e-05,5.66323599066987
"Agapetes_serpens","Ericaceae","Biotic",0.068630317268341,3.44549541496468e-05,5.66347812449671
"Agapetes_buxifolia","Ericaceae","Biotic",0.0686094505038076,3.43329048734829e-05,5.66777368490326
"Agapetes_hosseana","Ericaceae","Biotic",0.0686379999733216,3.43818613214519e-05,5.66324028674106
"Vaccinium_bracteatum","Ericaceae","Biotic",0.0686300428512714,3.44541227997496e-05,5.66347321315181
"Dimorphanthera_keysseri","Ericaceae","Biotic",0.0686095935173652,3.4333308076156e-05,5.66778799482482
"Paphia_stenantha","Ericaceae","Biotic",0.0686382661304877,3.43823193878474e-05,5.66325360996288
"Paphia_meiniana","Ericaceae","Biotic",0.0686304730313638,3.44555399942044e-05,5.66348014554134
"Dimorphanthera_kempteriana","Ericaceae","Biotic",0.0686095249704844,3.43331951589389e-05,5.66778108700989
"Dimorphanthera_dekockii","Ericaceae","Biotic",0.06863817917109,3.43822249960315e-05,5.66324903768494
"Orthaea_venamensis","Ericaceae","Biotic",0.0686303222715291,3.44548146495573e-05,5.66347914319678
"Orthaea_apophysata","Ericaceae","Biotic",0.0686094563661091,3.43327681917127e-05,5.66777455218252
"Notopora_schomburgkii","Ericaceae","Biotic",0.0686380156014724,3.43818688888503e-05,5.66324113152116
"Andromeda_polifolia","Ericaceae","Biotic",0.0686292392515559,3.4527351254284e-05,5.66304517868227
"Zenobia_pulverulenta","Ericaceae","Abiotic",0.0633702309612421,7.16133460578959e-05,5.65508863630932
"Gaultheria_fragrantissima","Ericaceae","Biotic",0.068639776264284,3.43994993190917e-05,5.66327329944109
"Gaultheria_trigonoclada","Ericaceae","Biotic",0.06863227045748,3.44757895518075e-05,5.66343310021122
"Gaultheria_wardii","Ericaceae","Biotic",0.0686105745450858,3.43510205341938e-05,5.66787479318315
"Gaultheria_brevistipes","Ericaceae","Biotic",0.0686397762389379,3.43994995214477e-05,5.66327329703959
"Gaultheria_semi_infera","Ericaceae","Biotic",0.0686322704261348,3.44757940631364e-05,5.66343306078205
"Gaultheria_hookeri","Ericaceae","Biotic",0.0686105745018874,3.4351024730339e-05,5.66787476260586
"Gaultheria_tetramera","Ericaceae","Biotic",0.0686397747431846,3.43995165170722e-05,5.66327311521687
"Gaultheria_notabilis","Ericaceae","Biotic",0.0686322353761575,3.44759768346189e-05,5.66343069210502
"Gaultheria_discolor","Ericaceae","Biotic",0.0686105367557503,3.435115283217e-05,5.66787099953568
"Gaultheria_longibracteolata","Ericaceae","Biotic",0.0686397321349407,3.43996381727997e-05,5.66327030437582
"Gaultheria_straminea","Ericaceae","Biotic",0.0686322185549039,3.44759273082088e-05,5.66343051778102
"Gaultheria_praticola","Ericaceae","Biotic",0.0686105113487089,3.43512812767858e-05,5.66786827740632
"Gaultheria_heteromera","Ericaceae","Biotic",0.0686397029543386,3.43997704141114e-05,5.66326806090403
"Gaultheria_nummularioides","Ericaceae","Biotic",0.0686321007040259,3.44759980293197e-05,5.6634260857012
"Gaultheria_pyrolifolia","Ericaceae","Biotic",0.0686104412683705,3.43513483972687e-05,5.66786135632188
"Gaultheria_dumicola","Ericaceae","Biotic",0.0686395761335214,3.4399584452297e-05,5.66326225553513
"Gaultheria_pseudonotabilis","Ericaceae","Biotic",0.0686320539216021,3.44756655336465e-05,5.6634267381198
"Gaultheria_codonantha","Ericaceae","Biotic",0.0686103914993781,3.43512118492797e-05,5.66785683542125
"Gaultheria_griffithiana","Ericaceae","Biotic",0.0686395249664307,3.43997713225724e-05,5.66325838981379
"Gaultheria_jingdongensis","Ericaceae","Biotic",0.0686319374272152,3.44748226480548e-05,5.66342771512982
"Gaultheria_sinensis","Ericaceae","Biotic",0.0686103371097321,3.43503669530393e-05,5.66785256602877
"Gaultheria_eciliata","Ericaceae","Biotic",0.0686394663300799,3.43989655424275e-05,5.66325876444521
"Gaultheria_trichophylla","Ericaceae","Biotic",0.0686319146589693,3.44749499802079e-05,5.66342609890534
"Gaultheria_hypochlora","Ericaceae","Biotic",0.068610308311148,3.43505498303953e-05,5.6678493619062
"Gaultheria_cardiosepala","Ericaceae","Biotic",0.0686394146029314,3.43990918722964e-05,5.66325542942416
"Gaultheria_thymifolia","Ericaceae","Biotic",0.0686318751610691,3.44749532864231e-05,5.66342482921885
"Gaultheria_dolichopoda","Ericaceae","Biotic",0.0686101731987667,3.43506809018354e-05,5.66783576921266
"Gaultheria_tasmanica","Ericaceae","Biotic",0.0686391093979778,3.43985884621928e-05,5.66324027989979
"Gaultheria_antipoda","Ericaceae","Biotic",0.0686315398249484,3.44740657293847e-05,5.66341827875234
"Pernettya_prostrata","Ericaceae","Biotic",0.068610009861112,3.43500528677618e-05,5.66781976445303
"Gaultheria_borneensis","Ericaceae","Biotic",0.0686390085074266,3.43986360812488e-05,5.66323423416606
"Gaultheria_prostrata","Ericaceae","Biotic",0.0686314745699433,3.44737633946671e-05,5.66341795258064
"Gaultheria_cuneata","Ericaceae","Biotic",0.0686100039630808,3.43497332150594e-05,5.66781994166708
"Gaultheria_pyroloides","Ericaceae","Biotic",0.068639007654953,3.43985732955007e-05,5.66323450861232
"Gaultheria_eriophylla","Ericaceae","Biotic",0.0686309049588552,3.44722865818238e-05,5.66340594668743
"Gaultheria_shallon","Ericaceae","Biotic",0.0686096004721222,3.43488013589387e-05,5.6677786566968
"Tepuia_venusta","Ericaceae","Biotic",0.0686382707426496,3.43966671107653e-05,5.66319988907672
"Tepuia_cardonae","Ericaceae","Biotic",0.0686306144136064,3.44710383120461e-05,5.66340264700949
"Gaultheria_procumbens","Ericaceae","Biotic",0.0686093469865704,3.43477673289057e-05,5.6677534912243
"Diplycosia_acuminata","Ericaceae","Biotic",0.0686383414590351,3.43966868394001e-05,5.66320397792701
"Diplycosia_cinnamomifolia","Ericaceae","Biotic",0.0686306916616003,3.44711413131727e-05,5.66340487182049
"Gaultheria_leucocarpa","Ericaceae","Biotic",0.0686094014430826,3.4347887693414e-05,5.66775913040858
"Gaultheria_suborbicularis","Ericaceae","Biotic",0.0686379705133176,3.43963008836022e-05,5.66318340879247
"Eubotrys_recurva","Ericaceae","Abiotic",0.0633954025074451,7.08851968924503e-05,5.65035760642244
"Eubotrys_racemosa","Ericaceae","Abiotic",0.0633717460247746,7.07555796470836e-05,5.65512660788709
"Chamaedaphne_calyculata","Ericaceae","Abiotic",0.0634017682677912,7.09970555811611e-05,5.65042997014314
"Leucothoe_keiskei","Ericaceae","Abiotic",0.0633954353678761,7.10124423506948e-05,5.65035353752885
"Leucothoe_fontanesiana","Ericaceae","Abiotic",0.0633717843402755,7.08828946528628e-05,5.65512098218484
"Leucothoe_davisiae","Ericaceae","Abiotic",0.0634018701565705,7.09876135805946e-05,5.6504301979668
"Eubotryoides_grayana","Ericaceae","Abiotic",0.0633953985762547,7.10829370347423e-05,5.65035129106922
"Oxydendrum_arboreum","Ericaceae","Abiotic",0.0633717811232422,7.09658168472926e-05,5.6551173400477
"Pieris_formosa","Ericaceae","Abiotic",0.0634019411393522,7.08477546094537e-05,5.65043298801666
"Pieris_phillyreifolia","Ericaceae","Abiotic",0.063395472323072,7.09321227969399e-05,5.65035612019046
"Pieris_koidzumiana","Ericaceae","Abiotic",0.0633719187141631,6.9901885741197e-05,5.65516515735281
"Pieris_japonica","Ericaceae","Abiotic",0.0634021632284635,6.99475069037705e-05,5.65045223049251
"Pieris_floribunda","Ericaceae","Abiotic",0.0633954492221756,7.10551990819569e-05,5.65035218357918
"Pieris_nana","Ericaceae","Abiotic",0.0633717928972193,7.09590219616068e-05,5.65511763789381
"Agarista_salicifolia","Ericaceae","Abiotic",0.0634018961950617,7.09983351839889e-05,5.65043000164392
"Agarista_populifolia","Ericaceae","Abiotic",0.0633954417137892,7.10826889485818e-05,5.65035131549267
"Craibiodendron_scleranthum_var_kwangtungense","Ericaceae","Abiotic",0.0633718184883768,7.07404910211056e-05,5.65512730525299
"Craibiodendron_yunnanense","Ericaceae","Abiotic",0.0634019502748762,7.07857423803739e-05,5.65043424694191
"Lyonia_ovalifolia","Ericaceae","Abiotic",0.0633954659948681,7.09479446640539e-05,5.65035561011124
"Lyonia_ligustrina","Ericaceae","Abiotic",0.063371812197508,7.08183616541269e-05,5.65512384522193
"Lyonia_ferruginea","Ericaceae","Abiotic",0.0634019001733191,7.09883204918343e-05,5.65043019505819
"Lyonia_lucida","Ericaceae","Abiotic",0.0633954411068321,7.10862278481974e-05,5.65035120510465
"Harrimanella_hypnoides","Ericaceae","Abiotic",0.0633717870229896,7.09656244078377e-05,5.65511735421636
"Rhododendron_floccigerum","Ericaceae","Abiotic",0.0634026339718922,6.82506482354596e-05,5.65048794938984
"Rhododendron_cerasinum","Ericaceae","Abiotic",0.0633959234355219,6.83352596249825e-05,5.65044174256514
"Rhododendron_fulvum","Ericaceae","Abiotic",0.063372159137626,6.8207159331334e-05,5.6552412689494
"Rhododendron_roxieanum","Ericaceae","Abiotic",0.0634026332062213,6.8253533546271e-05,5.65048788258605
"Rhododendron_sinogrande","Ericaceae","Abiotic",0.063395904061194,6.84583361911653e-05,5.65043762110975
