"","Clade","ObsSt","Alpha","Sigma","Optim"
"Solanum_berthaultii","Solanaceae","Biotic",0.165508125259861,0.0122599816657404,7.29847564078533
"Solanum_chacoense","Solanaceae","Biotic",0.165504847302054,0.0122757249829393,7.29870400577282
"Solanum_kurtzianum","Solanaceae","Biotic",0.165497205407826,0.0123119438606549,7.29923189036599
"Solanum_demissum","Solanaceae","Biotic",0.165497205407827,0.0123119438606499,7.29923189036592
"Solanum_brevicaule","Solanaceae","Biotic",0.165499873307945,0.0122976926497712,7.29903286156549
"Solanum_microdontum","Solanaceae","Biotic",0.165499873307945,0.0122976926497712,7.29903286156549
"Solanum_candolleanum","Solanaceae","Biotic",0.165494586941173,0.0123233296475197,7.29940320942306
"Solanum_tuberosum","Solanaceae","Biotic",0.165494586941166,0.0123233296475502,7.2994032094235
"Solanum_vernei","Solanaceae","Biotic",0.16548510151004,0.0123691331114111,7.30006799774378
"Solanum_maglia","Solanaceae","Biotic",0.165520587395927,0.0121942083898612,7.29755768657083
"Solanum_laxissimum","Solanaceae","Biotic",0.165520587419191,0.0121942082693966,7.29755768486937
"Solanum_lignicaule","Solanaceae","Biotic",0.165513010860613,0.0122346551483613,7.29811963950505
"Solanum_raphanifolium","Solanaceae","Biotic",0.165506601368169,0.0122667836482265,7.29857776536519
"Solanum_colombianum","Solanaceae","Biotic",0.165529913256668,0.0121478872633274,7.29689667670222
"Solanum_agrimonifolium","Solanaceae","Biotic",0.165529913256654,0.012147887263402,7.29689667670327
"Solanum_oxycarpum","Solanaceae","Biotic",0.165525832594485,0.0121700762038472,7.29720253783402
"Solanum_longiconicum","Solanaceae","Biotic",0.16551936529424,0.0122030720150518,7.29766938044377
"Solanum_acaule","Solanaceae","Biotic",0.16550464632225,0.0122720293138023,7.29867683422176
