"","arid.se.clade","arid.se.fruit_type","arid.se.theta_t","arid.se.sigma2","arid.se.alpha","arid.se.half.life","arid.se.stationary_var","pet.se.clade","pet.se.fruit_type","pet.se.theta_t","pet.se.sigma2","pet.se.alpha","pet.se.half.life","pet.se.stationary_var","prec.se.clade","prec.se.fruit_type","prec.se.theta_t","prec.se.sigma2","prec.se.alpha","prec.se.half.life","prec.se.stationary_var","temp.se.clade","temp.se.fruit_type","temp.se.theta_t","temp.se.sigma2","temp.se.alpha","temp.se.half.life","temp.se.stationary_var"
"total_fleshy","Apocynaceae","Fleshy","1.18 (0.01)","0.03 (0)","0.06 (0)","0.14 (0)","0.24 (0)","Apocynaceae","Fleshy","1533.66 (0.12)","0.01 (0)","0.15 (0)","0.05 (0)","0.02 (0)","Apocynaceae","Fleshy","1908.06 (9.29)","0.04 (0)","0.1 (0)","0.08 (0)","0.21 (0)","Apocynaceae","Fleshy","24.12 (0)","0 (0)","0.22 (0)","0.04 (0)","0 (0)"
"total_dry","Apocynaceae","Dry","0.69 (0)","0.06 (0)","0.06 (0)","0.126 (0)","0.48 (0)","Apocynaceae","Dry","1619.78 (0.34)","0.01 (0)","0.15 (0)","0.053 (0)","0.04 (0)","Apocynaceae","Dry","1128.69 (0.54)","0.06 (0)","0.11 (0)","0.071 (0)","0.26 (0)","Apocynaceae","Dry","21.19 (0.01)","0 (0)","0.21 (0)","0.038 (0)","0 (0)"
"total_fleshy.1","Ericaceae","Fleshy","0.62 (0)","0.13 (0)","0.02 (0)","0.24 (0)","2.8 (0)","Ericaceae","Fleshy","1438.12 (0.43)","0.01 (0)","0.03 (0)","0.2 (0)","0.1 (0)","Ericaceae","Fleshy","1116 (0.34)","0.03 (0)","0.04 (0)","0.16 (0)","0.42 (0)","Ericaceae","Fleshy","15.25 (0)","0 (0)","0.07 (0)","0.08 (0)","0 (0)"
"total_dry.1","Ericaceae","Dry","1.04 (0)","0.02 (0)","0.03 (0)","0.163 (0)","0.29 (0)","Ericaceae","Dry","1100.61 (0.09)","0.01 (0)","0.03 (0)","0.178 (0)","0.11 (0)","Ericaceae","Dry","1148.46 (0.08)","0.02 (0)","0.04 (0)","0.15 (0)","0.27 (0)","Ericaceae","Dry","11.28 (0)","0 (0)","0.06 (0)","0.091 (0)","0 (0)"
"total_fleshy.2","Melastomataceae","Fleshy","1.4 (0.01)","0.03 (0)","0.09 (0)","0.08 (0)","0.16 (0)","Melastomataceae","Fleshy","1466.45 (2.74)","0.01 (0)","0.17 (0)","0.04 (0)","0.02 (0)","Melastomataceae","Fleshy","2176.43 (9.79)","0.02 (0)","0.09 (0)","0.08 (0)","0.11 (0)","Melastomataceae","Fleshy","23.14 (0)","0 (0)","0.14 (0)","0.05 (0)","0 (0)"
"total_dry.2","Melastomataceae","Dry","1.21 (0.01)","0.03 (0)","0.08 (0)","0.085 (0)","0.17 (0)","Melastomataceae","Dry","1423.33 (2.46)","0.01 (0)","0.17 (0)","0.04 (0)","0.02 (0)","Melastomataceae","Dry","1813.81 (8.78)","0.03 (0)","0.08 (0)","0.087 (0)","0.19 (0)","Melastomataceae","Dry","20.83 (0.02)","0 (0)","0.13 (0)","0.053 (0)","0 (0)"
"total_fleshy.3","Rosaceae","Fleshy","0.81 (0.01)","0.28 (0)","0.32 (0)","0.02 (0)","0.43 (0)","Rosaceae","Fleshy","1198.78 (4.04)","0.09 (0)","0.32 (0)","0.02 (0)","0.14 (0)","Rosaceae","Fleshy","927.01 (18.48)","0.2 (0)","0.32 (0)","0.02 (0)","0.31 (0)","Rosaceae","Fleshy","12.53 (0.51)","0 (0)","0.32 (0)","0.02 (0)","0 (0)"
"total_dry.3","Rosaceae","Dry","0.68 (0.02)","0.37 (0)","0.32 (0)","0.024 (0)","0.58 (0)","Rosaceae","Dry","1088.76 (19.67)","0.08 (0)","0.32 (0)","0.024 (0)","0.13 (0)","Rosaceae","Dry","718.05 (5.02)","0.23 (0)","0.32 (0)","0.024 (0)","0.36 (0)","Rosaceae","Dry","8.27 (1.76)","0 (0)","0.32 (0)","0.024 (0)","0 (0)"
"total_fleshy.4","Solanaceae","Fleshy","1.13 (0.11)","0.15 (0)","0.08 (0)","0.17 (0)","0.91 (0.02)","Solanaceae","Fleshy","1518.45 (93.32)","0.01 (0)","0.16 (0)","0.09 (0)","0.04 (0)","Solanaceae","Fleshy","1629.43 (106.41)","0.1 (0)","0.09 (0)","0.16 (0)","0.54 (0.01)","Solanaceae","Fleshy","17.77 (0.01)","0 (0)","0.17 (0)","0.09 (0)","0 (0)"
"total_dry.4","Solanaceae","Dry","0.35 (0.05)","0.28 (0.01)","0.07 (0)","0.195 (0)","2 (0.11)","Solanaceae","Dry","1631.87 (141.12)","0.02 (0)","0.16 (0)","0.089 (0)","0.06 (0)","Solanaceae","Dry","511.22 (59.64)","0.25 (0.01)","0.07 (0)","0.213 (0)","1.92 (0.05)","Solanaceae","Dry","16.15 (0.03)","0 (0)","0.15 (0)","0.097 (0)","0 (0)"
