"","Clade","ObsSt","Alpha","Sigma","Optim"
"Miconia_bicolor","Melastomataceae","Biotic",0.181988095569691,5.8510917295111e-05,5.6905525674571
"Miconia_barbata","Melastomataceae","Biotic",0.181988095569691,5.85110377683784e-05,5.69055253646166
"Miconia_cristalensis","Melastomataceae","Biotic",0.181988095569691,5.85110669822368e-05,5.69055252893312
"Miconia_guajaibonensis","Melastomataceae","Biotic",0.181988095569691,5.85111854495733e-05,5.6905524983631
"Miconia_cajalbanensis","Melastomataceae","Biotic",0.181988095569691,5.85111854495733e-05,5.6905524983631
"Miconia_delicatula","Melastomataceae","Biotic",0.181988095569691,5.84901177739092e-05,5.69055787833592
"Miconia_androsaemifolia","Melastomataceae","Biotic",0.181988095569691,5.85028894084052e-05,5.69055461644038
"Pachyanthus_cubensis","Melastomataceae","Biotic",0.181988095569691,5.85036619076748e-05,5.69055441839366
"Pachyanthus_tetramerus","Melastomataceae","Biotic",0.181988095569691,5.85069308288595e-05,5.69055357546065
"Pachyanthus_wrightii","Melastomataceae","Biotic",0.181988095569691,5.85077136250385e-05,5.69055337331428
"Pachyanthus_poiretii","Melastomataceae","Biotic",0.181988095569691,5.8507804805613e-05,5.69055334976208
"Pachyanthus_angustifolius","Melastomataceae","Biotic",0.181988095569691,5.85078255798374e-05,5.69055334439371
"Pachyanthus_mantuensis","Melastomataceae","Biotic",0.181988095569691,5.85078347781828e-05,5.69055334201601
"Pachyanthus_clementis","Melastomataceae","Biotic",0.181988095569691,5.85078347781828e-05,5.69055334201601
"Miconia_macrocarpa","Melastomataceae","Biotic",0.181988095569691,5.85217536022736e-05,5.69055084514951
"Miconia_angustilamina","Melastomataceae","Biotic",0.181988095569691,5.85222972220406e-05,5.69055070523319
"Miconia_crotonifolia","Melastomataceae","Biotic",0.181988095569691,5.85222972220406e-05,5.69055070523319
"Miconia_heterophylla","Melastomataceae","Biotic",0.181988095569691,5.85205917553861e-05,5.69055124488553
"Calycogonium_turbinatum","Melastomataceae","Biotic",0.181988095569691,5.85308380125414e-05,5.69054866980109
"Calycogonium_torbecianum","Melastomataceae","Biotic",0.181988095569691,5.8531701458202e-05,5.69054844745681
