"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"166","Prunus grayana","28","11.267857","3.462182","0.654291","0.569135","Prunus grayana","28","1880.928571","373.226863","70.533247","5077.452367","Prunus grayana","28","1036.821429","188.324789","35.59004","1635.22917","Prunus grayana","28","18359.714286","6466.667932","1222.085369","1019726.410809"
"167","Rubus ribisoideus","14","16.292857","1.325179","0.354169","1.138269","Rubus ribisoideus","14","2258.642857","472.036603","126.157089","10154.904734","Rubus ribisoideus","12","1287.166667","117.130722","33.812727","3815.53473","Rubus ribisoideus","12","16251.083333","4018.24058","1159.96614","2379361.62522"
"168","Rubus coreanus","72","14.863889","2.580005","0.304057","0.22133","Rubus coreanus","72","1255.791667","337.328733","39.754572","1974.564809","Rubus coreanus","72","1166.361111","111.02776","13.084747","635.922455","Rubus coreanus","72","10987.611111","3247.335326","382.702138","396560.27087"
"169","Rubus crataegifolius","78","10.133333","3.609247","0.408667","0.204305","Rubus crataegifolius","78","1558","559.678479","63.371109","1822.675209","Rubus crataegifolius","77","1047.701299","156.974945","17.888955","594.628789","Rubus crataegifolius","77","14756.025974","6220.399052","708.880262","370809.60393"
"170","Rubus illecebrosus","15","10.593333","2.195602","0.566902","1.062385","Rubus illecebrosus","15","1910.4","234.967718","60.668404","9477.911085","Rubus illecebrosus","15","1035","139.097602","35.914846","3052.427784","Rubus illecebrosus","15","17981.333333","3992.417021","1030.837642","1903489.300176"
"171","Rubus buergeri","44","14.813636","1.469629","0.221555","0.362177","Rubus buergeri","44","1989.795455","529.278604","79.791752","3231.106052","Rubus buergeri","43","1213.883721","88.124428","13.438849","1064.80039","Rubus buergeri","43","15637.534884","3992.855604","608.904771","664007.89541"
"172","Agrimonia nipponica","31","11.367742","2.714822","0.487596","0.514057","Agrimonia nipponica","31","1829.225806","398.118802","71.504248","4586.086009","Agrimonia nipponica","31","1092.516129","135.636247","24.360989","1476.981186","Agrimonia nipponica","31","16200.709677","4317.154458","775.38383","921043.209763"
"173","Rubus corchorifolius","138","16.261594","2.974866","0.253237","0.115477","Rubus corchorifolius","138","1415.746377","500.089497","42.570445","1030.207727","Rubus corchorifolius","138","1206.434783","131.103066","11.160234","331.785629","Rubus corchorifolius","138","11802.782609","3862.06569","328.760864","206901.010889"
"174","Rubus pectinellus","33","10.648485","2.676883","0.465986","0.482902","Rubus pectinellus","33","1997.181818","378.867594","65.952383","4308.141402","Rubus pectinellus","33","1008.69697","133.037703","23.158891","1387.467175","Rubus pectinellus","33","19399","4388.800612","763.992123","865222.409171"
"175","Rubus trifidus","4","14.9","0.948683","0.474342","3.983943","Rubus trifidus","4","1526.25","94.461191","47.230596","35542.16657","Rubus trifidus","4","1275.25","51.331439","25.66572","11446.60419","Rubus trifidus","4","12239.25","762.915188","381.457594","7138084.87566"
"176","Rubus setchuenensis","47","15.114894","3.349885","0.488631","0.339059","Rubus setchuenensis","47","1147.680851","190.599068","27.801731","3024.86524","Rubus setchuenensis","47","1111.765957","134.432335","19.608971","974.17908","Rubus setchuenensis","47","10334.829787","1934.058521","282.11143","607496.585163"
"177","Potentilla centigrana","25","10.556","1.797239","0.359448","0.637431","Potentilla centigrana","25","1686.64","349.115893","69.823179","5686.746651","Potentilla centigrana","25","1014.28","84.7194","16.94388","1831.45667","Potentilla centigrana","25","15981.08","3141.521645","628.304329","1142093.580106"
"178","Rosa sambucina","16","13.55","1.659719","0.41493","0.995986","Rosa sambucina","16","1945.5","378.299529","94.574882","8885.541642","Rosa sambucina","16","1171.25","123.520309","30.880077","2861.651047","Rosa sambucina","16","16806.3125","3871.604055","967.901014","1784521.218915"
"179","Spiraea thunbergii","55","13.24","2.737571","0.369134","0.289741","Spiraea thunbergii","55","1295.018182","408.036513","55.019632","2584.884841","Spiraea thunbergii","54","1289.148148","189.623202","25.804449","847.896607","Spiraea thunbergii","54","10346.814815","3947.576171","537.197074","528747.027827"
"180","Prunus buergeriana","24","11.966667","3.803164","0.776318","0.66399","Prunus buergeriana","24","2021.208333","535.063993","109.21948","5923.694428","Prunus buergeriana","24","1090.5","256.457641","52.349197","1907.767365","Prunus buergeriana","24","19923.333333","17508.071934","3573.820218","1189680.81261"
"181","Rubus mesogaeus","83","11.827711","4.145327","0.455009","0.191997","Rubus mesogaeus","83","1248.493976","467.865036","51.354859","1712.875497","Rubus mesogaeus","83","1062.506024","178.385741","19.580379","551.643575","Rubus mesogaeus","83","12244.433735","6013.876894","660.108747","344004.090393"
"182","Sanguisorba hakusanensis","14","7.478571","2.422706","0.647495","1.138269","Sanguisorba hakusanensis","14","1748.214286","332.29023","88.8083","10154.904734","Sanguisorba hakusanensis","14","876.642857","151.535021","40.499438","3270.45834","Sanguisorba hakusanensis","14","19987.285714","6484.136078","1732.958261","2039452.821617"
"183","Prunus subhirtella","19","12.126316","2.557091","0.586637","0.838725","Prunus subhirtella","19","1235.105263","511.940957","117.44731","7482.561383","Prunus subhirtella","19","1244.421053","271.90119","62.378411","2409.811408","Prunus subhirtella","19","10268.473684","4674.78177","1072.46849","1502754.710665"
"184","Geum calthifolium","62","3.659677","2.379521","0.302199","0.257029","Geum calthifolium","62","1674.5","697.288137","88.555682","2293.043004","Geum calthifolium","51","629.45098","77.687918","10.878484","897.772878","Geum calthifolium","49","30468.408163","13727.80426","1961.114894","582700.806176"
"185","Alchemilla coriacea","29","6.941379","1.843428","0.342316","0.549509","Alchemilla coriacea","29","965.517241","194.974105","36.205782","4902.367803","Alchemilla coriacea","29","988.241379","155.886097","28.947321","1578.841957","Alchemilla coriacea","29","11627.482759","3968.218912","736.879753","984563.431125"
"186","Alchemilla filicaulis","181","3.562983","3.027285","0.225016","0.088043","Alchemilla filicaulis","181","848.574586","441.912675","32.84711","785.462245","Alchemilla filicaulis","171","641.707602","97.213815","7.434126","267.756823","Alchemilla filicaulis","170","13434.941176","7756.68363","594.910477","167954.938251"
"187","Prunus sargentii","52","9.507692","3.046621","0.42249","0.306457","Prunus sargentii","52","1512.211538","395.77907","54.884682","2734.012813","Prunus sargentii","50","992","147.058506","20.797213","915.728335","Prunus sargentii","50","15004.74","3935.837513","556.611479","571046.790053"
"188","Sorbus commixta","49","8.638776","4.114953","0.58785","0.32522","Sorbus commixta","49","1734.836735","525.605656","75.086522","2901.401353","Sorbus commixta","49","959.44898","176.851758","25.264537","934.416669","Sorbus commixta","49","18406.428571","8495.65074","1213.664391","582700.806176"
"189","Rosa californica","45","12.091111","3.889077","0.579749","0.354128","Rosa californica","45","655.666667","379.449542","56.564998","3159.303695","Rosa californica","44","1687.772727","284.022998","42.818078","1040.600381","Rosa californica","44","4353.181818","3685.310458","555.581456","648916.806878"
"190","Amelanchier interior","54","5.731481","2.064966","0.281006","0.295107","Amelanchier interior","54","800.481481","105.333566","14.334083","2632.753079","Amelanchier interior","54","976.87037","97.654","13.289026","847.896607","Amelanchier interior","54","8318.5","1353.123692","184.136811","528747.027827"
"191","Sorbus californica","16","6.05","2.092526","0.523131","0.995986","Sorbus californica","16","1039","349.17541","87.293852","8885.541642","Sorbus californica","16","1387.25","158.034384","39.508596","2861.651047","Sorbus californica","16","8415.25","3854.66558","963.666395","1784521.218915"
"192","Potentilla drummondii","56","2.867857","3.149436","0.420861","0.284567","Potentilla drummondii","56","1152.089286","656.575171","87.738548","2538.726184","Potentilla drummondii","56","993.267857","259.518399","34.679605","817.614585","Potentilla drummondii","56","14154.785714","9068.727943","1211.859746","509863.205404"
"193","Luetkea pectinata","123","1.269919","4.081524","0.368019","0.129559","Luetkea pectinata","123","1158.894309","713.870951","64.367576","1155.842815","Luetkea pectinata","119","738.453782","209.890437","19.240625","384.759805","Luetkea pectinata","119","18688.537815","11719.832056","1074.355243","239935.626073"
"194","Alchemilla argyrophylla","2","13.3","14.849242","10.5","7.967886","Alchemilla argyrophylla","2","1568.5","465.983369","329.5","71084.333139","Alchemilla argyrophylla","2","1240","411.536147","291","22893.20838","Alchemilla argyrophylla","2","12905.5","6391.538195","4519.5","14276169.751319"
"195","Physocarpus capitatus","48","9.889583","2.261636","0.326439","0.331995","Physocarpus capitatus","48","1379.625","592.542866","85.526196","2961.847214","Physocarpus capitatus","47","1202.808511","281.557364","41.069363","974.17908","Physocarpus capitatus","47","13083.191489","8868.446981","1293.595943","607496.585163"
"196","Crataegus laevigata","111","7.443243","1.31934","0.125226","0.143566","Crataegus laevigata","111","774.108108","355.441399","33.737005","1280.798795","Crataegus laevigata","104","786.586538","80.55832","7.899393","440.254007","Crataegus laevigata","104","10030.798077","4792.303912","469.924061","274541.725987"
"197","Potentilla flabellifolia","26","3.615385","3.227221","0.63291","0.612914","Potentilla flabellifolia","26","1155.038462","523.242696","102.616335","5468.025626","Potentilla flabellifolia","26","1091.730769","233.290473","45.752026","1761.016029","Potentilla flabellifolia","26","13350.461538","8207.783717","1609.678821","1098166.903948"
"198","Sorbaria arborea","39","10.820513","4.828707","0.773212","0.40861","Sorbaria arborea","39","869.487179","250.431719","40.101169","3645.350417","Sorbaria arborea","39","1123.512821","165.965575","26.575761","1174.010686","Sorbaria arborea","39","7760.384615","2679.991414","429.142077","732111.269298"
"199","Ivesia lycopodioides","3","2","2.051828","1.184623","5.311924","Ivesia lycopodioides","3","691.333333","61.744096","35.64797","47389.555426","Ivesia lycopodioides","3","1479.666667","114.805633","66.283063","15262.13892","Ivesia lycopodioides","3","4291","413.602466","238.793495","9517446.50088"
"200","Comarum palustre","909","0.324862","5.911403","0.196069","0.017531","Comarum palustre","909","688.821782","418.008037","13.864451","156.401173","Comarum palustre","871","674.340987","176.535079","5.981663","52.567643","Comarum palustre","871","10463.507463","6397.033556","216.755213","32781.10161"
"201","Rosa villosa","123","6.128455","2.651153","0.239046","0.129559","Rosa villosa","123","905.97561","416.72642","37.574956","1155.842815","Rosa villosa","120","777.816667","153.09024","13.975163","381.553473","Rosa villosa","120","12503.316667","7096.311672","647.801663","237936.162522"
"202","Rosa obtusifolia","15","10.28","2.371015","0.612193","1.062385","Rosa obtusifolia","15","848.8","207.782235","53.649142","9477.911085","Rosa obtusifolia","15","1087.466667","208.766399","53.903252","3052.427784","Rosa obtusifolia","15","8530.333333","3598.874242","929.225334","1903489.300176"
"203","Aria hibernica","4","9.325","0.65","0.325","3.983943","Aria hibernica","4","838.75","126.127911","63.063956","35542.16657","Aria hibernica","4","742","53.310412","26.655206","11446.60419","Aria hibernica","4","11547.25","2386.474439","1193.23722","7138084.87566"
"204","Cotoneaster acutifolius","102","9.593137","4.570444","0.452541","0.156233","Cotoneaster acutifolius","102","707.019608","272.714589","27.002768","1393.810454","Cotoneaster acutifolius","102","1221.058824","160.333429","15.875375","448.886439","Cotoneaster acutifolius","102","5918.362745","2620.442797","259.4625","279924.897085"
"205","Cotoneaster subadpressus","17","11.641176","4.540107","1.101138","0.937398","Cotoneaster subadpressus","17","1067.294118","236.411655","57.338249","8362.862722","Cotoneaster subadpressus","17","1117.647059","233.100821","56.535253","2693.318633","Cotoneaster subadpressus","17","8900.647059","2835.595307","687.73288","1679549.382508"
"206","Cotoneaster ambiguus","16","9.625","4.341812","1.085453","0.995986","Cotoneaster ambiguus","16","782.8125","196.833676","49.208419","8885.541642","Cotoneaster ambiguus","16","1124.6875","110.289751","27.572438","2861.651047","Cotoneaster ambiguus","16","6877.3125","1884.121642","471.03041","1784521.218915"
"207","Prunus kansuensis","4","9.725","2.651258","1.325629","3.983943","Prunus kansuensis","4","619.75","176.709507","88.354754","35542.16657","Prunus kansuensis","4","1040","88.491054","44.245527","11446.60419","Prunus kansuensis","4","5940.75","1770.760359","885.38018","7138084.87566"
"208","Rhodotypos scandens","72","11.525","2.408889","0.28389","0.22133","Rhodotypos scandens","72","1066.569444","249.227981","29.371799","1974.564809","Rhodotypos scandens","71","1212.549296","156.145426","18.531053","644.879109","Rhodotypos scandens","71","9163.239437","3054.497436","362.502153","402145.626798"
"209","Prunus amplifolia","23","22.869565","4.084164","0.851607","0.69286","Prunus amplifolia","23","2257.73913","975.540839","203.414326","6181.24636","Prunus amplifolia","23","1368.478261","126.407303","26.357745","1990.713772","Prunus amplifolia","23","17077.26087","8484.819954","1769.207261","1241406.065332"
"210","Prunus davidiana","21","12.119048","4.531183","0.988785","0.758846","Prunus davidiana","21","805.428571","373.839882","81.57855","6769.936489","Prunus davidiana","21","1269.47619","169.322361","36.949168","2180.30556","Prunus davidiana","21","6466.857143","3426.452572","747.713251","1359635.214411"
"211","Crataegus pycnoloba","1","8.7",NA,NA,"15.935771","Crataegus pycnoloba","1","940",NA,NA,"142168.666279","Crataegus pycnoloba","1","1235",NA,NA,"45786.41676","Crataegus pycnoloba","1","7664",NA,NA,"28552339.502639"
"212","Chamaemeles coriacea","1","16.8",NA,NA,"15.935771","Chamaemeles coriacea","1","634",NA,NA,"142168.666279","Chamaemeles coriacea","0","NaN",NA,NA,"Inf","Chamaemeles coriacea","0","NaN",NA,NA,"Inf"
"213","Rosa sempervirens","89","14.534831","2.190325","0.232174","0.179054","Rosa sempervirens","89","770.741573","236.143087","25.031117","1597.400745","Rosa sempervirens","87","1381.344828","226.951886","24.331796","526.280652","Rosa sempervirens","87","5893.873563","2808.620007","301.115672","328187.810375"
"214","Prunus mexicana","88","15.294318","3.066705","0.326912","0.181088","Prunus mexicana","88","962.352273","291.36153","31.059243","1615.553026","Prunus mexicana","88","1616.204545","237.102246","25.275184","520.30019","Prunus mexicana","88","6271.056818","2359.644077","251.538904","324458.403439"
"215","Alchemilla transiens","17","7.041176","2.458927","0.596377","0.937398","Alchemilla transiens","17","949.176471","185.887478","45.084336","8362.862722","Alchemilla transiens","17","1040.058824","151.749164","36.804578","2693.318633","Alchemilla transiens","17","10964.882353","3680.081994","892.550987","1679549.382508"
"216","Malus halliana","39","14.9","2.759672","0.441901","0.40861","Malus halliana","39","1219.74359","455.307688","72.907579","3645.350417","Malus halliana","39","1184","144.083127","23.071765","1174.010686","Malus halliana","39","10529.538462","4754.096576","761.264708","732111.269298"
"217","Malus sieboldii","95","12.306316","4.015046","0.411935","0.167745","Malus sieboldii","95","1194.389474","430.627926","44.181493","1496.512277","Malus sieboldii","95","1105.473684","200.606201","20.581762","481.962282","Malus sieboldii","95","11611.105263","10020.121004","1028.042724","300550.942133"
"218","Prunus prostrata","24","11.254167","2.326217","0.474837","0.66399","Prunus prostrata","24","649.5","206.354065","42.121847","5923.694428","Prunus prostrata","24","1472.75","144.526889","29.501428","1907.767365","Prunus prostrata","24","4258.5","1634.322516","333.604687","1189680.81261"
"219","Dryas drummondii","116","-2.22069","4.794844","0.44519","0.137377","Dryas drummondii","116","695.603448","648.570802","60.218287","1225.591951","Dryas drummondii","115","682.86087","150.589828","14.042574","398.142754","Dryas drummondii","114","11471.938596","12586.919385","1178.873011","250459.118444"
"220","Cliffortia nitidula","11","17.372727","3.233293","0.974875","1.448706","Cliffortia nitidula","11","1418.181818","317.636842","95.771111","12924.424207","Cliffortia nitidula","11","1478.090909","257.702718","77.700293","4162.401524","Cliffortia nitidula","11","8874.454545","3448.989834","1039.909562","2595667.227513"
"221","Malus micromalus","25","11.06","3.291656","0.658331","0.637431","Malus micromalus","25","824.12","534.723474","106.944695","5686.746651","Malus micromalus","25","1316.56","136.806457","27.361291","1831.45667","Malus micromalus","25","6409.6","4753.793213","950.758643","1142093.580106"
"222","Malus asiatica","53","11.713208","4.169119","0.572673","0.300675","Malus asiatica","53","740.037736","318.036643","43.685693","2682.427666","Malus asiatica","53","1267.283019","168.672689","23.168976","863.894656","Malus asiatica","53","6104.792453","3132.874788","430.333448","538723.386842"
"223","Alchemilla ellenbeckii","3","11.266667","5.95427","3.437699","5.311924","Alchemilla ellenbeckii","3","1779.666667","100.286257","57.900297","47389.555426","Alchemilla ellenbeckii","3","1026.666667","61.500678","35.507433","15262.13892","Alchemilla ellenbeckii","3","17037.666667","2135.61568","1232.998288","9517446.50088"
"224","Alchemilla kiwuensis","21","17.085714","3.673865","0.801703","0.758846","Alchemilla kiwuensis","21","1523.571429","567.949432","123.936727","6769.936489","Alchemilla kiwuensis","21","1428.380952","297.146677","64.842721","2180.30556","Alchemilla kiwuensis","21","11572.666667","6568.855291","1433.441743","1359635.214411"
"225","Prunus umbellata","59","15.111864","4.642869","0.60445","0.270098","Prunus umbellata","59","1216.525424","235.742434","30.691051","2409.638412","Prunus umbellata","59","1417.847458","231.907147","30.191739","776.040962","Prunus umbellata","59","8664.067797","1049.140533","136.586463","483937.957672"
"226","Crataegus douglasii","118","6.655085","2.547014","0.234472","0.135049","Crataegus douglasii","118","708.889831","500.649489","46.088521","1204.819206","Crataegus douglasii","117","1181.717949","225.392602","20.837553","391.336895","Crataegus douglasii","117","6572.435897","5976.487439","552.526459","244037.089766"
"227","Lyonothamnus floribundus","3","16.1","1.5","0.866025","5.311924","Lyonothamnus floribundus","3","394.666667","89.556314","51.705362","47389.555426","Lyonothamnus floribundus","3","1733.333333","320.237932","184.889456","15262.13892","Lyonothamnus floribundus","3","2153","372.106168","214.835596","9517446.50088"
"228","Prunus rivularis","26","15.711538","3.009761","0.590263","0.612914","Prunus rivularis","26","785.653846","195.42056","38.325125","5468.025626","Prunus rivularis","26","1824.153846","234.025587","45.896194","1761.016029","Prunus rivularis","26","4573.076923","1721.619724","337.637406","1098166.903948"
"229","Horkeliella purpurascens","1","9.1",NA,NA,"15.935771","Horkeliella purpurascens","1","449",NA,NA,"142168.666279","Horkeliella purpurascens","1","2048",NA,NA,"45786.41676","Horkeliella purpurascens","1","2114",NA,NA,"28552339.502639"
"230","Crataegus okennonii","14","6.835714","1.317694","0.352169","1.138269","Crataegus okennonii","14","621.857143","273.535782","73.105513","10154.904734","Crataegus okennonii","14","1078.642857","109.094601","29.156759","3270.45834","Crataegus okennonii","14","6524.642857","4040.125752","1079.769026","2039452.821617"
"231","Cliffortia repens","9","14.533333","2.927029","0.975676","1.770641","Cliffortia repens","9","964.555556","133.720895","44.573632","15796.518475","Cliffortia repens","9","1545.111111","51.121044","17.040348","5087.37964","Cliffortia repens","9","5986.111111","719.278014","239.759338","3172482.16696"
"232","Cliffortia apiculata","3","15.066667","3.100538","1.790096","5.311924","Cliffortia apiculata","3","479","366.795583","211.769529","47389.555426","Cliffortia apiculata","3","1860","305.838193","176.575763","15262.13892","Cliffortia apiculata","3","2595.333333","2270.254685","1310.732154","9517446.50088"
"233","Cotoneaster atropurpureus","14","8.914286","1.76193","0.470896","1.138269","Cotoneaster atropurpureus","14","824.857143","439.419347","117.43976","10154.904734","Cotoneaster atropurpureus","13","892.461538","192.004173","53.252376","3522.032058","Cotoneaster atropurpureus","13","9774.384615","5101.408425","1414.876127","2196333.807895"
"234","Alchemilla pentaphyllea","2","1.1","1.414214","1","7.967886","Alchemilla pentaphyllea","2","1758.5","72.831998","51.5","71084.333139","Alchemilla pentaphyllea","2","849","12.727922","9","22893.20838","Alchemilla pentaphyllea","2","20372","1524.52222","1078","14276169.751319"
"235","Alchemilla incisa","10","7.12","3.302793","1.044435","1.593577","Alchemilla incisa","10","1028.4","201.99736","63.877174","14216.866628","Alchemilla incisa","10","973.4","160.084145","50.623052","4578.641676","Alchemilla incisa","10","12425.5","4175.700613","1320.472476","2855233.950264"
"236","Potentilla micrantha","85","9.665882","2.628215","0.28507","0.18748","Potentilla micrantha","85","881.458824","282.412209","30.631905","1672.572544","Potentilla micrantha","85","1103.741176","190.631167","20.676853","538.663727","Potentilla micrantha","85","8937.470588","4105.929242","445.350555","335909.876502"
"237","Cliffortia brevifolia","3","16.566667","0.416333","0.24037","5.311924","Cliffortia brevifolia","3","579.333333","84.43538","48.748789","47389.555426","Cliffortia brevifolia","3","1459.333333","168.660408","97.376132","15262.13892","Cliffortia brevifolia","3","3696","375.483688","216.785608","9517446.50088"
"238","Cliffortia dentata","1","12.4",NA,NA,"15.935771","Cliffortia dentata","1","996",NA,NA,"142168.666279","Cliffortia dentata","1","1570",NA,NA,"45786.41676","Cliffortia dentata","1","4668",NA,NA,"28552339.502639"
"239","Sibbaldia parviflora","15","2.266667","2.722569","0.702964","1.062385","Sibbaldia parviflora","15","787.066667","210.077355","54.24174","9477.911085","Sibbaldia parviflora","15","882.533333","201.230098","51.957388","3052.427784","Sibbaldia parviflora","15","12032.066667","5920.179564","1528.583791","1903489.300176"
"240","Rosa laevigata","115","18.252174","2.489957","0.23219","0.138572","Rosa laevigata","115","1474.2","348.601094","32.50722","1236.249272","Rosa laevigata","115","1249.156522","120.389397","11.226369","398.142754","Rosa laevigata","115","11942.573913","2378.852628","221.829151","248281.213066"
"241","Rubus lambertianus","88","17.551136","2.232106","0.237943","0.181088","Rubus lambertianus","88","1469.602273","407.227704","43.410619","1615.553026","Rubus lambertianus","88","1234.227273","94.13218","10.034524","520.30019","Rubus lambertianus","88","11956.852273","3092.852604","329.699195","324458.403439"
"242","Pygeum topengii","28","20.257143","2.09628","0.39616","0.569135","Pygeum topengii","28","1564.357143","220.58327","41.68632","5077.452367","Pygeum topengii","28","1326.678571","101.829943","19.24405","1635.22917","Pygeum topengii","28","12041.214286","1831.625798","346.14474","1019726.410809"
"243","Photinia beauverdiana","105","16.644762","2.870439","0.280126","0.151769","Photinia beauverdiana","105","1349.028571","340.786462","33.257353","1353.987298","Photinia beauverdiana","105","1217.180952","137.21136","13.390458","436.061112","Photinia beauverdiana","105","11161.752381","2466.614543","240.716931","271927.042882"
"244","Photinia impressivena","14","20.007143","1.69772","0.453735","1.138269","Photinia impressivena","14","1654.642857","176.801326","47.252142","10154.904734","Photinia impressivena","14","1273.785714","99.134857","26.494905","3270.45834","Photinia impressivena","14","12973.785714","1389.658961","371.40198","2039452.821617"
"245","Agrimonia pilosa","431","9.175174","6.83516","0.329238","0.036974","Agrimonia pilosa","431","959.932715","525.440973","25.309601","329.857694","Agrimonia pilosa","430","1066.767442","233.896311","11.279482","106.480039","Agrimonia pilosa","430","8862.444186","3976.031837","191.741281","66400.789541"
"246","Stranvaesia davidiana","62","14.81129","3.290578","0.417904","0.257029","Stranvaesia davidiana","62","1148.870968","281.520607","35.753153","2293.043004","Stranvaesia davidiana","62","1149.790323","139.748971","17.748137","738.490593","Stranvaesia davidiana","62","10068.467742","2531.303395","321.475853","460521.604881"
"247","Spiraea blumei","63","13.2","3.063152","0.385921","0.252949","Spiraea blumei","63","1149.555556","520.69912","65.601923","2256.645496","Spiraea blumei","62","1214.387097","152.025273","19.307229","738.490593","Spiraea blumei","62","9739.612903","5541.579905","703.781352","460521.604881"
"248","Sorbus prattii","44","9.022727","4.722084","0.711881","0.362177","Sorbus prattii","44","864.136364","245.258913","36.974172","3231.106052","Sorbus prattii","44","1084.863636","153.825421","23.190055","1040.600381","Sorbus prattii","44","7941.386364","2915.710534","439.559902","648916.806878"
"249","Sorbus glomerulata","14","12.342857","5.087952","1.359812","1.138269","Sorbus glomerulata","14","1023.857143","217.948779","58.249261","10154.904734","Sorbus glomerulata","14","1165.357143","181.065482","48.391786","3270.45834","Sorbus glomerulata","14","8437.142857","1886.86675","504.286351","2039452.821617"
"250","Micromeles aronioides","18","14.122222","4.115617","0.97006","0.885321","Micromeles aronioides","18","1316.277778","263.677121","62.149293","7898.259238","Micromeles aronioides","18","1111","95.68576","22.55335","2543.68982","Micromeles aronioides","18","11904.611111","2348.521716","553.551877","1586241.08348"
"251","Rubus irenaeus","42","16.919048","1.825061","0.281613","0.379423","Rubus irenaeus","42","1421.047619","206.487459","31.861707","3384.968245","Rubus irenaeus","42","1177.642857","96.86496","14.946588","1090.15278","Rubus irenaeus","42","12106.690476","1232.619588","190.197332","679817.607206"
"252","Rubus cochinchinensis","25","19.968","5.824712","1.164942","0.637431","Rubus cochinchinensis","25","1648.12","508.016266","101.603253","5686.746651","Rubus cochinchinensis","25","1362.08","283.689666","56.737933","1831.45667","Rubus cochinchinensis","25","11811.28","2630.963092","526.192618","1142093.580106"
"253","Rubus assamensis","23","15.730435","3.30185","0.688483","0.69286","Rubus assamensis","23","1241.565217","285.861191","59.606179","6181.24636","Rubus assamensis","23","1150.434783","164.969371","34.398492","1990.713772","Rubus assamensis","23","10517","1815.078961","378.470126","1241406.065332"
"254","Rubus biflorus","30","11.093333","4.293936","0.783962","0.531192","Rubus biflorus","30","1054.466667","526.879083","96.19452","4738.955543","Rubus biflorus","30","1165.733333","147.176866","26.870696","1526.213892","Rubus biflorus","30","8560.933333","4230.630261","772.403875","951744.650088"
"255","Rosa rubus","90","16.197778","2.983851","0.314526","0.177064","Rosa rubus","90","1215.722222","299.200021","31.538451","1579.651848","Rosa rubus","90","1158.588889","125.559144","13.235096","508.737964","Rosa rubus","90","10494.555556","2141.969828","225.783445","317248.216696"
"256","Rosa omeiensis","72","9.475","5.026262","0.592351","0.22133","Rosa omeiensis","72","807.125","259.845671","30.623106","1974.564809","Rosa omeiensis","72","1142.847222","153.733963","18.117721","635.922455","Rosa omeiensis","72","6920.388889","2205.524425","259.923546","396560.27087"
"257","Rosa moyesii","51","9.770588","4.299921","0.602109","0.312466","Rosa moyesii","51","1098.156863","478.284617","66.973242","2787.620907","Rosa moyesii","49","965.122449","217.902084","31.128869","934.416669","Rosa moyesii","49","11782.510204","7448.169935","1064.024276","582700.806176"
"258","Rosa davurica","105","2.214286","5.204278","0.507886","0.151769","Rosa davurica","105","653.628571","261.8452","25.553475","1353.987298","Rosa davurica","105","994.428571","225.440844","22.000774","436.061112","Rosa davurica","105","6740.314286","3013.451083","294.082713","271927.042882"
"259","Rosa cymosa","110","17.538182","2.655891","0.253229","0.144871","Rosa cymosa","110","1359.509091","291.70353","27.81284","1292.442421","Rosa cymosa","109","1220.944954","113.63602","10.884357","420.058869","Rosa cymosa","109","11265.688073","2052.479177","196.591851","261948.068832"
"260","Potentilla chinensis","172","10.42907","4.405057","0.335882","0.09265","Potentilla chinensis","172","870.087209","382.546039","29.168862","826.562013","Potentilla chinensis","171","1203.637427","189.714639","14.507841","267.756823","Potentilla chinensis","171","7502.783626","3779.847693","289.052177","166972.745629"
"261","Physocarpus amurensis","15","4.98","1.982855","0.511971","1.062385","Physocarpus amurensis","15","671.8","95.16617","24.571799","9477.911085","Physocarpus amurensis","15","914.333333","197.623982","51.026293","3052.427784","Physocarpus amurensis","15","7520.866667","1741.469366","449.645457","1903489.300176"
"262","Photinia parvifolia","83","17.680723","2.249578","0.246923","0.191997","Photinia parvifolia","83","1494.096386","377.36728","41.42144","1712.875497","Photinia parvifolia","83","1235.072289","103.778938","11.391218","551.643575","Photinia parvifolia","83","12265.313253","3196.604109","350.872885","344004.090393"
"263","Photinia chihsiniana","1","19.5",NA,NA,"15.935771","Photinia chihsiniana","1","1792",NA,NA,"142168.666279","Photinia chihsiniana","1","1239",NA,NA,"45786.41676","Photinia chihsiniana","1","14704",NA,NA,"28552339.502639"
"264","Neillia sinensis","58","14.9","2.680796","0.352006","0.274755","Neillia sinensis","58","1108.448276","337.056566","44.257695","2451.183901","Neillia sinensis","58","1149.396552","87.409691","11.477455","789.420979","Neillia sinensis","58","9876.017241","3026.182886","397.35728","492281.715563"
"265","Neillia affinis","20","14.64","3.800886","0.849904","0.796789","Neillia affinis","20","1095.95","229.765893","51.377216","7108.433314","Neillia affinis","20","1219.95","143.966544","32.191898","2289.320838","Neillia affinis","20","8912.45","2163.969561","483.878304","1427616.975132"
"266","Fragaria orientalis","107","3.557009","6.443896","0.622955","0.148932","Fragaria orientalis","107","642.598131","304.941097","29.479769","1328.679124","Fragaria orientalis","107","1020.943925","210.640167","20.363354","427.910437","Fragaria orientalis","107","6342.831776","2794.136541","270.119375","266844.294417"
