"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"23","Acaena magellanica","32","5.875","1.757381","0.310664","0.497993","Acaena magellanica","32","866.4375","684.296952","120.967754","4442.770821","Acaena magellanica","28","888.357143","373.349326","70.556391","1635.22917","Acaena magellanica","28","16522.285714","25298.163717","4780.903559","1019726.410809"
"24","Argentina polyphylla","4","10.65","5.875656","2.937828","3.983943","Argentina polyphylla","4","1111.75","350.343998","175.171999","35542.16657","Argentina polyphylla","4","1131.5","288.000579","144.00029","11446.60419","Argentina polyphylla","4","9392","2363.193461","1181.59673","7138084.87566"
"25","Crataegus marshallii","59","17.928814","1.765185","0.229808","0.270098","Crataegus marshallii","59","1318.474576","168.649029","21.956233","2409.638412","Crataegus marshallii","59","1557.271186","106.314892","13.84102","776.040962","Crataegus marshallii","59","8600.542373","1291.04501","168.079744","483937.957672"
"26","Amelanchier ovalis","78","9.666667","2.974553","0.336802","0.204305","Amelanchier ovalis","78","839.346154","276.223034","31.2761","1822.675209","Amelanchier ovalis","78","1161","246.227484","27.879773","587.005343","Amelanchier ovalis","78","8409.551282","5061.914939","573.149003","366055.634649"
"27","Photinia stenophylla","6","20.25","4.122984","1.683201","2.655962","Photinia stenophylla","6","1286.5","192.699507","78.669244","23694.777713","Photinia stenophylla","6","1420.166667","320.02026","130.647724","7631.06946","Photinia stenophylla","6","9576.833333","3347.804499","1366.735464","4758723.25044"
"28","Pyracantha angustifolia","86","14.055814","2.54649","0.274595","0.1853","Pyracantha angustifolia","86","1110.744186","468.333144","50.501662","1653.124026","Pyracantha angustifolia","82","1373.378049","265.735673","29.345596","558.370936","Pyracantha angustifolia","82","8348.54878","4266.061407","471.107672","348199.262227"
"29","Sibbaldia procumbens","554","-0.965523","4.65827","0.197911","0.028765","Sibbaldia procumbens","554","806.777978","498.880515","21.195402","256.622141","Sibbaldia procumbens","545","722.119266","285.726864","12.239194","84.011774","Sibbaldia procumbens","543","13424.075506","10180.647751","436.893412","52582.577353"
"30","Prunus americana","237","9.68903","3.442144","0.223591","0.06724","Prunus americana","237","820.016878","289.656722","18.815226","599.86779","Prunus americana","237","1328.493671","292.649565","19.009632","193.191632","Prunus americana","237","6592.012658","2715.653123","176.400626","120474.00634"
"31","Dryas octopetala","160","0.1375","4.205638","0.332485","0.099599","Dryas octopetala","160","871.18125","530.257999","41.920576","888.554164","Dryas octopetala","148","501.925676","167.929532","13.803722","309.367681","Dryas octopetala","148","21339.155405","17899.601301","1471.338164","192921.212856"
"32","Alchemilla glabra","138","5.031159","2.93038","0.249451","0.115477","Alchemilla glabra","138","924.463768","441.719751","37.601682","1030.207727","Alchemilla glabra","133","684.428571","95.104829","8.246635","344.258773","Alchemilla glabra","132","13914.265152","7086.542554","616.804358","216305.602293"
"33","Alchemilla fischeri","5","17","2.349468","1.050714","3.187154","Alchemilla fischeri","5","1775.8","84.591371","37.830411","28433.733256","Alchemilla fischeri","5","1559.4","179.643536","80.339032","9157.283352","Alchemilla fischeri","5","10968.4","2039.043599","911.888019","5710467.900528"
"34","Potentilla recta","629","8.022576","3.509409","0.139929","0.025335","Potentilla recta","629","801.510334","311.164274","12.406932","226.023317","Potentilla recta","620","1059.085484","265.153586","10.648824","73.849059","Potentilla recta","620","8074.120968","3875.54654","155.645695","46052.160488"
"35","Potentilla hippiana","60","4.678333","3.299517","0.425966","0.265596","Potentilla hippiana","60","520.133333","117.96717","15.229496","2369.477771","Potentilla hippiana","60","1509.366667","278.442701","35.946798","763.106946","Potentilla hippiana","60","3393.783333","969.952106","125.220278","475872.325044"
"36","Potentilla sterilis","91","9.303297","2.263108","0.237238","0.175118","Potentilla sterilis","91","813.692308","231.12256","24.228228","1562.293036","Potentilla sterilis","89","961.438202","211.181092","22.385151","514.454121","Potentilla sterilis","89","9063.617978","3429.456982","363.521713","320812.8034"
"37","Gillenia trifoliata","33","11.436364","2.568538","0.447125","0.482902","Gillenia trifoliata","33","1198.939394","250.049862","43.528094","4308.141402","Gillenia trifoliata","33","1224.242424","131.015751","22.806915","1387.467175","Gillenia trifoliata","33","9906.969697","2197.448001","382.526597","865222.409171"
"38","Rubus phoenicolasius","129","11.228682","2.497505","0.219893","0.123533","Rubus phoenicolasius","129","1279.899225","362.981681","31.958755","1102.082684","Rubus phoenicolasius","129","1149.364341","160.110506","14.096944","354.933463","Rubus phoenicolasius","129","11294.48062","3727.271355","328.167944","221335.965137"
"39","Rubus pensilvanicus","86","10.510465","4.025362","0.434066","0.1853","Rubus pensilvanicus","86","1098.151163","152.938397","16.491771","1653.124026","Rubus pensilvanicus","84","1191.166667","240.60365","26.25201","545.07639","Rubus pensilvanicus","84","9683.761905","2341.400377","255.467725","339908.803603"
"40","Geum canadense","261","9.811111","3.839049","0.237631","0.061057","Geum canadense","261","976.05364","236.190758","14.619841","544.707534","Geum canadense","260","1216.665385","273.200097","16.943151","176.101603","Geum canadense","260","8523.742308","2812.364908","174.415467","109816.690395"
"41","Polylepis sericea","21","9.452381","3.885179","0.847816","0.758846","Polylepis sericea","21","1169.142857","634.219149","138.397965","6769.936489","Polylepis sericea","21","1074.238095","163.449657","35.667639","2180.30556","Polylepis sericea","21","10155.571429","3861.332795","842.611896","1359635.214411"
"42","Rubus argutus","88","14.581818","3.993459","0.425704","0.181088","Rubus argutus","88","1237.920455","214.089047","22.821969","1615.553026","Rubus argutus","87","1403.551724","205.352661","22.016116","526.280652","Rubus argutus","87","9057.494253","1749.707423","187.588326","328187.810375"
"43","Rubus allegheniensis","179","8.080447","3.143516","0.234957","0.089027","Rubus allegheniensis","179","988.022346","188.220226","14.06824","794.238359","Rubus allegheniensis","177","1077.338983","194.66264","14.63174","258.680321","Rubus allegheniensis","177","9541.621469","2365.716163","177.818116","161312.652557"
"44","Prunus pensylvanica","321","4.013396","3.605947","0.201264","0.049644","Prunus pensylvanica","321","878.065421","247.226576","13.798842","442.893041","Prunus pensylvanica","315","901.638095","196.701208","11.082858","145.353704","Prunus pensylvanica","315","10400.2","3672.985931","206.949312","90642.347627"
"45","Prunus serrulata","53","13.250943","3.211196","0.441092","0.300675","Prunus serrulata","53","1131.433962","442.707731","60.810584","2682.427666","Prunus serrulata","52","1259.596154","241.70321","33.518205","880.508015","Prunus serrulata","51","9521.901961","4183.344711","585.785428","559849.794169"
"46","Prunus debilis","41","23.204878","3.276122","0.511644","0.388677","Prunus debilis","41","2562.853659","858.393836","134.058595","3467.528446","Prunus debilis","41","1332.439024","166.556905","26.011818","1116.741872","Prunus debilis","41","19289.707317","8439.778629","1318.071978","696398.524455"
"47","Prunus undulata","21","15.5","5.682781","1.240084","0.758846","Prunus undulata","21","1366.380952","402.495649","87.831751","6769.936489","Prunus undulata","21","1200.238095","241.536313","52.707545","2180.30556","Prunus undulata","21","11647.095238","2723.366463","594.287284","1359635.214411"
"48","Potentilla biflora","107","-8.468224","3.333042","0.322217","0.148932","Potentilla biflora","107","315.598131","140.941434","13.625323","1328.679124","Potentilla biflora","105","538.809524","102.145079","9.968339","436.061112","Potentilla biflora","105","6504.257143","2972.439972","290.080439","271927.042882"
"49","Cotoneaster cambricus","3","9.3","0.8","0.46188","5.311924","Cotoneaster cambricus","3","1052.666667","144.143447","83.221258","47389.555426","Cotoneaster cambricus","3","697.333333","56.092186","32.384839","15262.13892","Cotoneaster cambricus","3","16628.333333","5267.419134","3041.145855","9517446.50088"
"50","Aria leptophylla","1","8.9",NA,NA,"15.935771","Aria leptophylla","1","831",NA,NA,"142168.666279","Aria leptophylla","1","747",NA,NA,"45786.41676","Aria leptophylla","1","14223",NA,NA,"28552339.502639"
