"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"23","Styphelia laeta","1","5.674525",NA,NA,"0.000217","Styphelia laeta","1","7.037906",NA,NA,"0.1992","Styphelia laeta","1","7.369601",NA,NA,"0.043426","Styphelia laeta","1","8.997395",NA,NA,"0.161363"
"24","Macleania insignis","22","5.681208","0.010264","0.002188","1e-05","Macleania insignis","22","7.635961","0.326735","0.06966","0.009055","Macleania insignis","22","7.394728","0.080447","0.017151","0.001974","Macleania insignis","22","9.324652","0.339938","0.072475","0.007335"
"25","Satyria warszewiczii","46","5.68185","0.013915","0.002052","5e-06","Satyria warszewiczii","46","7.849812","0.396664","0.058485","0.00433","Satyria warszewiczii","46","7.318254","0.125815","0.01855","0.000944","Satyria warszewiczii","46","9.643209","0.38204","0.056329","0.003508"
"26","Chamaedaphne calyculata","582","5.617298","0.019509","0.000809","0","Chamaedaphne calyculata","582","6.418573","0.456597","0.018927","0.000342","Chamaedaphne calyculata","581","6.581968","0.254086","0.010541","7.5e-05","Chamaedaphne calyculata","581","9.06726","0.359098","0.014898","0.000278"
"27","Gaultheria cardiosepala","11","5.648264","0.016133","0.004864","2e-05","Gaultheria cardiosepala","11","6.731563","0.501877","0.151322","0.018109","Gaultheria cardiosepala","11","7.030906","0.186659","0.05628","0.003948","Gaultheria cardiosepala","11","9.062855","0.258001","0.07779","0.014669"
"28","Kalmia latifolia","85","5.655677","0.01118","0.001213","3e-06","Kalmia latifolia","85","7.085976","0.176133","0.019104","0.002344","Kalmia latifolia","85","7.125888","0.144156","0.015636","0.000511","Kalmia latifolia","85","9.1915","0.156174","0.016939","0.001898"
"29","Semiramisia speciosa","5","5.6714","0.008875","0.003969","4.3e-05","Semiramisia speciosa","5","7.435505","0.370634","0.165753","0.03984","Semiramisia speciosa","5","7.11621","0.066976","0.029953","0.008685","Semiramisia speciosa","5","9.350973","0.287811","0.128713","0.032273"
"30","Vaccinium uliginosum","996","5.608272","0.022419","0.00071","0","Vaccinium uliginosum","996","6.396318","0.65539","0.020767","2e-04","Vaccinium uliginosum","966","6.418299","0.280311","0.009019","4.5e-05","Vaccinium uliginosum","965","9.210652","0.536413","0.017268","0.000167"
"31","Rhododendron leptothrium","7","5.653932","0.00904","0.003417","3.1e-05","Rhododendron leptothrium","7","6.881068","0.509938","0.192738","0.028457","Rhododendron leptothrium","7","7.091981","0.089916","0.033985","0.006204","Rhododendron leptothrium","7","9.09603","0.220821","0.083462","0.023052"
"32","Rhododendron arboreum","24","5.655656","0.024142","0.004928","9e-06","Rhododendron arboreum","24","7.218351","0.490759","0.100176","0.0083","Rhododendron arboreum","24","7.185022","0.235575","0.048087","0.001809","Rhododendron arboreum","24","9.100118","0.56102","0.114518","0.006723"
"33","Moneses uniflora","822","5.620121","0.014991","0.000523","0","Moneses uniflora","822","6.459751","0.520508","0.018155","0.000242","Moneses uniflora","816","6.609193","0.239404","0.008381","5.3e-05","Moneses uniflora","816","9.117392","0.535461","0.018745","0.000198"
"34","Vaccinium reticulatum","2","5.666076","0.004161","0.002942","0.000109","Vaccinium reticulatum","2","7.543029","0.125706","0.088888","0.0996","Vaccinium reticulatum","2","7.154298","0.066288","0.046873","0.021713","Vaccinium reticulatum","2","9.797347","0.051726","0.036576","0.080682"
