"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Funtumia elastica","50","5.695891","0.005288","0.000748","2e-06","Funtumia elastica","50","7.400329","0.295865","0.041842","0.003373","Funtumia elastica","50","7.275005","0.10087","0.014265","0.000481","Funtumia elastica","50","9.337712","0.324214","0.045851","0.00434"
"2","Picralima nitida","56","5.694251","0.004465","0.000597","2e-06","Picralima nitida","56","7.512824","0.279688","0.037375","0.003012","Picralima nitida","56","7.117215","0.117392","0.015687","0.000429","Picralima nitida","56","9.585052","0.264978","0.035409","0.003875"
"3","Rauvolfia vomitoria","124","5.695702","0.00691","0.000621","1e-06","Rauvolfia vomitoria","124","7.463564","0.319758","0.028715","0.00136","Rauvolfia vomitoria","124","7.287275","0.174244","0.015648","0.000194","Rauvolfia vomitoria","124","9.389767","0.394344","0.035413","0.00175"
"4","Tacazzea apiculata","118","5.693567","0.011485","0.001057","1e-06","Tacazzea apiculata","118","6.891497","0.629354","0.057937","0.001429","Tacazzea apiculata","118","7.509014","0.208199","0.019166","0.000204","Tacazzea apiculata","118","8.598394","0.707606","0.06514","0.001839"
"5","Kanahia laniflora","59","5.692813","0.009376","0.001221","2e-06","Kanahia laniflora","59","6.812507","0.716682","0.093304","0.002859","Kanahia laniflora","59","7.496192","0.185456","0.024144","0.000407","Kanahia laniflora","59","8.514797","0.850073","0.11067","0.003678"
"6","Gomphocarpus tomentosus","6","5.676922","0.00288","0.001176","1.6e-05","Gomphocarpus tomentosus","6","6.08529","0.173772","0.070942","0.028112","Gomphocarpus tomentosus","6","7.749576","0.079053","0.032273","0.004005","Gomphocarpus tomentosus","6","7.585731","0.300969","0.12287","0.036168"
"7","Cryptolepis oblongifolia","98","5.689235","0.012674","0.00128","1e-06","Cryptolepis oblongifolia","98","7.020599","0.455691","0.046032","0.001721","Cryptolepis oblongifolia","98","7.507789","0.200138","0.020217","0.000245","Cryptolepis oblongifolia","98","8.680523","0.579908","0.05858","0.002214"
"8","Pachycarpus appendiculatus","7","5.676124","0.006573","0.002484","1.4e-05","Pachycarpus appendiculatus","7","6.695509","0.151581","0.057292","0.024096","Pachycarpus appendiculatus","7","7.391265","0.051138","0.019328","0.003433","Pachycarpus appendiculatus","7","8.561971","0.178912","0.067622","0.031001"
"9","Mondia whitei","59","5.691918","0.010829","0.00141","2e-06","Mondia whitei","59","7.200205","0.303981","0.039575","0.002859","Mondia whitei","59","7.357615","0.118197","0.015388","0.000407","Mondia whitei","59","9.02328","0.325728","0.042406","0.003678"
"10","Pachycarpus concolor","5","5.68428","0.005811","0.002599","2e-05","Pachycarpus concolor","5","6.906453","0.093426","0.041781","0.033735","Pachycarpus concolor","5","7.37305","0.022275","0.009962","0.004806","Pachycarpus concolor","5","8.656057","0.15954","0.071348","0.043402"
"11","Tabernaemontana elegans","33","5.692079","0.007073","0.001231","3e-06","Tabernaemontana elegans","33","6.83159","0.32175","0.056009","0.005111","Tabernaemontana elegans","33","7.457058","0.067972","0.011832","0.000728","Tabernaemontana elegans","33","8.570751","0.296823","0.05167","0.006576"
"12","Tabernaemontana ventricosa","34","5.683973","0.00748","0.001283","3e-06","Tabernaemontana ventricosa","34","7.278463","0.426634","0.073167","0.004961","Tabernaemontana ventricosa","34","7.343527","0.123453","0.021172","0.000707","Tabernaemontana ventricosa","34","9.03298","0.457585","0.078475","0.006383"
"13","Voacanga africana","82","5.695421","0.00659","0.000728","1e-06","Voacanga africana","82","7.411896","0.29617","0.032707","0.002057","Voacanga africana","81","7.29406","0.18138","0.020153","0.000297","Voacanga africana","81","9.332676","0.394242","0.043805","0.002679"
"14","Rauvolfia caffra","86","5.685826","0.010348","0.001116","1e-06","Rauvolfia caffra","86","7.197047","0.393817","0.042466","0.001961","Rauvolfia caffra","86","7.316784","0.175467","0.018921","0.000279","Rauvolfia caffra","86","9.065675","0.53824","0.05804","0.002523"
"15","Xysmalobium heudelotianum","24","5.698356","0.010286","0.0021","4e-06","Xysmalobium heudelotianum","24","7.038892","0.261825","0.053445","0.007028","Xysmalobium heudelotianum","24","7.526984","0.22873","0.046689","0.001001","Xysmalobium heudelotianum","24","8.706464","0.451468","0.092156","0.009042"
"16","Stathmostelma pauciflorum","3","5.682839","0.003215","0.001856","3.3e-05","Stathmostelma pauciflorum","3","7.018769","0.147829","0.085349","0.056225","Stathmostelma pauciflorum","3","7.453832","0.018635","0.010759","0.008011","Stathmostelma pauciflorum","3","8.645319","0.038682","0.022333","0.072336"
"17","Secamone alpini","24","5.670653","0.008151","0.001664","4e-06","Secamone alpini","24","6.783163","0.579998","0.118392","0.007028","Secamone alpini","24","7.409771","0.121254","0.024751","0.001001","Secamone alpini","24","8.521293","0.599197","0.122311","0.009042"
"18","Plumeria alba","24","5.694988","0.011376","0.002322","4e-06","Plumeria alba","24","7.194634","0.406561","0.082989","0.007028","Plumeria alba","23","7.46392","0.133706","0.02788","0.001045","Plumeria alba","23","8.993093","0.464132","0.096778","0.009435"
"19","Mascarenhasia arborescens","36","5.688006","0.012045","0.002008","3e-06","Mascarenhasia arborescens","36","7.494643","0.400872","0.066812","0.004685","Mascarenhasia arborescens","36","7.471904","0.177258","0.029543","0.000668","Mascarenhasia arborescens","36","9.139774","0.454614","0.075769","0.006028"
"20","Pachypodium saundersii","6","5.686119","0.004639","0.001894","1.6e-05","Pachypodium saundersii","6","6.464458","0.263273","0.107481","0.028112","Pachypodium saundersii","6","7.472915","0.053326","0.02177","0.004005","Pachypodium saundersii","6","8.146048","0.196951","0.080405","0.036168"
"21","Funtumia africana","82","5.694528","0.005833","0.000644","1e-06","Funtumia africana","82","7.45709","0.290089","0.032035","0.002057","Funtumia africana","81","7.228998","0.149304","0.016589","0.000297","Funtumia africana","81","9.411656","0.358981","0.039887","0.002679"
"22","Carissa spinarum","316","5.693643","0.010604","0.000597","0","Carissa spinarum","316","6.569846","0.585434","0.032933","0.000534","Carissa spinarum","316","7.743495","0.241758","0.0136","7.6e-05","Carissa spinarum","316","8.035571","0.745092","0.041915","0.000687"
