"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"23","Siphanthera hostmannii","30","5.690849","0.009114","0.001664","2e-06","Siphanthera hostmannii","30","7.851059","0.349563","0.063821","0.003953","Siphanthera hostmannii","30","7.288194","0.102217","0.018662","0.000409","Siphanthera hostmannii","30","9.708739","0.299492","0.05468","0.003893"
"24","Antherotoma naudinii","65","5.676653","0.010663","0.001323","1e-06","Antherotoma naudinii","65","7.230968","0.318119","0.039458","0.001825","Antherotoma naudinii","65","7.404925","0.153903","0.019089","0.000189","Antherotoma naudinii","65","8.938476","0.352502","0.043722","0.001797"
"25","Pternandra cogniauxii","21","5.698061","0.005516","0.001204","4e-06","Pternandra cogniauxii","21","8.043422","0.277824","0.060626","0.005647","Pternandra cogniauxii","21","7.31824","0.041917","0.009147","0.000585","Pternandra cogniauxii","21","9.879696","0.270284","0.058981","0.005561"
"26","Pternandra coerulescens","64","5.700648","0.006437","0.000805","1e-06","Pternandra coerulescens","64","7.858159","0.317578","0.039697","0.001853","Pternandra coerulescens","61","7.38315","0.117428","0.015035","0.000201","Pternandra coerulescens","61","9.658803","0.371981","0.047627","0.001915"
"27","Melastoma malabathricum","173","5.688458","0.012573","0.000956","0","Melastoma malabathricum","173","7.590345","0.449386","0.034166","0.000686","Melastoma malabathricum","169","7.264957","0.148609","0.011431","7.3e-05","Melastoma malabathricum","169","9.524213","0.391523","0.030117","0.000691"
"28","Adelobotrys adscendens","90","5.693205","0.006643","7e-04","1e-06","Adelobotrys adscendens","90","7.890069","0.365169","0.038492","0.001318","Adelobotrys adscendens","90","7.292391","0.143477","0.015124","0.000136","Adelobotrys adscendens","90","9.792939","0.370917","0.039098","0.001298"
"29","Miconia multispicata","68","5.692652","0.013551","0.001643","1e-06","Miconia multispicata","68","7.815416","0.42867","0.051984","0.001744","Miconia multispicata","67","7.281771","0.125965","0.015389","0.000183","Miconia multispicata","67","9.739931","0.42019","0.051334","0.001743"
"30","Miconia poeppigii","138","5.696699","0.008732","0.000743","1e-06","Miconia poeppigii","138","7.713748","0.30631","0.026075","0.000859","Miconia poeppigii","139","7.262733","0.114509","0.009713","8.8e-05","Miconia poeppigii","139","9.662996","0.313831","0.026619","0.00084"
"31","Memecylon amshoffiae","2","5.697429","0.000237","0.000168","3.7e-05","Memecylon amshoffiae","2","7.663424","0.029557","0.0209","0.059297","Memecylon amshoffiae","2","7.091052","0.105277","0.074442","0.006142","Memecylon amshoffiae","2","9.724231","0.033453","0.023655","0.058394"
"32","Plethiandra hookeri","11","5.68382","0.023059","0.006953","7e-06","Plethiandra hookeri","11","8.118861","0.336957","0.101596","0.010781","Plethiandra hookeri","11","7.156712","0.358955","0.108229","0.001117","Plethiandra hookeri","11","10.061888","0.373623","0.112652","0.010617"
