"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"22","Diplycosia cinnamomifolia","2","8.7","5.798276","4.1","8.309163","Diplycosia cinnamomifolia","2","2809.5","292.035101","206.5","111713.885752","Diplycosia cinnamomifolia","2","781.5","477.297077","337.5","17066.406173","Diplycosia cinnamomifolia","2","39306.5","24397.305271","17251.5","14905436.377476"
"23","Styphelia laeta","1","18.2",NA,NA,"16.618325","Styphelia laeta","1","1139",NA,NA,"223427.771505","Styphelia laeta","1","1587",NA,NA,"34132.812346","Styphelia laeta","1","8082",NA,NA,"29810872.754952"
"24","Macleania insignis","22","20.168182","3.008304","0.641373","0.755378","Macleania insignis","22","2181.818182","737.915638","157.324143","10155.807796","Macleania insignis","22","1632.272727","125.929754","26.848314","1551.49147","Macleania insignis","22","11848.681818","4166.916679","888.389621","1355039.67068"
"25","Satyria warszewiczii","46","20.369565","4.08057","0.601647","0.361268","Satyria warszewiczii","46","2784.217391","1272.678294","187.646177","4857.125467","Satyria warszewiczii","46","1518.956522","184.038638","27.135017","742.01766","Satyria warszewiczii","46","16600.586957","7061.987931","1041.233315","648062.451195"
"26","Chamaedaphne calyculata","582","2.047079","5.347119","0.221645","0.028554","Chamaedaphne calyculata","582","674.426117","281.387356","11.663881","383.896515","Chamaedaphne calyculata","581","745.774527","195.108199","8.094452","58.748386","Chamaedaphne calyculata","581","9218.483649","3230.730567","134.033289","51309.591661"
"27","Gaultheria cardiosepala","11","10.681818","4.578606","1.380502","1.510757","Gaultheria cardiosepala","11","938.090909","459.998577","138.694789","20311.615591","Gaultheria cardiosepala","11","1147.909091","193.730976","58.412087","3102.982941","Gaultheria cardiosepala","11","8893.272727","2291.275282","690.845491","2710079.341359"
"28","Kalmia latifolia","85","12.777647","3.197446","0.346812","0.19551","Kalmia latifolia","85","1213.670588","217.469286","23.587856","2628.562018","Kalmia latifolia","85","1256.458824","178.822774","19.396053","401.562498","Kalmia latifolia","85","9934.670588","1606.865356","174.289019","350716.150058"
"29","Semiramisia speciosa","5","17.3","2.580698","1.154123","3.323665","Semiramisia speciosa","5","1794.4","702.320297","314.087185","44685.554301","Semiramisia speciosa","5","1234","83.510478","37.347021","6826.562469","Semiramisia speciosa","5","11912.2","3631.654884","1624.125438","5962174.55099"
"30","Vaccinium uliginosum","996","-0.409036","6.087968","0.192905","0.016685","Vaccinium uliginosum","996","746.645582","566.233247","17.941787","224.325072","Vaccinium uliginosum","966","636.752588","175.231204","5.637972","35.334174","Vaccinium uliginosum","965","11695.55544","7812.583978","251.495977","30892.096119"
"31","Rhododendron leptothrium","7","12.271429","2.578575","0.97461","2.374046","Rhododendron leptothrium","7","1092.142857","584.061192","220.754381","31918.253072","Rhododendron leptothrium","7","1206.428571","107.444338","40.610143","4876.116049","Rhododendron leptothrium","7","9110.714286","2049.865907","774.776487","4258696.10785"
"32","Rhododendron arboreum","24","12.833333","6.823914","1.392926","0.69243","Rhododendron arboreum","24","1512.875","654.561673","133.611842","9309.490479","Rhododendron arboreum","24","1352.291667","288.513654","58.892603","1422.200514","Rhododendron arboreum","24","10402.375","5956.557554","1215.877219","1242119.698123"
"33","Moneses uniflora","822","2.803771","4.117077","0.1436","0.020217","Moneses uniflora","822","737.255474","465.929797","16.251168","271.809941","Moneses uniflora","816","764.338235","197.905681","6.928085","41.829427","Moneses uniflora","816","10517.627451","6387.055952","223.591681","36532.932298"
"34","Vaccinium reticulatum","2","15.75","1.202082","0.85","8.309163","Vaccinium reticulatum","2","1895","237.587878","168","111713.885752","Vaccinium reticulatum","2","1281","84.852814","60","17066.406173","Vaccinium reticulatum","2","17998","930.552524","658","14905436.377476"
"35","Agarista salicifolia","60","17.713333","3.103386","0.400645","0.276972","Agarista salicifolia","60","1881.516667","770.922175","99.525625","3723.796192","Agarista salicifolia","60","1446.25","225.378523","29.096242","568.880206","Agarista salicifolia","60","10955.066667","4243.45488","547.827669","496847.879249"
"36","Rhododendron roxieanum","11","8.072727","5.686491","1.714542","1.510757","Rhododendron roxieanum","11","854.363636","222.010033","66.938544","20311.615591","Rhododendron roxieanum","11","1016.818182","275.148984","82.96054","3102.982941","Rhododendron roxieanum","11","8469.454545","2260.107403","681.448022","2710079.341359"
"37","Siphonandra elliptica","12","12.466667","5.177457","1.494603","1.38486","Siphonandra elliptica","12","1433.75","540.856749","156.131895","18618.980959","Siphonandra elliptica","12","1344.916667","162.720317","46.973309","2844.401029","Siphonandra elliptica","12","7896","1804.189266","520.824579","2484239.396246"
"38","Bejaria aestuans","97","17.010309","4.762604","0.483569","0.171323","Bejaria aestuans","97","1740.56701","866.2088","87.950178","2303.379088","Bejaria aestuans","97","1382.185567","191.926056","19.487138","351.884663","Bejaria aestuans","97","11488.793814","5761.986787","585.041119","307328.585103"
"39","Pyrola minor","389","4.591517","3.139966","0.159203","0.042721","Pyrola minor","389","751.565553","373.40203","18.932234","574.364451","Pyrola minor","386","686.42228","137.092122","6.977805","88.426975","Pyrola minor","387","11687.160207","6532.517233","332.066513","77030.678953"
"40","Erica cinerea","91","10.976923","2.10344","0.2205","0.182619","Erica cinerea","91","1025.615385","452.043208","47.387004","2455.250236","Erica cinerea","89","1001.516854","243.308638","25.790664","383.514745","Erica cinerea","89","10660.764045","6288.285715","666.556953","334953.62646"
"41","Comarostaphylis arbutoides","15","15.76","3.328835","0.859502","1.107888","Comarostaphylis arbutoides","15","1833.333333","799.198408","206.352142","14895.184767","Comarostaphylis arbutoides","15","1540.933333","218.110544","56.3159","2275.520823","Comarostaphylis arbutoides","15","10440.2","5882.677284","1518.900743","1987391.516997"
"42","Gaultheria nummularioides","16","11.81875","3.568607","0.892152","1.038645","Gaultheria nummularioides","16","748.875","372.512886","93.128222","13964.235719","Gaultheria nummularioides","16","1166.875","116.800043","29.200011","2133.300772","Gaultheria nummularioides","16","9316.125","2324.129367","581.032342","1863179.547185"
"43","Gaultheria hookeri","17","12.194118","4.006787","0.971789","0.977549","Gaultheria hookeri","17","1071.294118","574.767645","139.40163","13142.810089","Gaultheria hookeri","17","1149","171.118745","41.502392","2007.812491","Gaultheria hookeri","17","9435.588235","2303.211808","558.610915","1753580.750291"
"44","Erica tetralix","154","7.982468","2.758543","0.22229","0.107911","Erica tetralix","154","974.707792","447.88435","36.091549","1450.829685","Erica tetralix","149","805.644295","165.287795","13.540904","229.079277","Erica tetralix","149","13361.644295","8326.157067","682.105364","200072.97151"
"45","Cassiope fastigiata","31","3.980645","4.9187","0.883425","0.536075","Cassiope fastigiata","31","1091","607.393886","109.091162","7207.347468","Cassiope fastigiata","31","1148.677419","179.318597","32.206571","1101.058463","Cassiope fastigiata","31","7217.322581","3006.60388","540.001998","961641.056611"
"46","Pyrola elliptica","224","6.273214","2.717341","0.18156","0.074189","Pyrola elliptica","224","904.727679","229.326802","15.322541","997.445409","Pyrola elliptica","224","935.441964","152.61798","10.197218","152.378627","Pyrola elliptica","224","10283.401786","3168.823741","211.725942","133084.25337"
"47","Arctostaphylos pungens","131","14.503817","3.661681","0.319923","0.126857","Arctostaphylos pungens","131","629.671756","432.771363","37.81141","1705.555508","Arctostaphylos pungens","131","1934.229008","290.252743","25.3595","260.555819","Arctostaphylos pungens","131","3630.290076","3197.137856","279.335231","227563.91416"
"48","Kalmia polifolia","290","2.951379","3.915891","0.229949","0.057305","Kalmia polifolia","290","877.324138","301.78407","17.721371","770.440591","Kalmia polifolia","284","819.637324","203.103445","12.051972","120.185959","Kalmia polifolia","284","11533.09507","4424.986373","262.574633","104967.861813"
"49","Vaccinium macrocarpum","177","6.786441","2.784747","0.209314","0.093889","Vaccinium macrocarpum","177","979.694915","202.670404","15.23364","1262.303794","Vaccinium macrocarpum","173","935.398844","150.506345","11.442786","197.299493","Vaccinium macrocarpum","173","11070.508671","3295.413639","250.545659","172317.183555"
"50","Arbutus menziesii","42","11.85","2.860177","0.441335","0.395674","Arbutus menziesii","42","1220.666667","571.869193","88.241332","5319.708845","Arbutus menziesii","41","1333.560976","330.779764","51.65912","832.507618","Arbutus menziesii","41","10006.902439","5961.826074","931.080806","727094.457438"
"51","Kalmia angustifolia","171","4.897661","4.295483","0.328484","0.097183","Kalmia angustifolia","171","1007.134503","179.059141","13.692995","1306.595155","Kalmia angustifolia","170","852.370588","196.128409","15.042362","200.781249","Kalmia angustifolia","170","12548.3","2812.166323","215.683311","175358.075029"
"52","Gaultheria procumbens","212","7.475472","3.505887","0.240785","0.078388","Gaultheria procumbens","212","969.226415","236.160552","16.219573","1053.904583","Gaultheria procumbens","210","980.357143","181.928744","12.554276","162.537202","Gaultheria procumbens","210","10362.885714","2919.596357","201.471289","141956.536928"
"53","Chimaphila maculata","151","14.133775","3.798612","0.309127","0.110055","Chimaphila maculata","151","1222.463576","477.799676","38.882786","1479.654116","Chimaphila maculata","151","1450.913907","324.593919","26.415079","226.045115","Chimaphila maculata","151","8439.165563","3273.66259","266.406883","197422.998377"
"54","Gaylussacia dumosa","73","14.090411","5.659485","0.662393","0.227648","Gaylussacia dumosa","73","1358.589041","227.142016","26.584962","3060.654404","Gaylussacia dumosa","72","1310","332.250627","39.156112","474.066838","Gaylussacia dumosa","72","11184.347222","4271.19631","503.365312","414039.899374"
"55","Epigaea repens","235","6.365106","4.871772","0.317799","0.070716","Epigaea repens","235","979.13617","233.128882","15.207651","950.756474","Epigaea repens","232","938.663793","233.321915","15.318334","147.124191","Epigaea repens","232","11151.068966","2950.805221","193.729854","128495.141185"
"56","Sphyrospermum buxifolium","75","19.410667","3.974465","0.458932","0.221578","Sphyrospermum buxifolium","75","2377.466667","1227.700579","141.762652","2979.036953","Sphyrospermum buxifolium","75","1369.56","185.283876","21.394739","455.104165","Sphyrospermum buxifolium","75","16022.893333","8058.697763","930.538265","397478.303399"
"57","Psammisia sclerantha","11","18.8","4.19595","1.265127","1.510757","Psammisia sclerantha","11","2591.727273","1269.005208","382.619467","20311.615591","Psammisia sclerantha","11","1160.272727","72.447348","21.843697","3102.982941","Psammisia sclerantha","11","20680.636364","10525.71975","3173.623914","2710079.341359"
"58","Thibaudia floribunda","31","13.745161","3.820021","0.686096","0.536075","Thibaudia floribunda","31","2075.290323","885.893154","159.111107","7207.347468","Thibaudia floribunda","31","1174.387097","118.807036","21.338374","1101.058463","Thibaudia floribunda","31","13330.967742","4228.255846","759.417168","961641.056611"
"59","Andromeda polifolia","363","4.019559","3.123627","0.163948","0.045781","Andromeda polifolia","363","744.741047","351.061137","18.425931","615.503503","Andromeda polifolia","358","668.689944","116.897697","6.178235","95.343051","Andromeda polifolia","358","11668.234637","5549.139902","293.281157","83270.594288"
"60","Gaultheria shallon","38","10.544737","2.58736","0.419725","0.437324","Gaultheria shallon","38","1537.947368","642.932469","104.297419","5879.678197","Gaultheria shallon","37","1091.243243","238.372888","39.188261","922.508442","Gaultheria shallon","37","16139.567568","8400.660455","1381.060071","805699.263647"
"61","Rhododendron tomentosum","123","3.776423","2.892559","0.260813","0.135108","Rhododendron tomentosum","123","583.284553","115.814048","10.442601","1816.485947","Rhododendron tomentosum","123","636.04065","102.596408","9.250807","277.502539","Rhododendron tomentosum","123","9579.634146","1533.70813","138.289805","242364.819146"
"62","Rhododendron maximum","51","10.733333","2.093386","0.293133","0.32585","Rhododendron maximum","51","1069.509804","163.499893","22.894564","4380.936696","Rhododendron maximum","51","1134.960784","122.939654","17.214995","669.27083","Rhododendron maximum","51","10092.117647","1314.508983","184.068075","584526.916764"
"63","Acrotriche serrulata","49","13.744898","1.836897","0.262414","0.339149","Acrotriche serrulata","49","798.44898","249.438291","35.634042","4559.750439","Acrotriche serrulata","46","1447.978261","201.294531","29.679259","742.01766","Acrotriche serrulata","46","5953.326087","2482.160341","365.974576","648062.451195"
"64","Richea acerosa","2","6.5","0.424264","0.3","8.309163","Richea acerosa","2","1571.5","754.482936","533.5","111713.885752","Richea acerosa","2","890","62.225397","44","17066.406173","Richea acerosa","2","19249.5","10518.21337","7437.5","14905436.377476"
"65","Prionotes cerinthoides","9","9.955556","1.863539","0.62118","1.846481","Prionotes cerinthoides","9","1608.666667","473.978639","157.99288","24825.307945","Prionotes cerinthoides","9","1017.222222","96.658908","32.219636","3792.534705","Prionotes cerinthoides","9","16523.777778","5311.307932","1770.435977","3312319.194995"
"66","Conostephium pendulum","7","18.285714","1.389758","0.525279","2.374046","Conostephium pendulum","7","771.285714","261.980097","99.019169","31918.253072","Conostephium pendulum","7","2066.285714","232.260424","87.786189","4876.116049","Conostephium pendulum","7","3744","1573.84222","594.856445","4258696.10785"
"67","Epacris impressa","54","13.668519","1.463496","0.199157","0.307747","Epacris impressa","54","865.407407","397.362698","54.074214","4137.551324","Epacris impressa","50","1370.14","181.596886","25.681678","682.656247","Epacris impressa","50","6811.02","3729.715558","527.461433","596217.455099"
"68","Lissanthe sapida","1","14.4",NA,NA,"16.618325","Lissanthe sapida","1","1093",NA,NA,"223427.771505","Lissanthe sapida","1","1443",NA,NA,"34132.812346","Lissanthe sapida","1","8243",NA,NA,"29810872.754952"
"69","Sprengelia incarnata","52","13.694231","2.397582","0.332485","0.319583","Sprengelia incarnata","52","984.096154","410.054672","56.864352","4296.687914","Sprengelia incarnata","50","1351.14","220.147725","31.13359","682.656247","Sprengelia incarnata","50","7912.18","4359.702661","616.555063","596217.455099"
"70","Leucopogon concinnus","11","15.854545","0.637752","0.192289","1.510757","Leucopogon concinnus","11","602.636364","254.467394","76.724806","20311.615591","Leucopogon concinnus","11","1746.454545","159.070653","47.961606","3102.982941","Leucopogon concinnus","11","3391.636364","1611.247484","485.809395","2710079.341359"
"71","Richea gunnii","6","7.116667","1.256052","0.512781","2.769721","Richea gunnii","6","1589.833333","543.076575","221.710083","37237.961917","Richea gunnii","6","909.833333","38.091556","15.550813","5688.802058","Richea gunnii","6","18657.166667","6416.66145","2619.591067","4968478.792492"
"72","Leucopogon muticus","37","16.897297","2.944061","0.484001","0.449144","Leucopogon muticus","37","769.810811","146.866878","24.144766","6038.588419","Leucopogon muticus","37","1727.864865","199.783238","32.844162","922.508442","Leucopogon muticus","37","4616.513514","1338.50131","220.04826","805699.263647"
"73","Leucopogon ericoides","68","14.654412","2.545082","0.308637","0.244387","Leucopogon ericoides","68","939.647059","388.481497","47.110301","3285.702522","Leucopogon ericoides","67","1452.029851","227.513434","27.79519","509.44496","Leucopogon ericoides","67","6851.313433","3792.722865","463.354845","444938.399328"
"74","Monotoca scoparia","70","15.022857","3.737556","0.446723","0.237405","Monotoca scoparia","70","1009.171429","288.288401","34.457054","3191.825307","Monotoca scoparia","67","1512.208955","265.614185","32.449937","509.44496","Monotoca scoparia","67","6931.059701","2988.199711","365.066698","444938.399328"
"75","Leucopogon conostephioides","28","17.871429","1.654367","0.312646","0.593512","Leucopogon conostephioides","28","508.107143","217.48007","41.09987","7979.563268","Leucopogon conostephioides","28","2068.464286","245.627161","46.41917","1219.029012","Leucopogon conostephioides","28","2514.535714","1286.209835","243.070811","1064674.026963"
"76","Astroloma serratifolium","30","18.53","1.908448","0.348433","0.553944","Astroloma serratifolium","30","404.566667","158.722417","28.978616","7447.592383","Astroloma serratifolium","29","2211.103448","255.403371","47.427215","1176.993529","Astroloma serratifolium","29","1771.62069","667.922173","124.030034","1027961.129481"
"77","Melichrus urceolatus","75","17.250667","3.288283","0.379698","0.221578","Melichrus urceolatus","75","751.026667","212.459851","24.53275","2979.036953","Melichrus urceolatus","75","1779.226667","270.009888","31.178056","455.104165","Melichrus urceolatus","75","4536.733333","1781.970238","205.764199","397478.303399"
"78","Dracophyllum sayeri","1","16.6",NA,NA,"16.618325","Dracophyllum sayeri","1","4624",NA,NA,"223427.771505","Dracophyllum sayeri","1","1428",NA,NA,"34132.812346","Dracophyllum sayeri","1","53371",NA,NA,"29810872.754952"
"79","Astroloma humifusum","83","14.96747","1.97818","0.217133","0.200221","Astroloma humifusum","83","656.277108","268.357984","29.456116","2691.900862","Astroloma humifusum","79","1671.556962","349.795352","39.355052","432.060916","Astroloma humifusum","79","4380.734177","2471.750427","278.09365","377352.819683"
"80","Leucopogon pendulus","8","15.95","0.883176","0.31225","2.077291","Leucopogon pendulus","8","759.875","188.181855","66.532333","27928.471438","Leucopogon pendulus","8","1686.75","155.193658","54.869244","4266.601543","Leucopogon pendulus","8","4464","1191.602522","421.295112","3726359.094369"
"81","Styphelia adscendens","26","13.373077","1.368666","0.268417","0.639166","Styphelia adscendens","26","827.846154","340.899949","66.85598","8593.375827","Styphelia adscendens","25","1322.28","202.328018","40.465604","1365.312494","Styphelia adscendens","25","6913.96","3430.467892","686.093578","1192434.910198"
"82","Richea continentis","7","6.728571","1.543496","0.583387","2.374046","Richea continentis","7","1344.571429","227.895339","86.136342","31918.253072","Richea continentis","7","1100.857143","105.475793","39.866103","4876.116049","Richea continentis","7","14341.285714","3862.856703","1460.022598","4258696.10785"
"83","Brachyloma scortechinii","5","20.9","0.717635","0.320936","3.323665","Brachyloma scortechinii","5","1446.6","210.281478","94.040736","44685.554301","Brachyloma scortechinii","5","1746.2","74.328326","33.240638","6826.562469","Brachyloma scortechinii","5","8510.6","823.136258","368.117726","5962174.55099"
"84","Lysinema ciliatum","38","17.613158","1.375691","0.223167","0.437324","Lysinema ciliatum","38","519.578947","256.226845","41.565483","5879.678197","Lysinema ciliatum","39","2002.410256","251.95454","40.345015","875.200317","Lysinema ciliatum","39","2644.794872","1607.022994","257.329625","764381.352691"
"85","Epacris lanuginosa","18","12.461111","1.661728","0.391673","0.92324","Epacris lanuginosa","18","1042.888889","361.595141","85.228792","12412.653972","Epacris lanuginosa","18","1176.777778","108.818551","25.648778","1896.267353","Epacris lanuginosa","18","9874.722222","5201.025869","1225.893554","1656159.597497"
"86","Acrothamnus melaleucoides","5","15.32","1.693222","0.757232","3.323665","Acrothamnus melaleucoides","5","1008.8","257.228886","115.036255","44685.554301","Acrothamnus melaleucoides","5","1566","104.72822","46.835884","6826.562469","Acrothamnus melaleucoides","5","6394","1297.788889","580.388835","5962174.55099"
"87","Richea scoparia","7","7.542857","1.746289","0.660035","2.374046","Richea scoparia","7","1847.714286","765.94467","289.499874","31918.253072","Richea scoparia","7","931.857143","61.488288","23.240388","4876.116049","Richea scoparia","7","20641.428571","5710.711481","2158.446055","4258696.10785"
"88","Sphenotoma gracilis","6","16.216667","0.376386","0.153659","2.769721","Sphenotoma gracilis","6","988.166667","122.679121","50.083541","37237.961917","Sphenotoma gracilis","6","1621.5","159.948429","65.298673","5688.802058","Sphenotoma gracilis","6","6451.333333","1019.958757","416.396419","4968478.792492"
