"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"163","Malus ioensis","44","5.650707","0.007379","0.001112","5e-06","Malus ioensis","44","6.858204","0.131479","0.019821","0.003793","Malus ioensis","44","7.180177","0.119059","0.017949","0.00116","Malus ioensis","44","8.898575","0.161989","0.024421","0.004806"
"164","Prunus andersonii","20","5.641633","0.009602","0.002147","1e-05","Prunus andersonii","20","5.612072","0.384046","0.085875","0.008345","Prunus andersonii","20","7.514011","0.149993","0.033539","0.002551","Prunus andersonii","20","7.268003","0.520798","0.116454","0.010573"
"165","Spiraea alba","231","5.629299","0.011423","0.000752","1e-06","Spiraea alba","231","6.684803","0.279873","0.018414","0.000723","Spiraea alba","228","6.857072","0.165939","0.01099","0.000224","Spiraea alba","228","9.051024","0.301927","0.019996","0.000927"
"166","Prunus grayana","28","5.650373","0.012239","0.002313","7e-06","Prunus grayana","28","7.519766","0.205056","0.038752","0.005961","Prunus grayana","28","6.925603","0.202468","0.038263","0.001822","Prunus grayana","28","9.763676","0.330071","0.062378","0.007552"
"167","Rubus ribisoideus","14","5.667948","0.004582","0.001225","1.5e-05","Rubus ribisoideus","14","7.701454","0.215287","0.057538","0.011922","Rubus ribisoideus","12","7.156375","0.091503","0.026415","0.004252","Rubus ribisoideus","12","9.668472","0.243804","0.07038","0.017622"
"168","Rubus coreanus","72","5.662969","0.008985","0.001059","3e-06","Rubus coreanus","72","7.096718","0.289891","0.034164","0.002318","Rubus coreanus","72","7.056942","0.099032","0.011671","0.000709","Rubus coreanus","72","9.262501","0.297625","0.035075","0.002937"
"169","Rubus crataegifolius","78","5.646367","0.012787","0.001448","3e-06","Rubus crataegifolius","78","7.286194","0.369827","0.041875","0.00214","Rubus crataegifolius","77","6.941841","0.165055","0.01881","0.000663","Rubus crataegifolius","77","9.524546","0.383156","0.043665","0.002746"
"170","Rubus illecebrosus","15","5.648042","0.007749","0.002001","1.4e-05","Rubus illecebrosus","15","7.546479","0.142865","0.036888","0.011127","Rubus illecebrosus","15","6.933164","0.14123","0.036465","0.003402","Rubus illecebrosus","15","9.773647","0.225337","0.058182","0.014097"
"171","Rubus buergeri","44","5.662821","0.005106","0.00077","5e-06","Rubus buergeri","44","7.560381","0.272545","0.041088","0.003793","Rubus buergeri","43","7.098943","0.073971","0.01128","0.001187","Rubus buergeri","43","9.624927","0.260863","0.039781","0.004918"
"172","Agrimonia nipponica","31","5.650752","0.009548","0.001715","7e-06","Agrimonia nipponica","31","7.490181","0.207953","0.037349","0.005384","Agrimonia nipponica","31","6.988699","0.125269","0.022499","0.001646","Agrimonia nipponica","31","9.664733","0.231144","0.041515","0.006821"
"173","Rubus corchorifolius","138","5.667797","0.010282","0.000875","1e-06","Rubus corchorifolius","138","7.20526","0.309012","0.026305","0.001209","Rubus corchorifolius","138","7.089341","0.112027","0.009536","0.00037","Rubus corchorifolius","138","9.334973","0.277009","0.023581","0.001532"
"174","Rubus pectinellus","33","5.648221","0.009427","0.001641","6e-06","Rubus pectinellus","33","7.583748","0.176653","0.030751","0.005058","Rubus pectinellus","33","6.907879","0.133413","0.023224","0.001546","Rubus pectinellus","33","9.849102","0.220684","0.038416","0.006408"
"175","Rubus trifidus","4","5.66313","0.003295","0.001648","5.1e-05","Rubus trifidus","4","7.329168","0.060732","0.030366","0.041725","Rubus trifidus","4","7.150282","0.040626","0.020313","0.012757","Rubus trifidus","4","9.410921","0.063132","0.031566","0.052865"
"176","Rubus setchuenensis","47","5.663813","0.011735","0.001712","4e-06","Rubus setchuenensis","47","7.031694","0.169151","0.024673","0.003551","Rubus setchuenensis","47","7.005751","0.131597","0.019195","0.001086","Rubus setchuenensis","47","9.223747","0.207194","0.030222","0.004499"
"177","Potentilla centigrana","25","5.647919","0.006345","0.001269","8e-06","Potentilla centigrana","25","7.410327","0.20417","0.040834","0.006676","Potentilla centigrana","25","6.91851","0.084969","0.016994","0.002041","Potentilla centigrana","25","9.659938","0.202162","0.040432","0.008458"
"178","Rosa sambucina","16","5.658421","0.005808","0.001452","1.3e-05","Rosa sambucina","16","7.554272","0.205431","0.051358","0.010431","Rosa sambucina","16","7.060221","0.111396","0.027849","0.003189","Rosa sambucina","16","9.703294","0.240587","0.060147","0.013216"
"179","Spiraea thunbergii","55","5.65731","0.009566","0.00129","4e-06","Spiraea thunbergii","55","7.116647","0.324843","0.043802","0.003035","Spiraea thunbergii","54","7.151132","0.14719","0.02003","0.000945","Spiraea thunbergii","54","9.17159","0.396682","0.053982","0.003916"
"180","Prunus buergeriana","24","5.652812","0.013524","0.002761","9e-06","Prunus buergeriana","24","7.579249","0.25726","0.052513","0.006954","Prunus buergeriana","24","6.88379","0.72334","0.147651","0.002126","Prunus buergeriana","24","9.756213","0.441484","0.090118","0.008811"
"181","Rubus mesogaeus","83","5.652306","0.014604","0.001603","2e-06","Rubus mesogaeus","83","7.062504","0.370785","0.040699","0.002011","Rubus mesogaeus","83","6.953402","0.178033","0.019542","0.000615","Rubus mesogaeus","83","9.307025","0.458934","0.050375","0.002548"
"182","Sanguisorba hakusanensis","14","5.636997","0.008628","0.002306","1.5e-05","Sanguisorba hakusanensis","14","7.449441","0.191523","0.051187","0.011922","Sanguisorba hakusanensis","14","6.760422","0.189626","0.05068","0.003645","Sanguisorba hakusanensis","14","9.857793","0.307312","0.082133","0.015104"
"183","Prunus subhirtella","19","5.65342","0.008987","0.002062","1.1e-05","Prunus subhirtella","19","7.020888","0.502312","0.115238","0.008784","Prunus subhirtella","19","7.106546","0.199847","0.045848","0.002686","Prunus subhirtella","19","9.109793","0.596623","0.136875","0.011129"
"184","Geum calthifolium","62","5.623294","0.008631","0.001096","3e-06","Geum calthifolium","62","7.323285","0.480787","0.06106","0.002692","Geum calthifolium","51","6.43662","0.133123","0.018641","0.001001","Geum calthifolium","49","10.20998","0.513259","0.073323","0.004315"
"185","Alchemilla coriacea","29","5.635095","0.006595","0.001225","7e-06","Alchemilla coriacea","29","6.850466","0.22201","0.041226","0.005755","Alchemilla coriacea","29","6.883834","0.158809","0.02949","0.00176","Alchemilla coriacea","29","9.302333","0.358874","0.066641","0.007292"
"186","Alchemilla filicaulis","181","5.622921","0.010966","0.000815","1e-06","Alchemilla filicaulis","181","6.645603","0.411897","0.030616","0.000922","Alchemilla filicaulis","171","6.451525","0.16373","0.012521","0.000298","Alchemilla filicaulis","170","9.400919","0.416828","0.031969","0.001244"
"187","Prunus sargentii","52","5.64418","0.010773","0.001494","4e-06","Prunus sargentii","52","7.285232","0.27813","0.03857","0.00321","Prunus sargentii","50","6.888794","0.150107","0.021228","0.001021","Prunus sargentii","50","9.582218","0.265319","0.037522","0.004229"
"188","Sorbus commixta","49","5.641053","0.014639","0.002091","4e-06","Sorbus commixta","49","7.408228","0.335745","0.047964","0.003406","Sorbus commixta","49","6.847773","0.201918","0.028845","0.001041","Sorbus commixta","49","9.736952","0.40015","0.057164","0.004315"
"189","Rosa californica","45","5.653243","0.013712","0.002044","5e-06","Rosa californica","45","6.345741","0.525802","0.078382","0.003709","Rosa californica","44","7.415904","0.181515","0.027364","0.00116","Rosa californica","44","8.127717","0.677844","0.102189","0.004806"
"190","Amelanchier interior","54","5.63076","0.007401","0.001007","4e-06","Amelanchier interior","54","6.67751","0.12263","0.016688","0.003091","Amelanchier interior","54","6.879369","0.101269","0.013781","0.000945","Amelanchier interior","54","9.014863","0.148007","0.020141","0.003916"
"191","Sorbus californica","16","5.631902","0.00748","0.00187","1.3e-05","Sorbus californica","16","6.874232","0.430414","0.107604","0.010431","Sorbus californica","16","7.228799","0.116726","0.029182","0.003189","Sorbus californica","16","8.918975","0.541237","0.135309","0.013216"
"192","Potentilla drummondii","56","5.620401","0.011433","0.001528","4e-06","Potentilla drummondii","56","6.893274","0.565622","0.075584","0.00298","Potentilla drummondii","56","6.868499","0.255338","0.034121","0.000911","Potentilla drummondii","56","9.363516","0.636634","0.085074","0.003776"
"193","Luetkea pectinata","123","5.61455","0.014871","0.001341","2e-06","Luetkea pectinata","123","6.861318","0.638982","0.057615","0.001357","Luetkea pectinata","119","6.569457","0.25961","0.023798","0.000429","Luetkea pectinata","119","9.644722","0.648464","0.059445","0.001777"
"194","Alchemilla argyrophylla","2","5.656892","0.051862","0.036672","0.000103","Alchemilla argyrophylla","2","7.335308","0.301578","0.213248","0.083451","Alchemilla argyrophylla","2","7.094543","0.338186","0.239134","0.025514","Alchemilla argyrophylla","2","9.39999","0.517137","0.365671","0.105729"
"195","Physocarpus capitatus","48","5.645555","0.008004","0.001155","4e-06","Physocarpus capitatus","48","7.135406","0.455168","0.065698","0.003477","Physocarpus capitatus","47","7.065781","0.233256","0.034024","0.001086","Physocarpus capitatus","47","9.278219","0.647418","0.094436","0.004499"
"196","Crataegus laevigata","111","5.636895","0.004707","0.000447","2e-06","Crataegus laevigata","111","6.586581","0.327059","0.031043","0.001504","Crataegus laevigata","104","6.662725","0.099287","0.009736","0.000491","Crataegus laevigata","104","9.14419","0.339352","0.033276","0.002033"
"197","Potentilla flabellifolia","26","5.623104","0.011739","0.002302","8e-06","Potentilla flabellifolia","26","6.958818","0.441196","0.086526","0.006419","Potentilla flabellifolia","26","6.973706","0.212742","0.041722","0.001963","Potentilla flabellifolia","26","9.33175","0.588894","0.115492","0.008133"
"198","Sorbaria arborea","39","5.648729","0.01706","0.002732","5e-06","Sorbaria arborea","39","6.723149","0.313101","0.050136","0.00428","Sorbaria arborea","39","7.011985","0.16532","0.026472","0.001308","Sorbaria arborea","39","8.897942","0.351448","0.056277","0.005422"
"199","Ivesia lycopodioides","3","5.617298","0.007459","0.004306","6.9e-05","Ivesia lycopodioides","3","6.535977","0.088967","0.051365","0.055634","Ivesia lycopodioides","3","7.297572","0.077384","0.044678","0.01701","Ivesia lycopodioides","3","8.361133","0.097429","0.056251","0.070486"
"200","Comarum palustre","909","5.610974","0.021797","0.000723","0","Comarum palustre","909","6.375394","0.572476","0.018988","0.000184","Comarum palustre","871","6.477019","0.278631","0.009441","5.9e-05","Comarum palustre","871","9.118776","0.505538","0.01713","0.000243"
"201","Rosa villosa","123","5.632165","0.009491","0.000856","2e-06","Rosa villosa","123","6.730185","0.375034","0.033816","0.001357","Rosa villosa","120","6.640032","0.175973","0.016064","0.000425","Rosa villosa","120","9.318963","0.453086","0.041361","0.001762"
"202","Rosa obtusifolia","15","5.646933","0.008356","0.002158","1.4e-05","Rosa obtusifolia","15","6.715043","0.250384","0.064649","0.011127","Rosa obtusifolia","15","6.974359","0.19306","0.049848","0.003402","Rosa obtusifolia","15","8.976276","0.397351","0.102596","0.014097"
"203","Aria hibernica","4","5.643588","0.002303","0.001152","5.1e-05","Aria hibernica","4","6.722898","0.157484","0.078742","0.041725","Aria hibernica","4","6.607491","0.069659","0.03483","0.012757","Aria hibernica","4","9.33714","0.216928","0.108464","0.052865"
"204","Cotoneaster acutifolius","102","5.644409","0.016198","0.001604","2e-06","Cotoneaster acutifolius","102","6.492605","0.367073","0.036346","0.001636","Cotoneaster acutifolius","102","7.098492","0.136628","0.013528","5e-04","Cotoneaster acutifolius","102","8.591274","0.438053","0.043374","0.002073"
"205","Cotoneaster subadpressus","17","5.651636","0.015966","0.003872","1.2e-05","Cotoneaster subadpressus","17","6.950828","0.214993","0.052143","0.009818","Cotoneaster subadpressus","17","6.994001","0.242832","0.058895","0.003002","Cotoneaster subadpressus","17","9.050298","0.297954","0.072264","0.012439"
"206","Cotoneaster ambiguus","16","5.644541","0.015377","0.003844","1.3e-05","Cotoneaster ambiguus","16","6.634286","0.245452","0.061363","0.010431","Cotoneaster ambiguus","16","7.020811","0.097176","0.024294","0.003189","Cotoneaster ambiguus","16","8.801915","0.268087","0.067022","0.013216"
"207","Prunus kansuensis","4","5.644972","0.009343","0.004672","5.1e-05","Prunus kansuensis","4","6.394507","0.315433","0.157717","0.041725","Prunus kansuensis","4","6.944267","0.084939","0.04247","0.012757","Prunus kansuensis","4","8.650912","0.333647","0.166824","0.052865"
"208","Rhodotypos scandens","72","5.651313","0.008464","0.000997","3e-06","Rhodotypos scandens","72","6.94613","0.230559","0.027172","0.002318","Rhodotypos scandens","71","7.092176","0.130645","0.015505","0.000719","Rhodotypos scandens","71","9.079269","0.290316","0.034454","0.002978"
"209","Prunus amplifolia","23","5.690333","0.013979","0.002915","9e-06","Prunus amplifolia","23","7.634293","0.435094","0.090723","0.007257","Prunus amplifolia","23","7.217336","0.093072","0.019407","0.002219","Prunus amplifolia","23","9.630097","0.496258","0.103477","0.009194"
"210","Prunus davidiana","21","5.653313","0.015844","0.003457","1e-05","Prunus davidiana","21","6.603558","0.413644","0.090265","0.007948","Prunus davidiana","21","7.137383","0.139403","0.03042","0.00243","Prunus davidiana","21","8.650906","0.499861","0.109079","0.010069"
"211","Crataegus pycnoloba","1","5.641375",NA,NA,"0.000206","Crataegus pycnoloba","1","6.84588",NA,NA,"0.166901","Crataegus pycnoloba","1","7.118826",NA,NA,"0.051029","Crataegus pycnoloba","1","8.944289",NA,NA,"0.211458"
"212","Chamaemeles coriacea","1","5.669708",NA,NA,"0.000206","Chamaemeles coriacea","1","6.452049",NA,NA,"0.166901","Chamaemeles coriacea","0","NaN",NA,NA,"Inf","Chamaemeles coriacea","0","NaN",NA,NA,"Inf"
"213","Rosa sempervirens","89","5.661837","0.007629","0.000809","2e-06","Rosa sempervirens","89","6.601926","0.30395","0.032219","0.001875","Rosa sempervirens","87","7.217042","0.168514","0.018067","0.000587","Rosa sempervirens","87","8.572412","0.470861","0.050482","0.002431"
"214","Prunus mexicana","88","5.664446","0.010629","0.001133","2e-06","Prunus mexicana","88","6.815855","0.348281","0.037127","0.001897","Prunus mexicana","88","7.377571","0.143071","0.015251","0.00058","Prunus mexicana","88","8.651707","0.470484","0.050154","0.002403"
"215","Alchemilla transiens","17","5.635436","0.008798","0.002134","1.2e-05","Alchemilla transiens","17","6.838373","0.190542","0.046213","0.009818","Alchemilla transiens","17","6.938246","0.132545","0.032147","0.003002","Alchemilla transiens","17","9.243044","0.370769","0.089925","0.012439"
"216","Malus halliana","39","5.663089","0.009612","0.001539","5e-06","Malus halliana","39","7.042272","0.362584","0.05806","0.00428","Malus halliana","39","7.06874","0.130615","0.020915","0.001308","Malus halliana","39","9.177114","0.414013","0.066295","0.005422"
"217","Malus sieboldii","95","5.653991","0.01411","0.001448","2e-06","Malus sieboldii","95","7.021517","0.36391","0.037336","0.001757","Malus sieboldii","95","6.970111","0.388714","0.039881","0.000537","Malus sieboldii","95","9.23019","0.444917","0.045648","0.002226"
"218","Prunus prostrata","24","5.650364","0.008186","0.001671","9e-06","Prunus prostrata","24","6.431071","0.302842","0.061817","0.006954","Prunus prostrata","24","7.290137","0.100323","0.020478","0.002126","Prunus prostrata","24","8.286921","0.381922","0.07796","0.008811"
"219","Dryas drummondii","116","5.601702","0.017732","0.001646","2e-06","Dryas drummondii","116","6.277032","0.67834","0.062982","0.001439","Dryas drummondii","115","6.503965","0.209095","0.019498","0.000444","Dryas drummondii","114","9.025453","0.711425","0.066631","0.001855"
"220","Cliffortia nitidula","11","5.671625","0.011131","0.003356","1.9e-05","Cliffortia nitidula","11","7.232397","0.239426","0.07219","0.015173","Cliffortia nitidula","11","7.283996","0.180888","0.05454","0.004639","Cliffortia nitidula","11","9.021579","0.394906","0.119069","0.019223"
"221","Malus micromalus","25","5.649649","0.011578","0.002316","8e-06","Malus micromalus","25","6.536585","0.604673","0.120935","0.006676","Malus micromalus","25","7.177241","0.109229","0.021846","0.002041","Malus micromalus","25","8.544128","0.666982","0.133396","0.008458"
"222","Malus asiatica","53","5.651904","0.014639","0.002011","4e-06","Malus asiatica","53","6.511808","0.454839","0.062477","0.003149","Malus asiatica","53","7.135391","0.13946","0.019156","0.000963","Malus asiatica","53","8.579374","0.546194","0.075026","0.00399"
"223","Alchemilla ellenbeckii","3","5.650293","0.021063","0.012161","6.9e-05","Alchemilla ellenbeckii","3","7.4831","0.057251","0.033054","0.055634","Alchemilla ellenbeckii","3","6.9329","0.059026","0.034079","0.01701","Alchemilla ellenbeckii","3","9.738112","0.122302","0.070611","0.070486"
"224","Alchemilla kiwuensis","21","5.670617","0.012721","0.002776","1e-05","Alchemilla kiwuensis","21","7.26127","0.379392","0.08279","0.007948","Alchemilla kiwuensis","21","7.242757","0.215599","0.047048","0.00243","Alchemilla kiwuensis","21","9.205132","0.570596","0.124514","0.010069"
"225","Prunus umbellata","59","5.663741","0.016192","0.002108","3e-06","Prunus umbellata","59","7.083625","0.207306","0.026989","0.002829","Prunus umbellata","59","7.242248","0.177342","0.023088","0.000865","Prunus umbellata","59","9.059972","0.118103","0.015376","0.003584"
"226","Crataegus douglasii","118","5.634052","0.009099","0.000838","2e-06","Crataegus douglasii","118","6.384169","0.567704","0.052261","0.001414","Crataegus douglasii","117","7.055758","0.1988","0.018379","0.000436","Crataegus douglasii","117","8.516962","0.701817","0.064883","0.001807"
"227","Lyonothamnus floribundus","3","5.667282","0.005186","0.002994","6.9e-05","Lyonothamnus floribundus","3","5.960588","0.229788","0.132668","0.055634","Lyonothamnus floribundus","3","7.446753","0.180677","0.104314","0.01701","Lyonothamnus floribundus","3","7.665084","0.167199","0.096532","0.070486"
"228","Prunus rivularis","26","5.665895","0.010461","0.002052","8e-06","Prunus rivularis","26","6.635119","0.26015","0.05102","0.006419","Prunus rivularis","26","7.500764","0.130699","0.025632","0.001963","Prunus rivularis","26","8.357316","0.388758","0.076242","0.008133"
"229","Horkeliella purpurascens","1","5.642793",NA,NA,"0.000206","Horkeliella purpurascens","1","6.107023",NA,NA,"0.166901","Horkeliella purpurascens","1","7.624619",NA,NA,"0.051029","Horkeliella purpurascens","1","7.656337",NA,NA,"0.211458"
"230","Crataegus okennonii","14","5.634728","0.004723","0.001262","1.5e-05","Crataegus okennonii","14","6.359712","0.382493","0.102226","0.011922","Crataegus okennonii","14","6.978659","0.101997","0.02726","0.003645","Crataegus okennonii","14","8.665989","0.46001","0.122943","0.015104"
"231","Cliffortia repens","9","5.661814","0.010162","0.003387","2.3e-05","Cliffortia repens","9","6.86357","0.133278","0.044426","0.018545","Cliffortia repens","9","7.342365","0.033084","0.011028","0.00567","Cliffortia repens","9","8.689742","0.134556","0.044852","0.023495"
"232","Cliffortia apiculata","3","5.663674","0.010756","0.00621","6.9e-05","Cliffortia apiculata","3","5.992686","0.706554","0.407929","0.055634","Cliffortia apiculata","3","7.518962","0.169268","0.097727","0.01701","Cliffortia apiculata","3","7.624871","0.810574","0.467985","0.070486"
"233","Cotoneaster atropurpureus","14","5.642117","0.00623","0.001665","1.5e-05","Cotoneaster atropurpureus","14","6.612319","0.441443","0.117981","0.011922","Cotoneaster atropurpureus","13","6.775067","0.196584","0.054523","0.003925","Cotoneaster atropurpureus","13","9.083249","0.454724","0.126118","0.016266"
"234","Alchemilla pentaphyllea","2","5.614033","0.005157","0.003647","0.000103","Alchemilla pentaphyllea","2","7.471787","0.041429","0.029295","0.083451","Alchemilla pentaphyllea","2","6.744003","0.014992","0.010601","0.025514","Alchemilla pentaphyllea","2","9.920515","0.074904","0.052965","0.105729"
"235","Alchemilla incisa","10","5.635691","0.011743","0.003713","2.1e-05","Alchemilla incisa","10","6.918943","0.192017","0.060721","0.01669","Alchemilla incisa","10","6.869801","0.152367","0.048183","0.005103","Alchemilla incisa","10","9.36813","0.379573","0.120032","0.021146"
"236","Potentilla micrantha","85","5.644753","0.009305","0.001009","2e-06","Potentilla micrantha","85","6.736463","0.29786","0.032307","0.001964","Potentilla micrantha","85","6.9922","0.168878","0.018317","6e-04","Potentilla micrantha","85","9.005373","0.429727","0.04661","0.002488"
"237","Cliffortia brevifolia","3","5.668903","0.001437","0.00083","6.9e-05","Cliffortia brevifolia","3","6.355096","0.141044","0.081432","0.055634","Cliffortia brevifolia","3","7.281452","0.11221","0.064784","0.01701","Cliffortia brevifolia","3","8.211669","0.09929","0.057325","0.070486"
"238","Cliffortia dentata","1","5.654417",NA,NA,"0.000206","Cliffortia dentata","1","6.903747",NA,NA,"0.166901","Cliffortia dentata","1","7.358831",NA,NA,"0.051029","Cliffortia dentata","1","8.448486",NA,NA,"0.211458"
"239","Sibbaldia parviflora","15","5.618239","0.009917","0.002561","1.4e-05","Sibbaldia parviflora","15","6.630633","0.293732","0.075841","0.011127","Sibbaldia parviflora","15","6.754303","0.25995","0.067119","0.003402","Sibbaldia parviflora","15","9.256035","0.57925","0.149562","0.014097"
"240","Rosa laevigata","115","5.674668","0.008539","0.000796","2e-06","Rosa laevigata","115","7.271978","0.215036","0.020052","0.001451","Rosa laevigata","115","7.125485","0.098604","0.009195","0.000444","Rosa laevigata","115","9.369816","0.189797","0.017699","0.001839"
"241","Rubus lambertianus","88","5.672267","0.00768","0.000819","2e-06","Rubus lambertianus","88","7.265334","0.225464","0.024035","0.001897","Rubus lambertianus","88","7.115261","0.077569","0.008269","0.00058","Rubus lambertianus","88","9.367113","0.19721","0.021023","0.002403"
"242","Pygeum topengii","28","5.681537","0.00716","0.001353","7e-06","Pygeum topengii","28","7.344956","0.149009","0.02816","0.005961","Pygeum topengii","28","7.187504","0.078595","0.014853","0.001822","Pygeum topengii","28","9.384611","0.155608","0.029407","0.007552"
"243","Photinia beauverdiana","105","5.669124","0.009933","0.000969","2e-06","Photinia beauverdiana","105","7.172762","0.27104","0.026451","0.00159","Photinia beauverdiana","105","7.097615","0.11836","0.011551","0.000486","Photinia beauverdiana","105","9.293426","0.241016","0.023521","0.002014"
"244","Photinia impressivena","14","5.680693","0.0058","0.00155","1.5e-05","Photinia impressivena","14","7.406353","0.102092","0.027285","0.011922","Photinia impressivena","14","7.146895","0.078697","0.021033","0.003645","Photinia impressivena","14","9.465093","0.11115","0.029706","0.015104"
"245","Agrimonia pilosa","431","5.642768","0.024182","0.001165","0","Agrimonia pilosa","431","6.726725","0.531067","0.025581","0.000387","Agrimonia pilosa","430","6.947378","0.226706","0.010933","0.000119","Agrimonia pilosa","430","8.979193","0.496976","0.023966","0.000492"
"246","Stranvaesia davidiana","62","5.662761","0.011497","0.00146","3e-06","Stranvaesia davidiana","62","7.017922","0.240323","0.030521","0.002692","Stranvaesia davidiana","62","7.039621","0.127648","0.016211","0.000823","Stranvaesia davidiana","62","9.185113","0.25798","0.032763","0.003411"
"247","Spiraea blumei","63","5.657158","0.010731","0.001352","3e-06","Spiraea blumei","63","6.937868","0.495499","0.062427","0.002649","Spiraea blumei","62","7.093769","0.13183","0.016742","0.000823","Spiraea blumei","62","9.040794","0.558607","0.070943","0.003411"
"248","Sorbus prattii","44","5.642383","0.016735","0.002523","5e-06","Sorbus prattii","44","6.720763","0.293939","0.044313","0.003793","Sorbus prattii","44","6.977977","0.157616","0.023762","0.00116","Sorbus prattii","44","8.917377","0.355055","0.053527","0.004806"
"249","Sorbus glomerulata","14","5.654069","0.017897","0.004783","1.5e-05","Sorbus glomerulata","14","6.911588","0.203472","0.05438","0.011922","Sorbus glomerulata","14","7.048674","0.164949","0.044084","0.003645","Sorbus glomerulata","14","9.017996","0.218202","0.058317","0.015104"
"250","Micromeles aronioides","18","5.660333","0.014392","0.003392","1.1e-05","Micromeles aronioides","18","7.16218","0.212003","0.04997","0.009272","Micromeles aronioides","18","7.009372","0.088766","0.020922","0.002835","Micromeles aronioides","18","9.363546","0.220271","0.051918","0.011748"
"251","Rubus irenaeus","42","5.6701","0.006301","0.000972","5e-06","Rubus irenaeus","42","7.248594","0.148233","0.022873","0.003974","Rubus irenaeus","42","7.067895","0.08365","0.012907","0.001215","Rubus irenaeus","42","9.396325","0.103855","0.016025","0.005035"
"252","Rubus cochinchinensis","25","5.680382","0.02013","0.004026","8e-06","Rubus cochinchinensis","25","7.358273","0.328392","0.065678","0.006676","Rubus cochinchinensis","25","7.190526","0.249108","0.049822","0.002041","Rubus cochinchinensis","25","9.352024","0.230146","0.046029","0.008458"
"253","Rubus assamensis","23","5.665949","0.011561","0.002411","9e-06","Rubus assamensis","23","7.099593","0.228014","0.047544","0.007257","Rubus assamensis","23","7.038482","0.138924","0.028968","0.002219","Rubus assamensis","23","9.243913","0.196281","0.040927","0.009194"
"254","Rubus biflorus","30","5.649721","0.015054","0.002748","7e-06","Rubus biflorus","30","6.885207","0.365893","0.066803","0.005563","Rubus biflorus","30","7.053639","0.12357","0.022561","0.001701","Rubus biflorus","30","8.972748","0.394112","0.071955","0.007049"
"255","Rosa rubus","90","5.667577","0.010335","0.001089","2e-06","Rosa rubus","90","7.070817","0.261827","0.027599","0.001854","Rosa rubus","90","7.048465","0.118552","0.012496","0.000567","Rosa rubus","90","9.235377","0.224504","0.023665","0.00235"
"256","Rosa omeiensis","72","5.643966","0.017725","0.002089","3e-06","Rosa omeiensis","72","6.643087","0.320844","0.037812","0.002318","Rosa omeiensis","72","7.032553","0.132521","0.015618","0.000709","Rosa omeiensis","72","8.791684","0.323176","0.038087","0.002937"
"257","Rosa moyesii","51","5.645053","0.01515","0.002121","4e-06","Rosa moyesii","51","6.921389","0.392381","0.054944","0.003273","Rosa moyesii","49","6.846899","0.228574","0.032653","0.001041","Rosa moyesii","49","9.230237","0.513313","0.07333","0.004315"
"258","Rosa davurica","105","5.617916","0.019072","0.001861","2e-06","Rosa davurica","105","6.412743","0.368873","0.035998","0.00159","Rosa davurica","105","6.876419","0.230214","0.022467","0.000486","Rosa davurica","105","8.717443","0.451292","0.044042","0.002014"
"259","Rosa cymosa","110","5.67221","0.009136","0.000871","2e-06","Rosa cymosa","110","7.189697","0.232303","0.022149","0.001517","Rosa cymosa","109","7.102937","0.095591","0.009156","0.000468","Rosa cymosa","109","9.310712","0.202405","0.019387","0.00194"
"260","Potentilla chinensis","172","5.64737","0.015597","0.001189","1e-06","Potentilla chinensis","172","6.667692","0.483547","0.03687","0.00097","Potentilla chinensis","171","7.080518","0.16065","0.012285","0.000298","Potentilla chinensis","171","8.788081","0.571856","0.043731","0.001237"
"261","Physocarpus amurensis","15","5.628065","0.007125","0.00184","1.4e-05","Physocarpus amurensis","15","6.500754","0.139981","0.036143","0.011127","Physocarpus amurensis","15","6.799028","0.196706","0.050789","0.003402","Physocarpus amurensis","15","8.892462","0.285892","0.073817","0.014097"
"262","Photinia parvifolia","83","5.672712","0.007748","0.00085","2e-06","Photinia parvifolia","83","7.28255","0.22913","0.02515","0.002011","Photinia parvifolia","83","7.115232","0.087059","0.009556","0.000615","Photinia parvifolia","83","9.392132","0.198394","0.021777","0.002548"
"263","Photinia chihsiniana","1","5.678977",NA,NA,"0.000206","Photinia chihsiniana","1","7.491088",NA,NA,"0.166901","Photinia chihsiniana","1","7.12206",NA,NA,"0.051029","Photinia chihsiniana","1","9.595875",NA,NA,"0.211458"
"264","Neillia sinensis","58","5.663091","0.009326","0.001225","4e-06","Neillia sinensis","58","6.95721","0.344579","0.045245","0.002878","Neillia sinensis","58","7.044123","0.076642","0.010064","0.00088","Neillia sinensis","58","9.141178","0.359141","0.047158","0.003646"
"265","Neillia affinis","20","5.662147","0.013304","0.002975","1e-05","Neillia affinis","20","6.978397","0.211025","0.047187","0.008345","Neillia affinis","20","7.100254","0.11403","0.025498","0.002551","Neillia affinis","20","9.06807","0.237515","0.05311","0.010573"
"266","Fragaria orientalis","107","5.622691","0.023258","0.002248","2e-06","Fragaria orientalis","107","6.364743","0.447247","0.043237","0.00156","Fragaria orientalis","107","6.907614","0.205341","0.019851","0.000477","Fragaria orientalis","107","8.658686","0.450082","0.043511","0.001976"
