"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"20","Rubus pirifolius","47","5.6844","0.013413","0.001956","4e-06","Rubus pirifolius","47","7.506492","0.476649","0.069526","0.003551","Rubus pirifolius","47","7.223925","0.118006","0.017213","0.001086","Rubus pirifolius","47","9.501596","0.512453","0.074749","0.004499"
"21","Alchemilla abyssinica","7","5.648753","0.010276","0.003884","2.9e-05","Alchemilla abyssinica","7","7.103788","0.147185","0.055631","0.023843","Alchemilla abyssinica","7","7.29783","0.082838","0.03131","0.00729","Alchemilla abyssinica","7","9.026084","0.206044","0.077877","0.030208"
"22","Acaena cylindristachya","6","5.65125","0.017442","0.007121","3.4e-05","Acaena cylindristachya","6","7.286141","0.546643","0.223166","0.027817","Acaena cylindristachya","6","7.079611","0.112936","0.046106","0.008505","Acaena cylindristachya","6","9.309316","0.295924","0.12081","0.035243"
"23","Acaena magellanica","32","5.631282","0.006295","0.001113","6e-06","Acaena magellanica","32","6.514133","0.700756","0.123877","0.005216","Acaena magellanica","28","6.664977","0.580951","0.109789","0.001822","Acaena magellanica","28","9.030314","1.113266","0.210387","0.007552"
"24","Argentina polyphylla","4","5.648111","0.020558","0.010279","5.1e-05","Argentina polyphylla","4","6.971476","0.346358","0.173179","0.041725","Argentina polyphylla","4","7.00938","0.235474","0.117737","0.012757","Argentina polyphylla","4","9.120046","0.281479","0.140739","0.052865"
"25","Crataegus marshallii","59","5.673576","0.006065","0.00079","3e-06","Crataegus marshallii","59","7.17497","0.143441","0.018674","0.002829","Crataegus marshallii","59","7.348558","0.064825","0.008439","0.000865","Crataegus marshallii","59","9.045466","0.182877","0.023809","0.003584"
"26","Amelanchier ovalis","78","5.644744","0.01056","0.001196","3e-06","Amelanchier ovalis","78","6.681194","0.322003","0.03646","0.00214","Amelanchier ovalis","78","7.035051","0.210812","0.02387","0.000654","Amelanchier ovalis","78","8.873588","0.579643","0.065632","0.002711"
"27","Photinia stenophylla","6","5.681455","0.014046","0.005734","3.4e-05","Photinia stenophylla","6","7.150799","0.144164","0.058855","0.027817","Photinia stenophylla","6","7.236953","0.228301","0.093203","0.008505","Photinia stenophylla","6","9.11574","0.351425","0.143469","0.035243"
"28","Pyracantha angustifolia","86","5.66016","0.008904","0.00096","2e-06","Pyracantha angustifolia","86","6.929012","0.415249","0.044777","0.001941","Pyracantha angustifolia","82","7.208114","0.181524","0.020046","0.000622","Pyracantha angustifolia","82","8.895281","0.542824","0.059945","0.002579"
"29","Sibbaldia procumbens","554","5.606333","0.01715","0.000729","0","Sibbaldia procumbens","554","6.538579","0.544374","0.023128","0.000301","Sibbaldia procumbens","545","6.513137","0.364165","0.015599","9.4e-05","Sibbaldia procumbens","543","9.295415","0.641343","0.027523","0.000389"
"30","Prunus americana","237","5.644804","0.01216","0.00079","1e-06","Prunus americana","237","6.638029","0.395019","0.025659","0.000704","Prunus americana","237","7.168372","0.215988","0.01403","0.000215","Prunus americana","237","8.680592","0.516712","0.033564","0.000892"
"31","Dryas octopetala","160","5.610407","0.015379","0.001216","1e-06","Dryas octopetala","160","6.595195","0.59575","0.047098","0.001043","Dryas octopetala","147","6.081074","0.819027","0.067552","0.000345","Dryas octopetala","148","9.773641","0.561917","0.046189","0.001429"
"32","Alchemilla glabra","138","5.628217","0.010579","0.000901","1e-06","Alchemilla glabra","138","6.737529","0.410685","0.03496","0.001209","Alchemilla glabra","133","6.517923","0.150949","0.013089","0.000384","Alchemilla glabra","132","9.435336","0.441747","0.038449","0.001602"
"33","Alchemilla fischeri","5","5.670372","0.008132","0.003637","4.1e-05","Alchemilla fischeri","5","7.481067","0.048867","0.021854","0.03338","Alchemilla fischeri","5","7.346148","0.124798","0.055811","0.010206","Alchemilla fischeri","5","9.28889","0.186896","0.083582","0.042292"
"34","Potentilla recta","629","5.638891","0.012448","0.000496","0","Potentilla recta","629","6.615145","0.382105","0.015236","0.000265","Potentilla recta","620","6.935239","0.243343","0.009773","8.2e-05","Potentilla recta","620","8.890701","0.475134","0.019082","0.000341"
"35","Potentilla hippiana","60","5.626934","0.011831","0.001527","3e-06","Potentilla hippiana","60","6.226172","0.246328","0.031801","0.002782","Potentilla hippiana","60","7.303963","0.174532","0.022532","0.00085","Potentilla hippiana","60","8.084025","0.320098","0.041324","0.003524"
"36","Potentilla sterilis","91","5.643481","0.008043","0.000843","2e-06","Potentilla sterilis","91","6.668293","0.251004","0.026312","0.001834","Potentilla sterilis","89","6.84653","0.206603","0.0219","0.000573","Potentilla sterilis","89","9.050507","0.34952","0.037049","0.002376"
"37","Gillenia trifoliata","33","5.650997","0.009024","0.001571","6e-06","Gillenia trifoliata","33","7.06984","0.196509","0.034208","0.005058","Gillenia trifoliata","33","7.104417","0.108608","0.018906","0.001546","Gillenia trifoliata","33","9.181293","0.193212","0.033634","0.006408"
"38","Rubus phoenicolasius","129","5.650268","0.008792","0.000774","2e-06","Rubus phoenicolasius","129","7.115886","0.280017","0.024654","0.001294","Rubus phoenicolasius","129","7.037059","0.142543","0.01255","0.000396","Rubus phoenicolasius","129","9.279937","0.32496","0.028611","0.001639"
"39","Rubus pensilvanicus","86","5.647679","0.014179","0.001529","2e-06","Rubus pensilvanicus","86","6.991828","0.139474","0.01504","0.001941","Rubus pensilvanicus","84","7.061675","0.208821","0.022784","0.000607","Rubus pensilvanicus","84","9.152433","0.222337","0.024259","0.002517"
"40","Geum canadense","261","5.645218","0.013544","0.000838","1e-06","Geum canadense","261","6.851104","0.264788","0.01639","0.000639","Geum canadense","260","7.079167","0.222431","0.013795","0.000196","Geum canadense","260","8.990246","0.366398","0.022723","0.000813"
"41","Polylepis sericea","21","5.643952","0.013674","0.002984","1e-05","Polylepis sericea","21","6.774307","1.154172","0.251861","0.007948","Polylepis sericea","21","6.968392","0.151905","0.033148","0.00243","Polylepis sericea","21","9.048557","0.831068","0.181354","0.010069"
"42","Rubus argutus","88","5.661933","0.013903","0.001482","2e-06","Rubus argutus","88","7.106739","0.170505","0.018176","0.001897","Rubus argutus","87","7.235075","0.157989","0.016938","0.000587","Rubus argutus","87","9.09359","0.189477","0.020314","0.002431"
"43","Rubus allegheniensis","179","5.639112","0.011167","0.000835","1e-06","Rubus allegheniensis","179","6.877965","0.188887","0.014118","0.000932","Rubus allegheniensis","177","6.96675","0.174867","0.013144","0.000288","Rubus allegheniensis","177","9.13559","0.232942","0.017509","0.001195"
"44","Prunus pensylvanica","321","5.624523","0.01303","0.000727","1e-06","Prunus pensylvanica","321","6.736579","0.293886","0.016403","0.00052","Prunus pensylvanica","315","6.781848","0.210108","0.011838","0.000162","Prunus pensylvanica","315","9.179622","0.394959","0.022253","0.000671"
"45","Prunus serrulata","53","5.657331","0.011263","0.001547","4e-06","Prunus serrulata","53","6.942672","0.449341","0.061722","0.003149","Prunus serrulata","52","7.120586","0.192099","0.026639","0.000981","Prunus serrulata","51","9.037362","0.546788","0.076566","0.004146"
"46","Prunus debilis","41","5.691497","0.011167","0.001744","5e-06","Prunus debilis","41","7.786205","0.37741","0.058942","0.004071","Prunus debilis","41","7.187274","0.123541","0.019294","0.001245","Prunus debilis","41","9.765149","0.475926","0.074327","0.005158"
"47","Prunus undulata","21","5.665028","0.019882","0.004339","1e-05","Prunus undulata","21","7.165417","0.368596","0.080434","0.007948","Prunus undulata","21","7.065575","0.243632","0.053165","0.00243","Prunus undulata","21","9.33366","0.256074","0.05588","0.010069"
"48","Potentilla biflora","107","5.57845","0.012589","0.001217","2e-06","Potentilla biflora","107","5.66456","0.422042","0.0408","0.00156","Potentilla biflora","105","6.269245","0.208695","0.020367","0.000486","Potentilla biflora","105","8.690863","0.417533","0.040747","0.002014"
"49","Cotoneaster cambricus","3","5.643499","0.002832","0.001635","6.9e-05","Cotoneaster cambricus","3","6.952468","0.142796","0.082443","0.055634","Cotoneaster cambricus","3","6.545037","0.08238","0.047562","0.01701","Cotoneaster cambricus","3","9.685072","0.319193","0.184286","0.070486"
"50","Aria leptophylla","1","5.642084",NA,NA,"0.000206","Aria leptophylla","1","6.72263",NA,NA,"0.166901","Aria leptophylla","1","6.616065",NA,NA,"0.051029","Aria leptophylla","1","9.562616",NA,NA,"0.211458"
"51","Hedlundia anglica","5","5.642363","0.003357","0.001501","4.1e-05","Hedlundia anglica","5","6.908274","0.295178","0.132008","0.03338","Hedlundia anglica","5","6.585366","0.078778","0.035231","0.010206","Hedlundia anglica","5","9.553719","0.382191","0.170921","0.042292"
"52","Aria porrigentiformis","2","5.644916","0.001","0.000707","0.000103","Aria porrigentiformis","2","6.816247","0.306003","0.216377","0.083451","Aria porrigentiformis","2","6.593041","0.003875","0.00274","0.025514","Aria porrigentiformis","2","9.443277","0.409724","0.289719","0.105729"
"53","Rosa henryi","92","5.67098","0.008091","0.000844","2e-06","Rosa henryi","92","7.226435","0.233235","0.024316","0.001814","Rosa henryi","92","7.109829","0.084804","0.008841","0.000555","Rosa henryi","92","9.341412","0.194921","0.020322","0.002298"
"54","Aria eminens","1","5.644209",NA,NA,"0.000206","Aria eminens","1","6.59987",NA,NA,"0.166901","Aria eminens","1","6.595781",NA,NA,"0.051029","Aria eminens","1","9.153558",NA,NA,"0.211458"
"55","Hedlundia leyana","1","5.639955",NA,NA,"0.000206","Hedlundia leyana","1","7.20786",NA,NA,"0.166901","Hedlundia leyana","1","6.516193",NA,NA,"0.051029","Hedlundia leyana","1","10.030825",NA,NA,"0.211458"
"56","Rosa micrantha","57","5.652558","0.008923","0.001182","4e-06","Rosa micrantha","57","6.518965","0.309105","0.040942","0.002928","Rosa micrantha","57","7.190271","0.168419","0.022308","0.000895","Rosa micrantha","57","8.54884","0.511596","0.067763","0.00371"
"57","Aphanes australis","88","5.641661","0.007516","0.000801","2e-06","Aphanes australis","88","6.584482","0.278386","0.029676","0.001897","Aphanes australis","84","6.773828","0.235846","0.025733","0.000607","Aphanes australis","84","9.03334","0.393428","0.042927","0.002517"
"58","Potentilla tetrandra","36","5.61324","0.018761","0.003127","6e-06","Potentilla tetrandra","36","5.37945","0.859697","0.143283","0.004636","Potentilla tetrandra","36","6.952565","0.266167","0.044361","0.001417","Potentilla tetrandra","36","7.72761","0.999029","0.166505","0.005874"
"59","Sorbus koehneana","59","5.640179","0.017422","0.002268","3e-06","Sorbus koehneana","59","6.6507","0.348885","0.045421","0.002829","Sorbus koehneana","59","6.971298","0.150709","0.019621","0.000865","Sorbus koehneana","59","8.844375","0.38736","0.05043","0.003584"
"60","Potentilla multicaulis","60","5.639726","0.017588","0.002271","3e-06","Potentilla multicaulis","60","6.28462","0.303353","0.039163","0.002782","Potentilla multicaulis","60","7.11783","0.194188","0.02507","0.00085","Potentilla multicaulis","60","8.369824","0.396174","0.051146","0.003524"
"61","Cotoneaster horizontalis","168","5.648573","0.013362","0.001031","1e-06","Cotoneaster horizontalis","168","6.823455","0.407132","0.031411","0.000993","Cotoneaster horizontalis","159","6.900809","0.252852","0.020052","0.000321","Cotoneaster horizontalis","159","9.146182","0.532233","0.042209","0.00133"
"62","Filipendula vulgaris","306","5.639464","0.011199","0.00064","1e-06","Filipendula vulgaris","306","6.497825","0.267796","0.015309","0.000545","Filipendula vulgaris","303","6.852916","0.24085","0.013836","0.000168","Filipendula vulgaris","303","8.864394","0.407723","0.023423","0.000698"
"63","Neillia thyrsiflora","4","5.664694","0.001536","0.000768","5.1e-05","Neillia thyrsiflora","4","7.278783","0.071873","0.035937","0.041725","Neillia thyrsiflora","4","7.14973","0.039101","0.01955","0.012757","Neillia thyrsiflora","4","9.375582","0.148272","0.074136","0.052865"
"64","Alchemilla xanthochlora","112","5.636281","0.007161","0.000677","2e-06","Alchemilla xanthochlora","112","6.771421","0.311366","0.029421","0.00149","Alchemilla xanthochlora","110","6.752546","0.17343","0.016536","0.000464","Alchemilla xanthochlora","110","9.290167","0.421524","0.040191","0.001922"
"65","Spiraea cantoniensis","107","5.660011","0.021412","0.00207","2e-06","Spiraea cantoniensis","107","6.993341","0.571627","0.055261","0.00156","Spiraea cantoniensis","105","7.128859","0.252344","0.024626","0.000486","Spiraea cantoniensis","105","9.069743","0.593114","0.057882","0.002014"
"66","Geum rossii","85","5.583304","0.028897","0.003134","2e-06","Geum rossii","85","5.862382","0.748607","0.081198","0.001964","Geum rossii","83","6.473307","0.562481","0.06174","0.000615","Geum rossii","83","8.708188","0.478204","0.05249","0.002548"
"67","Rosa sherardii","65","5.635105","0.004848","0.000601","3e-06","Rosa sherardii","65","6.574146","0.3043","0.037744","0.002568","Rosa sherardii","63","6.592918","0.063603","0.008013","0.00081","Rosa sherardii","63","9.20696","0.312399","0.039359","0.003356"
"68","Spiraea mongolica","31","5.630188","0.018286","0.003284","7e-06","Spiraea mongolica","31","6.296278","0.49874","0.089576","0.005384","Spiraea mongolica","31","6.929269","0.296968","0.053337","0.001646","Spiraea mongolica","31","8.584613","0.639502","0.114858","0.006821"
"69","Prunus maximowiczii","55","5.633788","0.014835","0.002","4e-06","Prunus maximowiczii","55","7.153093","0.39952","0.053871","0.003035","Prunus maximowiczii","53","6.810605","0.163906","0.022514","0.000963","Prunus maximowiczii","53","9.517849","0.385994","0.05302","0.00399"
"70","Lachemilla pectinata","12","5.667697","0.0135","0.003897","1.7e-05","Lachemilla pectinata","12","7.111077","0.427491","0.123406","0.013908","Lachemilla pectinata","12","7.320488","0.127396","0.036776","0.004252","Lachemilla pectinata","12","8.842217","0.48538","0.140117","0.017622"
"71","Prunus brachybotrya","55","5.675811","0.013707","0.001848","4e-06","Prunus brachybotrya","55","7.227377","0.410073","0.055294","0.003035","Prunus brachybotrya","55","7.417677","0.093649","0.012628","0.000928","Prunus brachybotrya","55","8.947478","0.432033","0.058255","0.003845"
"72","Potentilla anglica","52","5.638023","0.004479","0.000621","4e-06","Potentilla anglica","52","6.518278","0.269348","0.037352","0.00321","Potentilla anglica","48","6.659793","0.10397","0.015007","0.001063","Potentilla anglica","48","9.116443","0.324563","0.046847","0.004405"
"73","Rosa carolina","81","5.636609","0.010127","0.001125","3e-06","Rosa carolina","81","7.034004","0.117189","0.013021","0.002061","Rosa carolina","72","6.87158","0.200225","0.023597","0.000709","Rosa carolina","72","9.378127","0.269315","0.031739","0.002937"
"74","Amelanchier laevis","195","5.633088","0.010963","0.000785","1e-06","Amelanchier laevis","195","6.858492","0.207302","0.014845","0.000856","Amelanchier laevis","193","6.864804","0.170185","0.01225","0.000264","Amelanchier laevis","193","9.225703","0.263095","0.018938","0.001096"
"75","Rosa nitida","67","5.624117","0.010942","0.001337","3e-06","Rosa nitida","67","6.974422","0.182501","0.022296","0.002491","Rosa nitida","62","6.675076","0.155195","0.01971","0.000823","Rosa nitida","62","9.562906","0.234951","0.029839","0.003411"
"76","Rosa gallica","112","5.644753","0.011258","0.001064","2e-06","Rosa gallica","112","6.518278","0.238041","0.022493","0.00149","Rosa gallica","108","6.919646","0.259537","0.024974","0.000472","Rosa gallica","108","8.80281","0.415352","0.039967","0.001958"
"77","Sorbus decora","191","5.617786","0.012565","0.000909","1e-06","Sorbus decora","191","6.726177","0.237172","0.017161","0.000874","Sorbus decora","185","6.664143","0.178194","0.013101","0.000276","Sorbus decora","185","9.288777","0.288874","0.021238","0.001143"
"78","Crataegus chrysocarpa","172","5.628063","0.008625","0.000658","1e-06","Crataegus chrysocarpa","172","6.563946","0.346062","0.026387","0.00097","Crataegus chrysocarpa","170","6.893185","0.19391","0.014872","3e-04","Crataegus chrysocarpa","170","8.905821","0.465083","0.03567","0.001244"
"79","Agrimonia gryposepala","187","5.636421","0.009701","0.000709","1e-06","Agrimonia gryposepala","187","6.808572","0.251818","0.018415","0.000893","Agrimonia gryposepala","183","6.946788","0.168451","0.012452","0.000279","Agrimonia gryposepala","183","9.081279","0.315979","0.023358","0.001156"
"80","Holodiscus discolor","111","5.642214","0.013255","0.001258","2e-06","Holodiscus discolor","111","6.607406","0.581479","0.055192","0.001504","Holodiscus discolor","110","7.174175","0.296557","0.028276","0.000464","Holodiscus discolor","110","8.650252","0.803602","0.07662","0.001922"
"81","Rubus spectabilis","53","5.637114","0.012959","0.00178","4e-06","Rubus spectabilis","53","7.161077","0.577239","0.07929","0.003149","Rubus spectabilis","50","6.844118","0.190511","0.026942","0.001021","Rubus spectabilis","50","9.598519","0.609573","0.086207","0.004229"
"82","Rubus ursinus","71","5.649883","0.011974","0.001421","3e-06","Rubus ursinus","71","6.842192","0.633742","0.075211","0.002351","Rubus ursinus","68","7.171949","0.277338","0.033632","0.00075","Rubus ursinus","68","8.863979","0.854951","0.103678","0.00311"
"83","Rubus canadensis","106","5.632128","0.008992","0.000873","2e-06","Rubus canadensis","106","6.950717","0.176524","0.017146","0.001575","Rubus canadensis","104","6.832741","0.143711","0.014092","0.000491","Rubus canadensis","104","9.355888","0.230483","0.022601","0.002033"
"84","Amelanchier canadensis","18","5.625918","0.006999","0.00165","1.1e-05","Amelanchier canadensis","18","6.96801","0.151811","0.035782","0.009272","Amelanchier canadensis","17","6.676942","0.121505","0.029469","0.003002","Amelanchier canadensis","17","9.553244","0.245748","0.059603","0.012439"
"85","Rubus setosus","33","5.632301","0.00839","0.001461","6e-06","Rubus setosus","33","6.98146","0.106016","0.018455","0.005058","Rubus setosus","33","6.84591","0.140391","0.024439","0.001546","Rubus setosus","33","9.395998","0.18349","0.031942","0.006408"
"86","Rubus urticifolius","122","5.679087","0.010893","0.000986","2e-06","Rubus urticifolius","122","7.42753","0.417854","0.037831","0.001368","Rubus urticifolius","121","7.24549","0.146809","0.013346","0.000422","Rubus urticifolius","121","9.349926","0.409388","0.037217","0.001748"
"87","Rubus glabratus","6","5.643321","0.0122","0.004981","3.4e-05","Rubus glabratus","6","7.076932","0.187018","0.07635","0.027817","Rubus glabratus","6","6.877356","0.166173","0.06784","0.008505","Rubus glabratus","6","9.353831","0.17657","0.072084","0.035243"
